assembly_index,nonlinearity_strength,measurement_noise_mm,method,final_quality
103,0.0,0.0,ZERO,0.6901177708030407
103,0.0,0.0,LSQ,0.368094931331823
103,0.0,0.0,LOCKED_HYBRID,0.41876256980712523
104,0.0,0.0,ZERO,2.5515362259430656
104,0.0,0.0,LSQ,0.37900423451426485
104,0.0,0.0,LOCKED_HYBRID,0.31722211651470805
105,0.0,0.0,ZERO,1.3305658734409873
105,0.0,0.0,LSQ,0.4684452928790449
105,0.0,0.0,LOCKED_HYBRID,0.42701397844495514
106,0.0,0.0,ZERO,1.4793390685131103
106,0.0,0.0,LSQ,0.28943668381975385
106,0.0,0.0,LOCKED_HYBRID,0.2414483814264278
107,0.0,0.0,ZERO,2.422646143485004
107,0.0,0.0,LSQ,1.038059412820675
107,0.0,0.0,LOCKED_HYBRID,0.9094319539791708
108,0.0,0.0,ZERO,3.134631035972934
108,0.0,0.0,LSQ,0.903241836999705
108,0.0,0.0,LOCKED_HYBRID,0.7588089792350238
109,0.0,0.0,ZERO,3.1204113182658633
109,0.0,0.0,LSQ,0.4829452710584239
109,0.0,0.0,LOCKED_HYBRID,0.4088786867614206
110,0.0,0.0,ZERO,1.408147051807156
110,0.0,0.0,LSQ,0.6867705312097419
110,0.0,0.0,LOCKED_HYBRID,0.5702989573551148
111,0.0,0.0,ZERO,4.212986500429119
111,0.0,0.0,LSQ,0.6007164118713874
111,0.0,0.0,LOCKED_HYBRID,0.5155724599090087
112,0.0,0.0,ZERO,1.7972184857466051
112,0.0,0.0,LSQ,0.3470609573722975
112,0.0,0.0,LOCKED_HYBRID,0.28139442509705626
113,0.0,0.0,ZERO,3.4154995491501796
113,0.0,0.0,LSQ,0.2982619144948279
113,0.0,0.0,LOCKED_HYBRID,0.31614661782600034
114,0.0,0.0,ZERO,1.4322788602478846
114,0.0,0.0,LSQ,0.279290337487489
114,0.0,0.0,LOCKED_HYBRID,0.26971913029338224
115,0.0,0.0,ZERO,1.677227061137124
115,0.0,0.0,LSQ,0.3348284666972999
115,0.0,0.0,LOCKED_HYBRID,0.3047061646911669
116,0.0,0.0,ZERO,1.4280256630100863
116,0.0,0.0,LSQ,0.26493956791072715
116,0.0,0.0,LOCKED_HYBRID,0.24592937063178663
117,0.0,0.0,ZERO,3.0768301938499563
117,0.0,0.0,LSQ,0.26859432404478745
