split,assembly_id,assembly_index,component_index,sequence_length,nonlinearity_strength,state_mean_gap,state_max_gap,state_parallelism,state_rms,state_quality,state_signed_mean,state_signed_end_difference,state_estimated_angle_deg,component_profile_rms,component_parallelism,lsq_z_adj_mm,lsq_theta_adj_deg,lsq_locator_offset_mm,lsq_utilization,state_profile_p000,state_profile_p010,state_profile_p020,state_profile_p030,state_profile_p040,state_profile_p050,state_profile_p060,state_profile_p070,state_profile_p080,state_profile_p090,state_profile_p100,pre_correction_quality,lsq_true_quality,composite_q_true_quality,composite_q_z_adj_mm,composite_q_theta_adj_deg,composite_q_locator_offset_mm,composite_q_utilization,composite_q_optimizer_success,composite_q_evaluations,composite_q_winning_start,numerical_reference_true_quality,numerical_reference_z_adj_mm,numerical_reference_theta_adj_deg,numerical_reference_locator_offset_mm,numerical_reference_utilization,numerical_reference_optimizer_success,numerical_reference_evaluations,numerical_reference_beats_composite_q,best_reference_source,best_reference_true_quality,best_reference_z_adj_mm,best_reference_theta_adj_deg,best_reference_locator_offset_mm,reference_gain_over_composite_q,reference_relative_gain_percent,target_delta_z_mm,target_delta_theta_deg,target_delta_locator_mm
development,DEVELOPMENT_0002,2,1,10,1.0,0.2945605611292604,0.6161716068927561,0.19673213174029008,0.34607269987916717,0.36684655991660864,0.21796758780729208,-0.19673213174029008,-0.01127192069790928,0.34592617272280957,0.1771325681968262,-0.3848375614946192,0.0012163589794624851,0.5603243601340484,0.5603243601340484,0.5596006783578551,0.2659393283832627,0.48707531650664154,0.4062543838298771,-0.24478596922060017,-0.18881797279159793,0.2322440078163379,0.0005536921693719953,0.11690711988506423,0.579658047218139,0.362868546617565,0.36684655991660864,0.2358241718706379,0.16548320525193308,-0.35391175535586794,0.010483191328722559,0.5479925080627919,0.5479925080627919,True,5941,GRID,0.16563491653967444,-0.3546260449784173,0.010483159062108468,0.5494172681454401,0.5494172681454401,False,1174,False,COMPOSITE_Q,0.16548320525193308,-0.35391175535586794,0.010483191328722559,0.5479925080627919,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0002,2,2,10,1.0,0.816350583532649,1.4890437683298738,0.7717599287392232,0.9204415224303166,1.0151904364235556,0.8148191526615153,0.7717599287392232,0.04421857793501705,0.8585646700337675,0.8198412985868577,-0.6851177560801793,-0.06064703837292447,-0.4355178492693005,0.4355178492693005,0.27114802329889715,0.04385280946366652,0.6056054967734923,0.8317425829520847,0.5239332842299009,1.129445371422675,1.4148134783110555,0.6773600200036218,0.7618757092248414,1.3879915252517818,1.0429079520381204,1.0151904364235556,0.39088586818940807,0.22257553465941393,-0.6152921896243508,-0.03955561484144892,-0.3730751209895123,0.3730751209895123,True,5297,GRID,0.22261052463020278,-0.6153050141032714,-0.039555573441676005,-0.3658608739973222,0.3658608739973222,False,1174,False,COMPOSITE_Q,0.22257553465941393,-0.6152921896243508,-0.03955561484144892,-0.3730751209895123,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0002,2,3,10,1.0,0.16720308698386108,0.5086024125827814,0.28059041464735146,0.1949263089699925,0.30641140516119747,-0.08469718146364295,-0.28059041464735146,-0.01607664610920896,0.21674305598988522,0.31817461030762895,0.15571497658323877,0.008101438084865102,-0.2384671114234169,0.2384671114234169,-0.22801199793542992,-0.21533580779407532,0.026903310678072744,0.12984030546153555,-0.169663780112231,0.050589068039239724,0.1377995407307757,-0.2964833625847905,-0.23757456024895965,-0.09052734835724091,-0.5086024125827814,0.30641140516119747,0.18471191324894212,0.13938385505141465,0.1621202606343754,0.01505454562600099,-0.27800686974095024,0.27800686974095024,True,4101,GRID,0.13939472297122132,0.16205468051343663,0.01505456497403519,-0.277027652572936,0.277027652572936,False,1154,False,COMPOSITE_Q,0.13938385505141465,0.1621202606343754,0.01505454562600099,-0.27800686974095024,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0002,2,4,10,1.0,0.22049922419749662,0.4871764374808716,0.13248655858544478,0.25038124637594755,0.27708679071673864,0.14215693048349945,0.13248655858544478,0.007590920604745021,0.25594323939958397,0.13210297769262141,-0.30644721507200967,-0.010497481541204735,0.551662150800044,0.551662150800044,0.20138899282317368,0.2611372633804324,0.16484209847483144,0.14225977674471751,-0.1711094426378104,-0.25041143619452216,-0.05107773832936293,0.07184569454059093,0.32394508797510524,0.4188678835140381,0.33387555140861847,0.27708679071673864,0.0837183526001093,0.056225585703240655,-0.28332615232228275,-0.007129607057998421,0.506079278370675,0.506079278370675,True,4441,GRID,0.0562714339784239,-0.2832281846398096,-0.007129626661755225,0.5048619927249703,0.5048619927249703,False,1118,False,COMPOSITE_Q,0.056225585703240655,-0.28332615232228275,-0.007129607057998421,0.506079278370675,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0002,2,5,10,1.0,0.38086113771348273,0.9660845076649323,0.9189037567876002,0.4616175217999472,0.7259165728297993,-0.25810762046938984,0.9189037567876002,0.052649292223906706,0.43961162634671175,0.9405835989649284,0.27678205480698853,-0.06490770349345086,-0.06270595146546074,0.11071282192279541,-0.8195792156702684,-0.8687817210836725,-0.4814975234597821,-0.2853838083223632,-0.6368099937651046,-0.22702386142364617,0.09351381680843367,-0.3166633950308946,-0.10355589663217156,0.3750640251500027,0.09932454111733179,0.7259165728297993,0.2803273692741875,0.17464121680765243,0.2383347418359014,-0.04790834451362534,-0.04256564742026746,0.09533389673436056,True,4629,GRID,0.1751563784949655,0.23866784178970682,-0.04790834780817689,-0.054335466311004145,0.09546713671588272,False,1070,False,COMPOSITE_Q,0.17464121680765243,0.2383347418359014,-0.04790834451362534,-0.04256564742026746,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0002,2,6,10,1.0,0.2745873731085018,0.977669413561914,1.1086805256877947,0.40087584310773006,0.7483687780182361,-0.21783876050157652,-1.1086805256877947,-0.06352268892348366,0.4711934461162721,1.1379653847036766,0.3251652938590088,0.060411262207339174,-0.3603864122468898,0.3603864122468898,0.1310111121258808,0.12034559240686224,-0.03092987801692128,0.01973321227297982,-0.08263398702865163,0.04213350683533948,-0.17047675968660023,-0.5734816401816242,-0.5885435135874971,-0.707974821488676,-0.977669413561914,0.7483687780182361,0.08720687877328478,0.05360108356660469,0.29813227909301826,0.057762351239952534,-0.3177805720605317,0.3177805720605317,True,4013,GRID,0.053914181155780685,0.29838443012494775,0.057735474004071995,-0.31905728844190306,0.31905728844190306,False,1142,False,COMPOSITE_Q,0.05360108356660469,0.29813227909301826,0.057762351239952534,-0.3177805720605317,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0002,2,7,10,1.0,0.25053003603044327,0.6247057189229965,0.37542380961866756,0.31077709037226675,0.4062755784088589,-0.2176521484109626,-0.37542380961866756,-0.021510198809301696,0.3011934197473643,0.3551976239200996,0.148909768825849,0.008297038015861043,0.23082660711203737,0.23082660711203737,-0.03675218313781029,-0.23124316706188489,-0.009933799383461332,0.07891765676416558,-0.5900948943184696,-0.40751359274359356,-0.0953681853943017,-0.5111127631206619,-0.3810792136009114,-0.05353781279699182,-0.41217599275647787,0.4062755784088589,0.25532806544384484,0.1867278859581567,0.12617275034027434,0.019967461263029132,0.23144104684989586,0.23144104684989586,True,4565,LSQ_REFINED,0.18683729834117244,0.12650806310610238,0.019967443156151714,0.23043104623115238,0.23043104623115238,False,1102,False,COMPOSITE_Q,0.1867278859581567,0.12617275034027434,0.019967461263029132,0.23144104684989586,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0002,2,8,10,1.0,0.4046264607466104,0.8445852691534699,0.42125441743609326,0.4660965713951668,0.5477495013403687,0.4015021431224971,-0.42125441743609326,-0.02413609879263765,0.4297432404535707,0.41991871548622134,-0.4418601129017661,0.009776440321681653,0.13551601341563277,0.17674404516070644,0.604144628929289,0.3803675057534954,0.594720686603465,0.6990171304393876,0.03512228650154147,0.2842065019583473,0.5963915300252033,0.025339034789550977,0.15225762789670128,0.5526377314456674,0.18289021149319573,0.5477495013403687,0.3101904229023996,0.21819728850062228,-0.41950552172918987,0.02213563133625508,0.19341213764294582,0.19341213764294582,True,5069,GRID,0.21845421838092946,-0.4196623576958916,0.02214122538066263,0.1884380959717875,0.1884380959717875,False,1106,False,COMPOSITE_Q,0.21819728850062228,-0.41950552172918987,0.02213563133625508,0.19341213764294582,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0002,2,9,10,1.0,0.6260558112896526,1.3509112400977157,1.6741904183005467,0.7303605749507828,1.1683832984014528,-0.2560538898393821,1.6741904183005467,0.09592395544774512,0.5983691098476789,1.6487643238660628,0.19173728711872376,-0.11485778770417553,0.21596551176411885,0.21596551176411885,-0.9152062452320396,-1.2051536474348146,-0.6363954663023905,-0.33853735106264765,-1.0118878366284547,-0.364301631781525,0.25604502866918366,-0.3798127876310516,-0.06194467176499649,0.940411077650814,0.7589841730685071,1.1683832984014528,0.5365094365986649,0.33503697132845056,0.17965085570009112,-0.08599644282121767,0.29352458087525224,0.29352458087525224,True,5377,LSQ_REFINED,0.3351373003404077,0.17991670530227424,-0.08599637946164947,0.28809503440361073,0.28809503440361073,False,1054,False,COMPOSITE_Q,0.33503697132845056,0.17965085570009112,-0.08599644282121767,0.29352458087525224,0.0,0.0,0.0,0.0,0.0
development,DEVELOPMENT_0002,2,10,10,1.0,0.48176542521912086,0.9414413685398564,1.233507732227019,0.5482684361142017,0.8518412014072191,-0.21593103979623376,1.233507732227019,0.07067475120852447,0.45131038111285804,1.247572578086816,0.19887641142656617,-0.08343938508074837,0.0572668858117266,0.07955056457062647,-0.473390033496357,-0.7854694012356773,-0.7133177640338461,-0.4298564819886374,-0.6996962439660774,-0.12701271145703197,0.11057983817194901,-0.42757327453909716,-0.1413928645562655,0.6138432629955438,0.760117698730662,0.8518412014072191,0.41147204164999973,0.2737408978391329,0.2083286285490355,-0.06439144308771334,0.1446611218267489,0.1446611218267489,True,3357,GRID,0.2737539526294115,0.20818116405204903,-0.06439143519052598,0.1459255957675564,0.1459255957675564,False,1042,False,COMPOSITE_Q,0.2737408978391329,0.2083286285490355,-0.06439144308771334,0.1446611218267489,0.0,0.0,0.0,0.0,0.0
