rule_name,margin_threshold,uncertainty_threshold,utilization_threshold,n_triggered,trigger_rate_percent,high_regret_capture_percent,exact_miss_capture_percent,high_regret_precision_percent,exact_miss_precision_percent,triggered_mean_regret,nontriggered_mean_regret
margin_or_tree_std,0.0015659170414690719,0.07606277016589152,,99,19.8,19.8,30.303030303030305,100.0,10.1010101010101,0.005584682328183655,0.0015210724132101168
margin_or_tree_std,0.0015659170414690719,0.09103730722544372,,74,14.799999999999999,14.799999999999999,21.21212121212121,100.0,9.45945945945946,0.004471883550629421,0.0019528502475137594
margin_or_tree_std,0.0015659170414690719,0.12039645358614426,,50,10.0,10.0,12.121212121212121,100.0,8.0,0.00249231570592545,0.0023071506730914797
margin_or_tree_std,0.006742544927672853,0.0475849118962984,,192,38.4,38.4,69.6969696969697,100.0,11.979166666666668,0.004658376338940946,0.0008715108152947306
margin_or_tree_std,0.006742544927672853,0.05740543258281416,,170,34.0,34.0,63.63636363636363,100.0,12.352941176470589,0.004887972375429398,0.0010056917708013364
margin_or_tree_std,0.006742544927672853,0.06787304727593714,,146,29.2,29.2,60.60606060606061,100.0,13.698630136986301,0.005566509839500598,0.0009890484509049468
margin_or_tree_std,0.006742544927672853,0.07606277016589152,,121,24.2,24.2,60.60606060606061,100.0,16.528925619834713,0.006716615178240392,0.000923807787916494
margin_or_tree_std,0.006742544927672853,0.09103730722544372,,97,19.400000000000002,19.400000000000002,51.515151515151516,100.0,17.525773195876287,0.006090167719829718,0.0014195715120693697
margin_or_tree_std,0.006742544927672853,0.12039645358614426,,74,14.799999999999999,14.799999999999999,45.45454545454545,100.0,20.27027027027027,0.005552294182504988,0.001765173283291243
margin_or_tree_std,0.018084364881560053,0.0475849118962984,,211,42.199999999999996,42.199999999999996,81.81818181818183,100.0,12.796208530805686,0.005037711762178898,0.0003455931016183076
margin_or_tree_std,0.018084364881560053,0.05740543258281416,,190,38.0,38.0,78.78787878787878,100.0,13.684210526315791,0.005460135746694881,0.00040454127843681073
margin_or_tree_std,0.018084364881560053,0.06787304727593714,,167,33.4,33.4,75.75757575757575,100.0,14.97005988023952,0.006102879788120461,0.00043138938009405856
margin_or_tree_std,0.018084364881560053,0.07606277016589152,,143,28.599999999999998,28.599999999999998,75.75757575757575,100.0,17.482517482517483,0.007127139332979839,0.00040238841336504624
margin_or_tree_std,0.018084364881560053,0.09103730722544372,,121,24.2,24.2,72.72727272727273,100.0,19.834710743801654,0.007850947029432141,0.0005616596243434024
margin_or_tree_std,0.018084364881560053,0.12039645358614426,,98,19.6,19.6,66.66666666666666,100.0,22.448979591836736,0.007858041747379342,0.0009769788481200573
margin_or_tree_std,0.02800373921277931,0.0475849118962984,,224,44.800000000000004,44.800000000000004,84.84848484848484,100.0,12.5,0.004803138342464174,0.00031496594012849096
margin_or_tree_std,0.02800373921277931,0.05740543258281416,,204,40.8,40.8,81.81818181818183,100.0,13.23529411764706,0.005148880386099289,0.00037993915345670235
margin_or_tree_std,0.02800373921277931,0.06787304727593714,,184,36.8,36.8,81.81818181818183,100.0,14.673913043478262,0.005708541297631819,0.0003558923715923541
margin_or_tree_std,0.02800373921277931,0.07606277016589152,,163,32.6,32.6,81.81818181818183,100.0,16.56441717791411,0.006443997538431011,0.0003337151021459463
margin_or_tree_std,0.02800373921277931,0.09103730722544372,,144,28.799999999999997,28.799999999999997,81.81818181818183,100.0,18.75,0.007294247213640658,0.0003159044646718649
margin_or_tree_std,0.02800373921277931,0.12039645358614426,,122,24.4,24.4,78.78787878787878,100.0,21.311475409836063,0.00808181794350218,0.0004678619023284986
margin_or_tree_std,0.03620959548022318,0.0475849118962984,,242,48.4,48.4,93.93939393939394,100.0,12.8099173553719,0.004680680608933262,0.00011670108847127598
margin_or_tree_std,0.03620959548022318,0.05740543258281416,,222,44.4,44.4,90.9090909090909,100.0,13.513513513513514,0.004987357285649229,0.00020014485889679714
margin_or_tree_std,0.03620959548022318,0.06787304727593714,,204,40.8,40.8,90.9090909090909,100.0,14.705882352941178,0.0054274182226182795,0.00018797388774766758
margin_or_tree_std,0.03620959548022318,0.07606277016589152,,183,36.6,36.6,90.9090909090909,100.0,16.39344262295082,0.006050236707181033,0.00017552135890633945
margin_or_tree_std,0.03620959548022318,0.09103730722544372,,164,32.800000000000004,32.800000000000004,90.9090909090909,100.0,18.29268292682927,0.006751178764720299,0.00016559604396818335
margin_or_tree_std,0.03620959548022318,0.12039645358614426,,144,28.799999999999997,28.799999999999997,87.87878787878788,100.0,20.13888888888889,0.007241691026091253,0.0003371631472761185
margin_or_tree_std,0.04905521404897002,0.0475849118962984,,257,51.4,51.4,96.96969696969697,100.0,12.45136186770428,0.004504804389634622,2.09829631742428e-05
margin_or_tree_std,0.04905521404897002,0.05740543258281416,,237,47.4,47.4,93.93939393939394,100.0,13.080168776371309,0.004777229275056444,0.00011646482889376958
margin_or_tree_std,0.04905521404897002,0.06787304727593714,,222,44.4,44.4,93.93939393939394,100.0,13.963963963963963,0.0051000150368845825,0.0001101807553923072
margin_or_tree_std,0.04905521404897002,0.07606277016589152,,202,40.400000000000006,40.400000000000006,93.93939393939394,100.0,15.346534653465346,0.0056049670207345414,0.0001027860738223537
margin_or_tree_std,0.04905521404897002,0.09103730722544372,,185,37.0,37.0,93.93939393939394,100.0,16.756756756756758,0.0061200180442614995,9.723888888590921e-05
margin_or_tree_std,0.04905521404897002,0.12039645358614426,,166,33.2,33.2,93.93939393939394,100.0,18.67469879518072,0.00682050203727938,9.170733532653114e-05
margin_or_tree_std_or_utilization,0.006742544927672853,0.06787304727593714,0.2512163072405328,216,43.2,43.2,69.6969696969697,100.0,10.648148148148149,0.00406376852217397,0.0010037309415417651
margin_or_tree_std_or_utilization,0.006742544927672853,0.06787304727593714,0.2512163072405328,216,43.2,43.2,69.6969696969697,100.0,10.648148148148149,0.00406376852217397,0.0010037309415417651
