state_number,component_index,trajectory_type,config,predicted_quality,utilization,effort,penalty,objective,quality_cost_vs_standard,utilization_reduction_vs_standard,z_adj,theta_adj,locator_offset
24,4,random_feasible,P3_STRONG,4.475214383230738,0.8516293443077178,0.5742054599320291,0.03927907365428734,4.514493456885026,0.5871987663132909,0.14837065569228225,0.9559614252208664,1.0219552131692613,0.3429945059612709
24,4,random_feasible,P4_BARRIER,3.903507543970593,0.9406612257388771,0.6964166192824023,0.4542535934806657,4.357761137451258,0.015491927053145726,0.059338774261122884,-1.2501920611372954,1.1287934708866525,-0.56574548241476
25,5,heuristic,P0_STANDARD,0.7840553756576624,1.0,0.5777242601997739,0.0,0.7840553756576624,0.0,0.0,-0.08879039138779854,0.007055050311618238,-1.0
25,5,heuristic,P1_MILD,0.7795272025969062,1.0,0.5775196921537377,0.21000586984476044,0.9895330724416667,-0.0045281730607561466,0.0,-0.060531015820807,0.001034964928799953,-1.0
25,5,heuristic,P2_BALANCED,0.42817735786880634,0.2685875604964648,0.1796213896221652,0.001613192180489884,0.4297905500492962,-0.355878017788856,0.7314124395035352,-0.39103243032138524,-0.016420075189925498,-0.2685875604964648
25,5,heuristic,P3_STRONG,0.423860677124232,0.1540653290235855,0.09727360778486882,0.0007569723817187593,0.4246176495059507,-0.3601946985334304,0.8459346709764145,-0.1565499622702693,-0.03240169323167086,-0.1540653290235855
25,5,heuristic,P4_BARRIER,0.4706159995280926,0.1776928714638645,0.12104145585493169,0.0005860413614192551,0.47120204088951184,-0.3134393761295698,0.8223071285361355,-0.44423217865966125,-0.0145430058993814,0.11059598192301956
26,5,partial,P0_STANDARD,0.44739157597567236,0.26684263096967964,0.2026409823722768,0.0,0.44739157597567236,0.0,0.0,-0.569758110105492,0.008069931981253164,-0.26684263096967964
26,5,partial,P1_MILD,0.45279193494945624,0.23294105298765722,0.13556220973885216,0.0005513133812784163,0.45334324833073464,0.005400358973783881,0.033901577982022424,-0.582352632469143,-0.0038886706320515607,-0.029313865987237064
26,5,partial,P2_BALANCED,0.4213856653549293,0.2756097583061329,0.21973785479975647,0.002414236241599943,0.4237999015965292,-0.02600591062074309,-0.00876712733645324,-0.6890243957653321,-0.004158321236647389,-0.26245271486920896
26,5,partial,P3_STRONG,0.43348229325873355,0.2340814141742804,0.1587042907583411,0.0020149641524086458,0.4354972574111422,-0.013909282716938809,0.03276121679539923,-0.585203535435701,-0.00038875882669064943,-0.14410739849058973
26,5,partial,P4_BARRIER,0.4105947424802385,0.07009002772310939,0.0405179023039135,6.566801628437917e-05,0.41066041049652285,-0.03679683349543389,0.19675260324657023,-0.17522506930777348,0.004240780476785222,1.3931750204809745e-05
27,5,random_feasible,P0_STANDARD,0.4005559213054226,0.1462824709322998,0.09434007108553961,0.0,0.4005559213054226,0.0,0.0,-0.3657061773307495,-0.0705813287380288,-0.04291917057650119
