rule_name,margin_threshold,uncertainty_threshold,utilization_threshold,n_triggered,trigger_rate_percent,regret_capture_percent,positive_regret_capture_percent,exact_miss_capture_percent,positive_regret_precision_percent,exact_miss_precision_percent,positive_regret_lift,exact_miss_lift,triggered_mean_regret,nontriggered_mean_regret,regret_concentration
margin_or_tree_std,0.02800373921277925,0.05740543258281412,,204,40.8,90.32862564638476,81.81818181818183,81.81818181818183,13.23529411764706,13.23529411764706,2.0053475935828877,2.0053475935828877,0.005148880386099289,0.00037993915345670235,2.213936903097666
margin_or_tree_std,0.02800373921277925,0.06787304727593713,,184,36.8,90.32862564638474,81.81818181818183,81.81818181818183,14.673913043478262,14.673913043478262,2.2233201581027666,2.2233201581027666,0.005708541297631819,0.0003558923715923541,2.4545822186517596
margin_or_tree_std,0.02800373921277925,0.07606277016589147,,163,32.6,90.32862564638476,81.81818181818183,81.81818181818183,16.56441717791411,16.56441717791411,2.5097601784718346,2.5097601784718346,0.006443997538431011,0.0003337151021459463,2.7708167376191644
margin_or_tree_std,0.02800373921277925,0.09103730722544369,,144,28.799999999999997,90.32862564638476,81.81818181818183,81.81818181818183,18.75,18.75,2.840909090909091,2.840909090909091,0.007294247213640658,0.0003159044646718649,3.1364106127216935
margin_or_tree_std,0.02800373921277925,0.12039645358614419,,122,24.4,84.79130626456711,78.78787878787878,78.78787878787878,21.311475409836063,21.311475409836063,3.2290114257327365,3.2290114257327365,0.00808181794350218,0.0004678619023284986,3.4750535354330783
margin_or_tree_std,0.0362095954802231,0.047584911896298356,,242,48.4,97.41073175633659,93.93939393939394,93.93939393939394,12.8099173553719,12.8099173553719,1.9408965689957423,1.9408965689957423,0.004680680608933262,0.00011670108847127598,2.012618424717698
margin_or_tree_std,0.0362095954802231,0.05740543258281412,,222,44.4,95.21511320806972,90.9090909090909,90.9090909090909,13.513513513513514,13.513513513513514,2.0475020475020473,2.0475020475020473,0.004987357285649229,0.00020014485889679714,2.144484531713282
margin_or_tree_std,0.0362095954802231,0.06787304727593713,,204,40.8,95.21511320806974,90.9090909090909,90.9090909090909,14.705882352941178,14.705882352941178,2.228163992869875,2.228163992869875,0.0054274182226182795,0.00018797388774766758,2.3337037550997484
margin_or_tree_std,0.0362095954802231,0.07606277016589147,,183,36.6,95.21511320806974,90.9090909090909,90.9090909090909,16.39344262295082,16.39344262295082,2.483854942871336,2.483854942871336,0.006050236707181033,0.00017552135890633945,2.601505825357097
margin_or_tree_std,0.0362095954802231,0.09103730722544369,,164,32.800000000000004,95.21511320806974,90.9090909090909,90.9090909090909,18.29268292682927,18.29268292682927,2.7716186252771617,2.7716186252771617,0.006751178764720299,0.00016559604396818335,2.9028997929289555
margin_or_tree_std,0.0362095954802231,0.12039645358614419,,144,28.799999999999997,89.6777938262521,87.87878787878788,87.87878787878788,20.13888888888889,20.13888888888889,3.051346801346801,3.051346801346801,0.007241691026091253,0.0003371631472761185,3.1138122856337533
margin_or_tree_std,0.049055214048969994,0.047584911896298356,,257,51.4,99.56151420950192,96.96969696969697,96.96969696969697,12.45136186770428,12.45136186770428,1.8865699799551938,1.8865699799551938,0.004504804389634622,2.09829631742428e-05,1.9369944398735786
margin_or_tree_std,0.049055214048969994,0.05740543258281412,,237,47.4,97.36589566123506,93.93939393939394,93.93939393939394,13.080168776371309,13.080168776371309,1.9818437539956528,1.9818437539956528,0.004777229275056444,0.00011646482889376958,2.05413281985728
margin_or_tree_std,0.049055214048969994,0.06787304727593713,,222,44.4,97.36589566123509,93.93939393939394,93.93939393939394,13.963963963963963,13.963963963963963,2.1157521157521155,2.1157521157521155,0.0051000150368845825,0.0001101807553923072,2.192925577955745
margin_or_tree_std,0.049055214048969994,0.07606277016589147,,202,40.400000000000006,97.36589566123509,93.93939393939394,93.93939393939394,15.346534653465346,15.346534653465346,2.3252325232523248,2.3252325232523248,0.0056049670207345414,0.0001027860738223537,2.410046922307799
margin_or_tree_std,0.049055214048969994,0.09103730722544369,,185,37.0,97.36589566123509,93.93939393939394,93.93939393939394,16.756756756756758,16.756756756756758,2.538902538902539,2.538902538902539,0.0061200180442614995,9.723888888590921e-05,2.631510693546894
margin_or_tree_std,0.049055214048969994,0.12039645358614419,,166,33.2,97.36589566123506,93.93939393939394,93.93939393939394,18.67469879518072,18.67469879518072,2.829499817451624,2.829499817451624,0.00682050203727938,9.170733532653114e-05,2.93270770063961
margin_or_tree_std_or_utilization,0.006742544927672817,0.06787304727593713,0.2512163072405328,216,43.2,75.48577971142058,69.6969696969697,69.6969696969697,10.648148148148149,10.648148148148149,1.6133557800224467,1.6133557800224467,0.00406376852217397,0.0010037309415417651,1.7473560118384395
margin_or_tree_std_or_utilization,0.006742544927672817,0.06787304727593713,0.2512163072405328,216,43.2,75.48577971142058,69.6969696969697,69.6969696969697,10.648148148148149,10.648148148148149,1.6133557800224467,1.6133557800224467,0.00406376852217397,0.0010037309415417651,1.7473560118384395
margin_or_tree_std_or_utilization,0.006742544927672817,0.06787304727593713,0.2512163072405328,216,43.2,75.48577971142058,69.6969696969697,69.6969696969697,10.648148148148149,10.648148148148149,1.6133557800224467,1.6133557800224467,0.00406376852217397,0.0010037309415417651,1.7473560118384395
margin_or_tree_std_or_utilization,0.006742544927672817,0.06787304727593713,0.2829604804452713,157,31.4,69.8905195741633,60.60606060606061,60.60606060606061,12.738853503184714,12.738853503184714,1.9301293186643504,1.9301293186643504,0.005176499595968709,0.0010207672058902368,2.225812725291825
margin_or_tree_std_or_utilization,0.006742544927672817,0.07606277016589147,0.2512163072405328,201,40.2,75.48577971142056,69.6969696969697,69.6969696969697,11.442786069651742,11.442786069651742,1.7337554650987486,1.7337554650987486,0.004367034829798892,0.0009533765464811415,1.8777557142144419
margin_or_tree_std_or_utilization,0.006742544927672817,0.07606277016589147,0.2512163072405328,201,40.2,75.48577971142056,69.6969696969697,69.6969696969697,11.442786069651742,11.442786069651742,1.7337554650987486,1.7337554650987486,0.004367034829798892,0.0009533765464811415,1.8777557142144419
margin_or_tree_std_or_utilization,0.006742544927672817,0.07606277016589147,0.2512163072405328,201,40.2,75.48577971142056,69.6969696969697,69.6969696969697,11.442786069651742,11.442786069651742,1.7337554650987486,1.7337554650987486,0.004367034829798892,0.0009533765464811415,1.8777557142144419
margin_or_tree_std_or_utilization,0.006742544927672817,0.07606277016589147,0.2829604804452713,136,27.200000000000003,69.89051957416332,60.60606060606061,60.60606060606061,14.705882352941178,14.705882352941178,2.228163992869875,2.228163992869875,0.005975812033581525,0.0009618767901658,2.569504396108946
margin_or_tree_std_or_utilization,0.006742544927672817,0.09103730722544369,0.2512163072405328,184,36.8,64.08838815168772,63.63636363636363,63.63636363636363,11.41304347826087,11.41304347826087,1.7292490118577073,1.7292490118577073,0.004050224475846541,0.0013214945716192245,1.7415322867306446
margin_or_tree_std_or_utilization,0.006742544927672817,0.09103730722544369,0.2512163072405328,184,36.8,64.08838815168772,63.63636363636363,63.63636363636363,11.41304347826087,11.41304347826087,1.7292490118577073,1.7292490118577073,0.004050224475846541,0.0013214945716192245,1.7415322867306446
margin_or_tree_std_or_utilization,0.006742544927672817,0.09103730722544369,0.2512163072405328,184,36.8,64.08838815168772,63.63636363636363,63.63636363636363,11.41304347826087,11.41304347826087,1.7292490118577073,1.7292490118577073,0.004050224475846541,0.0013214945716192245,1.7415322867306446
margin_or_tree_std_or_utilization,0.006742544927672817,0.09103730722544369,0.2829604804452713,117,23.400000000000002,58.493128014430475,54.54545454545454,54.54545454545454,15.384615384615385,15.384615384615385,2.3310023310023307,2.3310023310023307,0.005813484951566443,0.0012601980387837203,2.4997063254030123
margin_or_tree_std_or_utilization,0.018084364881559973,0.06787304727593713,0.2512163072405328,233,46.6,91.13449926107522,81.81818181818183,81.81818181818183,11.587982832618025,11.587982832618025,1.7557549746390946,1.7557549746390946,0.004548251364095346,0.00038610869046150863,1.955675949808481
margin_or_tree_std_or_utilization,0.018084364881559973,0.06787304727593713,0.2512163072405328,233,46.6,91.13449926107522,81.81818181818183,81.81818181818183,11.587982832618025,11.587982832618025,1.7557549746390946,1.7557549746390946,0.004548251364095346,0.00038610869046150863,1.955675949808481
margin_or_tree_std_or_utilization,0.018084364881559973,0.06787304727593713,0.2512163072405328,233,46.6,91.13449926107522,81.81818181818183,81.81818181818183,11.587982832618025,11.587982832618025,1.7557549746390946,1.7557549746390946,0.004548251364095346,0.00038610869046150863,1.955675949808481
margin_or_tree_std_or_utilization,0.018084364881559973,0.06787304727593713,0.2829604804452713,178,35.6,87.64632660850127,75.75757575757575,75.75757575757575,14.04494382022472,14.04494382022472,2.1280217909431394,2.1280217909431394,0.005725735531551219,0.00044612628438298605,2.4619754665309346
margin_or_tree_std_or_utilization,0.018084364881559973,0.07606277016589147,0.2512163072405328,218,43.6,91.13449926107523,81.81818181818183,81.81818181818183,12.385321100917432,12.385321100917432,1.8765638031693077,1.8765638031693077,0.0048612044396064945,0.00036557099416036456,2.090240808740258
margin_or_tree_std_or_utilization,0.018084364881559973,0.07606277016589147,0.2512163072405328,218,43.6,91.13449926107523,81.81818181818183,81.81818181818183,12.385321100917432,12.385321100917432,1.8765638031693077,1.8765638031693077,0.0048612044396064945,0.00036557099416036456,2.090240808740258
margin_or_tree_std_or_utilization,0.018084364881559973,0.07606277016589147,0.2512163072405328,218,43.6,91.13449926107523,81.81818181818183,81.81818181818183,12.385321100917432,12.385321100917432,1.8765638031693077,1.8765638031693077,0.0048612044396064945,0.00036557099416036456,2.090240808740258
