model,assembly_id,component_index,trajectory_type,n_candidates,true_best_quality,true_best_source,predicted_best_predicted_quality,predicted_best_actual_quality,predicted_best_source,true_rank_of_predicted_best,exact_best_hit,top3_hit,top5_hit,absolute_regret,relative_regret_percent,zero_actual_quality,selected_beats_zero,true_best_beats_zero,selected_improvement_vs_zero_percent,rank_correlation,candidate_quality_range,best_to_second_quality_gap
scalar_rf,214,4,heuristic,21,0.06438423441819,informed,0.2075667748418075,0.06438423441819,informed,1,True,True,True,0.0,0.0,1.0623511594882302,True,True,93.93945835676351,0.9909090909090909,10.725539173729683,0.1482452932209146
scalar_rf,214,4,partial,21,0.0972357755379336,informed,0.2726643226725454,0.0972357755379336,informed,1,True,True,True,0.0,0.0,1.175536562751403,True,True,91.72839207056663,0.9623376623376624,12.208239127164186,0.1946632353506958
scalar_rf,214,4,random_feasible,21,0.8542711839624278,broad_random,2.017357234048268,2.8293698506649183,broad_random,2,False,True,True,1.9750986667024906,231.20277305167286,10.037190520798015,True,True,71.81113734164761,0.9805194805194805,20.383437926116823,1.9750986667024906
scalar_rf,214,5,zero,21,0.17895416795927,local_informed,0.5343275051588472,0.17895416795927,local_informed,1,True,True,True,0.0,0.0,1.5637029982072783,True,True,88.55574439874876,0.996103896103896,10.63683141014446,0.4800164197364878
scalar_rf,214,5,heuristic,21,0.0846501698656939,informed,0.0782811164092655,0.0846501698656939,informed,1,True,True,True,0.0,0.0,0.2703419374605665,True,True,68.68774017792137,0.9987012987012988,10.957165942523329,0.1214886490434458
scalar_rf,214,5,partial,21,0.2444742437852366,local_informed,0.3977923562978678,0.3163445465036654,informed,2,False,True,True,0.07187030271842879,29.397903683287275,0.8610058728258958,True,True,63.25872372212803,0.996103896103896,10.911312822034247,0.07187030271842879
scalar_rf,214,5,random_feasible,21,1.169758831072791,broad_random,2.527658635490148,1.169758831072791,broad_random,1,True,True,True,0.0,0.0,12.326725635910783,True,True,90.51038478811441,0.9844155844155844,22.402475588888,2.8320940556492946
scalar_rf,216,1,zero,21,0.0230172317155145,informed,0.0165081062897926,0.0230172317155145,informed,1,True,True,True,0.0,0.0,0.1886046228686816,True,True,87.7960405395044,0.9987012987012988,11.524434247614028,0.1655873911531671
scalar_rf,216,1,heuristic,21,0.0230172317155145,informed,0.0165081062897926,0.0230172317155145,informed,1,True,True,True,0.0,0.0,0.1886046228686816,True,True,87.7960405395044,0.9987012987012988,11.406471532083856,0.1655873911531671
scalar_rf,216,1,partial,21,0.0230172317155145,informed,0.0165081062897926,0.0230172317155145,informed,1,True,True,True,0.0,0.0,0.1886046228686816,True,True,87.7960405395044,0.996103896103896,11.832080440136064,0.1655873911531671
scalar_rf,216,1,random_feasible,21,0.0230172317155145,informed,0.0165081062897926,0.0230172317155145,informed,1,True,True,True,0.0,0.0,0.1886046228686816,True,True,87.7960405395044,0.9987012987012988,11.275286939120464,0.11572603724343658
scalar_rf,216,2,zero,21,0.0983902910905108,informed,0.1477941839476738,0.0983902910905108,informed,1,True,True,True,0.0,0.0,0.4590471134245222,True,True,78.56640675583108,0.9922077922077923,10.99381163386211,0.3606568223340114
