assembly_id,batch_condition,structured20_final_quality,warmstart_bo_final_quality,bo_quality_benefit,bo_better,structured_better,essential_tie,n_component_decisions,n_bo_refinements,mean_prediction_abs_error,max_prediction_abs_error,mean_regret,max_regret,mean_utilization,max_utilization,bo_refinement_rate_percent,bo_used_at_least_once
196,offset_drift,0.30196034954973,0.3190049973279429,-0.017044647778212907,False,True,False,5,1,0.011201653762130623,0.0456875369457784,0.03301952301031894,0.1076505959603791,0.15754211664172502,0.2511094812057697,20.0,True
222,offset_drift,0.2554840373863245,0.2326687185244977,0.022815318861826833,True,False,False,5,1,0.029915802850115795,0.1166667923884959,0.0,0.0,0.10678293110487551,0.1592186567848104,20.0,True
237,offset_drift,0.1570679463943664,0.1570679463943664,0.0,False,False,True,5,0,0.00891387352137386,0.0243346018122095,0.0,0.0,0.08788282485815938,0.1153035335421717,0.0,False
255,offset_drift,0.2901805556934448,0.3160993340761355,-0.025918778382690688,False,True,False,5,1,0.03568463081100576,0.1532893297186821,0.04883589781329548,0.1267092665432545,0.12282959616781222,0.1724192433665437,20.0,True
266,offset_drift,0.2046149921235948,0.226636776191796,-0.02202178406820121,False,True,False,5,1,0.025322005368808943,0.0461499483458077,0.01266327263579714,0.0633163631789857,0.12238751853947719,0.2017708493305783,20.0,True
274,offset_drift,0.2345764842929137,0.2345764842929137,0.0,False,False,True,5,0,0.008725792843737886,0.0236453948866268,0.04153279263241566,0.155374302362706,0.11625475085768164,0.2211732705577481,0.0,False
281,offset_drift,0.2910405036283382,0.2910405036283382,0.0,False,False,True,5,0,0.02028056029928494,0.0360591304673802,0.0,0.0,0.13417277800597616,0.2966799401890082,0.0,False
288,offset_drift,0.1106037923849019,0.1106037923849019,0.0,False,False,True,5,0,0.0020036013281519043,0.0048299740378908,0.0,0.0,0.0911404970824123,0.1037212800961985,0.0,False
290,offset_drift,0.2537308037386578,0.2537308037386578,0.0,False,False,True,5,0,0.01913511052692008,0.0350345218917539,0.00158501922483978,0.0079250961241989,0.09068690007806686,0.1615162795793993,0.0,False
295,offset_drift,0.1628616588217099,0.2503016290309893,-0.0874399702092794,False,True,False,5,1,0.02481194680472604,0.0514633408964168,0.039340944998555345,0.1687141666987055,0.12803944738984668,0.2618194861686832,20.0,True
313,offset_drift,0.124441594600456,0.124441594600456,0.0,False,False,True,5,0,0.05151937602705028,0.1809112597341407,0.0,0.0,0.10522830225182804,0.1460623624633939,0.0,False
323,offset_drift,0.2320622255385195,0.2320622255385195,0.0,False,False,True,5,0,0.005929698226717852,0.0239948317926567,0.00866070793598142,0.0433035396799071,0.11209209022572257,0.1703964699850263,0.0,False
327,offset_drift,0.2156180831924171,0.2156180831924171,0.0,False,False,True,5,0,0.00488602480986706,0.0119157586750764,0.0,0.0,0.06730393893175605,0.0953587226238515,0.0,False
329,offset_drift,0.1312421820595486,0.1423379577803513,-0.011095775720802697,False,True,False,5,1,0.029095356427649044,0.05815425702921,0.00221915514416054,0.0110957757208027,0.105848646475971,0.1206489000679242,20.0,True
335,angular_drift,0.0850494279878033,0.0850494279878033,0.0,False,False,True,5,0,0.02917129172869562,0.0894492715419902,0.00223721009010448,0.0111860504505224,0.06374602103426158,0.2297431698640102,0.0,False
337,angular_drift,0.1906152997740733,0.1842296697312441,0.006385630042829188,True,False,False,5,1,0.04024923372654556,0.1053858429247452,0.018215234281349902,0.0872728537699482,0.06422680030305876,0.1534819388185731,20.0,True
343,angular_drift,0.221864125594361,0.221864125594361,0.0,False,False,True,5,0,0.02820334313892332,0.0666818892971219,0.0,0.0,0.0829156984259688,0.2090173241762403,0.0,False
358,angular_drift,0.1998663784027192,0.1998663784027192,0.0,False,False,True,5,0,0.0039996344847395855,0.0115872533563076,0.00912685846784382,0.0287866364701045,0.030805685022605202,0.0400023426448843,0.0,False
371,angular_drift,0.1762242936755019,0.1762242936755019,0.0,False,False,True,5,0,0.03726237679720652,0.1156304610872204,0.0,0.0,0.08048610470473548,0.1785039560198511,0.0,False
373,angular_drift,0.1637413682339869,0.1637413682339869,0.0,False,False,True,5,0,0.006627602805953299,0.0126294218675809,0.0,0.0,0.03361468102289756,0.0404925678951024,0.0,False
381,angular_drift,0.0731926461565948,0.0731926461565948,0.0,False,False,True,5,0,0.006697360917837375,0.0129851077772459,0.0,0.0,0.02712046754325112,0.0397353931036667,0.0,False
