assembly_id,component_index,zero_quality,deterministic_quality,structured_quality,deterministic_z_adj,deterministic_theta_adj,deterministic_locator_offset,deterministic_utilization,least_squares_success
100013,5,0.16604024071253398,0.033596410228260466,0.0866541918555078,0.029447216638920942,1.987846675914698e-16,-0.02890395764966145,0.02890395764966145,True
100014,1,0.3540522312707649,0.033453387924335935,0.1001886014108135,-0.01260251611257036,-0.033878899268545336,-0.13176927100253585,0.13176927100253585,True
100014,2,0.3471933731274531,0.04259418307582394,0.0731467912688007,-4.1476207895990946e-17,0.0009881268941479052,0.07820594127047104,0.07820594127047104,True
100014,3,0.3499351846095996,0.03664481171504751,0.0856727469061298,0.019008197402270176,0.0,-0.0597122847355975,0.0597122847355975,True
100014,4,0.41834837432143623,0.08843074928732568,0.2242888641177027,-0.1182970483027142,0.0,-0.21170480993933188,0.21170480993933188,True
100014,5,0.4271643180003009,0.10231197378907499,0.1796789024586036,-2.1638934846336185e-17,0.0014302429404259916,-4.7898019101336176e-17,0.0011918691170216596,True
100015,1,0.004337663101278144,0.002461864726780994,0.0043376631012781,-0.006317942258421112,-4.969616689786745e-17,0.006201385268753946,0.006201385268753946,True
100015,2,0.0068623561248448185,0.0038947682408493715,0.0055406390507198,-0.003677294517970457,4.969616689786745e-17,0.0036094536986652627,0.0036094536986652627,True
100015,3,0.010298787027005594,0.005845133639571929,0.0076379400659996,-0.005005269313909669,0.0,0.004912929260797419,0.004912929260797419,True
100015,4,0.03262212327832857,0.03881070292178851,0.0300340173239626,-1.4167213068790955e-18,0.0017061756743442826,1.8600843521704435e-18,0.0014218130619535689,True
100015,5,0.06438542880561367,0.0833430773641939,0.0615447942791199,-5.331695420915139e-19,0.0020229459539008133,-5.285485590866834e-19,0.0016857882949173446,True
100016,1,0.23659960739030253,0.14823375984056758,0.1854846460895635,0.26720716548764323,0.005891868470101832,-0.13826580158007845,0.13826580158007845,True
100016,2,0.4111696831970048,0.1482337598405667,0.1451141765845809,-5.923056156617339e-17,0.022520587572766666,3.8977068100853884e-17,0.01876715631063889,True
100016,3,1.116405518544199,0.25019560613712233,0.2009564080647485,0.9619303477670387,0.004673554293172366,2.8155375166732943e-16,0.38477213910681546,True
100016,4,0.48641476961715197,0.45410075185331833,0.3403122166261103,-1.064374038849896,-6.107880565270343e-05,-4.053063240523668e-16,0.4257496155399584,True
100016,5,0.4071650229883021,0.4673416837445636,0.3964020808153755,-0.12485967253221794,-0.006629189032362328,-0.12447498700903888,0.12447498700903888,True
100017,1,0.0092007472245479,1.01313587164294e-18,0.0,0.013143924606496998,-1.2297294362554257e-21,2.3166418476129617e-18,0.005257569842598799,True
100017,2,0.03253694305416133,0.010466371789111816,0.0313454396238878,-0.02303633457721051,0.0,-0.0632993580388512,0.0632993580388512,True
100017,3,0.25049397010722046,0.11246353504073706,0.1822490321239878,-0.0923546305553856,-0.008008992601813088,-0.16527816872246115,0.16527816872246115,True
100017,4,0.3470799708175773,0.1482423128268973,0.2097012448693675,-0.047470057404110505,0.0011870098005763384,-0.14616752137436054,0.14616752137436054,True
100017,5,0.3116204018492063,0.14824231282689473,0.170398241583146,0.026368219058465987,-3.975693351829396e-16,0.04788523677576209,0.04788523677576209,True
100018,1,0.7986555949243231,0.12496470498548479,0.1343755550580685,0.8740203945781359,-0.017785306743950256,-0.10385152056984442,0.3496081578312543,True
100018,2,0.815886018888586,0.20561517634959103,0.1710702940919061,1.9488149829523564e-16,0.003674364291576594,-3.9471735342050396e-16,0.003061970242980495,True
100018,3,0.9800664624721069,0.20561517634959103,0.1635752425906957,-9.901559212559316e-18,-0.022758916102136,1.4690939437178585e-17,0.01896576341844667,True
100018,4,0.8795705536841478,0.23957859587262892,0.3437341185948407,-0.17003996829837476,0.0,-0.304304119901456,0.304304119901456,True
100018,5,0.9454927829709754,0.2938660920090236,0.3035282557387521,-0.00978508358973707,-0.0063390641411132645,7.639559557875986e-17,0.00528255345092772,True
100019,1,0.2685695913542498,0.02956374401397737,0.0885396173304343,-0.06506937763947339,0.025859822226144174,-0.11644838500775405,0.11644838500775405,True
100019,2,0.2789133826025034,0.035072824698661076,0.0737481003889149,-0.012125407774770008,-5.963540027744094e-16,-0.02169967201401147,0.02169967201401147,True
100019,3,0.5556068057854002,0.10254853965121344,0.2571813933313974,-0.44443796000559543,-0.01875890318202917,-0.27963215659317436,0.27963215659317436,True
100019,4,0.5508048990450947,0.1050642590098296,0.1837696359846681,-0.006709251074972562,-3.3793393490549868e-15,0.022547523040219813,0.022547523040219813,True
100019,5,0.5640808402962245,0.12016297025907471,0.1622896372649866,2.3969140589132383e-18,0.0017392868324086269,1.2265037076242269e-18,0.0014494056936738557,True
100020,1,0.27969099389334384,6.177038414085043e-17,0.0,-9.317255810881988e-18,-0.028879418203437892,1.2793585635328952e-17,0.024066181836198245,True
100020,2,0.32207988732384313,7.648204939973381e-15,0.1076622222302053,0.08163152999054477,-7.951386703658792e-16,0.11883459382166549,0.11883459382166549,True
100020,3,0.33979479922451045,2.2131612531282234e-17,0.0673126447639782,-0.24622798675618776,7.888971031823397e-16,-9.508969599528739e-17,0.09849119470247511,True
100020,4,0.6182810853442022,0.17770911583544965,0.1562012696129458,-0.37036992113699047,0.00805754670774599,-1.7911019889460533e-16,0.1481479684547962,True
100020,5,0.9707971254392219,0.17770911583544965,0.151342341141245,-0.5061010866318026,2.9173006564307685e-18,2.860473442917608e-17,0.20244043465272105,True
100021,1,0.22523643461420537,0.03182834679515401,0.0795912558430696,-0.07318561253752602,0.020537882729094594,-0.08005768832727693,0.08005768832727693,True
