assembly_id,batch_id,batch_condition,component_index,severity,scenario_type,zero_actual_quality,structured_predicted_quality,structured_actual_quality,structured_prediction_abs_error,structured_prediction_margin,structured_true_best_quality,structured_absolute_regret,structured_exact_best_hit,structured_top3_hit,structured_selected_true_rank,structured_z_adj,structured_theta_adj,structured_locator_offset,structured_utilization,structured_candidate_source,selective_trigger_margin,bo_triggered,selective_controller_source,selective_predicted_quality,selective_actual_quality,selective_prediction_abs_error,selective_beats_zero,selective_z_adj,selective_theta_adj,selective_locator_offset,selective_utilization,selective_capability_penalty,bo_best_was_structured_initial,selective_mean_gap,selective_max_gap,selective_parallelism,selective_rms,quality_improvement,quality_improvement_percent,residual_quality_ratio,controller_improved_case,controller_worsened_case,improvement_per_utilization,observed_correctability_class,high_regret_case,higher_capability_case,higher_residual_case
100172,18,fixture_drift,2,medium,mixed,0.4975229442510931,0.2007027692157519,0.223054421391788,0.0223516521760361,0.0229258657986263,0.223054421391788,0.0,True,True,1,-0.0569992306901442,7.951386703658792e-19,-0.2587991435028968,0.2587991435028968,informed,0.0229258657986263,True,warmstart_bo,0.2007027692157518,0.223054421391788,0.0223516521760361,True,-0.0569992306901442,7.951386703658792e-19,-0.2587991435028968,0.2587991435028968,0.0008999576352762,True,0.2180591096567961,0.4416592415704676,5.551115123125783e-17,0.2513891602360883,0.2744685228593051,55.16700808089456,0.4483299191910543,True,False,1.0605464884632934,CORRECTABLE,False,True,False
100172,18,fixture_drift,3,high,bend,0.6557375861714297,0.2250795317417234,0.2354475554544408,0.0103680237127174,0.1272512570215689,0.2354475554544408,0.0,True,True,1,-0.0937875931385813,1.5902773407317584e-18,-0.2587991435028968,0.2587991435028968,informed,0.1272512570215689,False,structured_direct,0.2250795317417234,0.2354475554544408,0.0103680237127174,True,-0.0937875931385813,1.5902773407317584e-18,-0.2587991435028968,0.2587991435028968,0.0,,0.2295385416441541,0.4672637908122569,2.775557561562892e-17,0.2640685571751755,0.42029003071698895,64.09424129107529,0.35905758708924707,True,False,1.6240008565263453,CORRECTABLE,False,True,False
100172,18,fixture_drift,4,extreme,waviness,0.858394461940629,0.3162610762367292,0.3248388251787106,0.0085777489419814,0.1128677917533438,0.3248388251787106,0.0,True,True,1,-0.087649063819249,7.951386703658792e-19,-0.2587991435028968,0.2587991435028968,informed,0.1128677917533438,False,structured_direct,0.3162610762367292,0.3248388251787106,0.0085777489419814,True,-0.087649063819249,7.951386703658792e-19,-0.2587991435028968,0.2587991435028968,0.0,,0.2901610159426416,0.6752415693413435,1.9428902930940242e-16,0.3521804959351509,0.5335556367619183,62.157395046057715,0.37842604953942277,True,False,2.0616592062096455,DIFFICULT,False,True,True
100172,18,fixture_drift,5,low,twist,0.973652614378646,0.3467578267805061,0.321503329060736,0.02525449771977,0.0687172776276763,0.321503329060736,0.0,True,True,1,-0.0628041936001011,5.565970692561154e-18,-0.2587991435028968,0.2587991435028968,informed,0.0687172776276763,False,structured_direct,0.3467578267805061,0.321503329060736,0.02525449771977,True,-0.0628041936001011,5.565970692561154e-18,-0.2587991435028968,0.2587991435028968,0.0,,0.2902828862847656,0.6642498323333872,1.1102230246251563e-16,0.3514351347529009,0.65214928531791,66.97966766453874,0.3302033233546126,True,False,2.519905114410127,DIFFICULT,False,True,True
100173,18,fixture_drift,1,medium,mixed,0.4504657431866797,0.1297603211930164,0.1028066680847522,0.0269536531082641,0.1165529996182564,0.1028066680847522,0.0,True,True,1,-0.3613127203856097,-0.0,-0.2587991435028968,0.2587991435028968,informed,0.1165529996182564,False,structured_direct,0.1297603211930164,0.1028066680847522,0.0269536531082641,True,-0.3613127203856097,-0.0,-0.2587991435028968,0.2587991435028968,0.0,,0.1174434942674713,0.1817648669220318,0.0,0.1304415972790128,0.3476590751019275,77.17769449959093,0.2282230550040907,True,False,1.3433548132976572,CORRECTABLE,False,True,False
100173,18,fixture_drift,2,medium,waviness,0.5847887467039716,0.1204361657946926,0.1184904711800307,0.0019456946146618,0.0325394268923265,0.1105342807638339,0.0079561904161968,False,True,2,-0.0587217471337356,-0.0,-0.2587991435028968,0.2587991435028968,informed,0.0325394268923265,False,structured_direct,0.1204361657946926,0.1184904711800307,0.0019456946146618,True,-0.0587217471337356,-0.0,-0.2587991435028968,0.2587991435028968,0.0,,0.112546277847456,0.2388944128979493,4.163336342344337e-17,0.1305826395640917,0.46629827552394093,79.73790161868278,0.2026209838131722,True,False,1.8017767339277209,CORRECTABLE,False,True,False
100173,18,fixture_drift,3,high,mixed,1.0402552772096547,0.1946630789878818,0.1447237795715204,0.0499392994163614,0.0560261846821798,0.1447237795715204,0.0,True,True,1,-0.1001140952549052,0.0648264326442782,-0.016403944152527,0.0540220272035651,informed,0.0560261846821798,False,structured_direct,0.1946630789878818,0.1447237795715204,0.0499392994163614,True,-0.1001140952549052,0.0648264326442782,-0.016403944152527,0.0540220272035651,0.0,,0.125240568103986,0.3067048512507678,5.551115123125783e-17,0.1514015376509429,0.8955314976381343,86.08766686964351,0.13912333130356477,True,False,16.577154616275397,CORRECTABLE,False,False,False
100173,18,fixture_drift,4,low,tilt,1.1835881081223696,0.1785756413068043,0.158462841217138,0.0201128000896662,0.0697758047134883,0.158462841217138,0.0,True,True,1,-0.0431499293191489,0.0042880749438203,-0.2587991435028968,0.2587991435028968,informed,0.0697758047134883,False,structured_direct,0.1785756413068043,0.158462841217138,0.0201128000896662,True,-0.0431499293191489,0.0042880749438203,-0.2587991435028968,0.2587991435028968,0.0,,0.1365884592630607,0.3367208169905398,2.775557561562892e-17,0.1647005834105788,1.0251252669052315,86.61165652732676,0.13388343472673242,True,False,3.9610844650796038,CORRECTABLE,False,True,False
100173,18,fixture_drift,5,medium,bend,1.3836574731343751,0.2306235260686193,0.2391915592228657,0.0085680331542463,0.0684447530901078,0.2391915592228657,0.0,True,True,1,-0.0405546263500511,-7.951386703658792e-19,-0.2587991435028968,0.2587991435028968,informed,0.0684447530901078,False,structured_direct,0.2306235260686193,0.2391915592228657,0.0085680331542463,True,-0.0405546263500511,-7.951386703658792e-19,-0.2587991435028968,0.2587991435028968,0.0,,0.223125292823627,0.4870825259759977,2.775557561562892e-17,0.2612921358297828,1.1444659139115094,82.71309454347619,0.17286905456523805,True,False,4.422216775608066,DIFFICULT,False,True,True
100174,18,fixture_drift,1,high,bend,0.3478992789451848,0.2326230552633642,0.2437210850404973,0.011098029777133,0.0824105139905637,0.2437210850404973,0.0,True,True,1,-0.0,-0.0,-0.2587991435028968,0.2587991435028968,informed,0.0824105139905638,False,structured_direct,0.2326230552633642,0.2437210850404973,0.011098029777133,True,-0.0,-0.0,-0.2587991435028968,0.2587991435028968,0.0,,0.2875603445073662,0.4189233753683709,4.8572257327350605e-17,0.3177596907777619,0.1041781939046875,29.944929526888114,0.7005507047311188,True,False,0.4025445853282795,DIFFICULT,False,True,True
