assembly_id,batch_id,batch_condition,zero_final_quality,structured20_final_quality,selective_bo_final_quality,structured20_beats_zero,selective_bo_beats_zero,selective_bo_beats_structured20,structured20_beats_selective_bo,structured20_improvement_vs_zero_percent,selective_improvement_vs_zero_percent,selective_minus_structured_quality,n_bo_triggers,bo_trigger_rate_percent,selective_final_mean_gap,selective_final_max_gap,selective_final_parallelism,selective_final_rms,structured_improvement,structured_improvement_percent,structured_residual_ratio,assembly_improved,high_residual_assembly,difficult_assembly
100028,3,normal,0.4780277968696324,0.2321732840849327,0.2321732840849327,True,True,False,False,51.43100765157994,51.43100765157994,0.0,2,40.0,0.1943423655388757,0.5010038032831718,1.249000902703301e-16,0.2356943343831844,0.24585451278469972,51.431007651579954,0.4856899234842005,True,False,False
100029,3,normal,0.5155696035755715,0.1801504114291368,0.1801504114291368,True,True,False,False,65.05798437693764,65.05798437693764,0.0,5,100.0,0.1558914084236038,0.3806819434792369,8.326672684688674e-17,0.1917840585828462,0.3354191921464347,65.05798437693765,0.34942015623062345,True,False,False
100030,3,normal,1.3655728409158183,0.1576998553183108,0.1576998553183108,True,True,False,False,88.45174343006487,88.45174343006487,0.0,2,40.0,0.138171909696941,0.3318218499869611,0.0,0.1670172741314021,1.2078729855975074,88.45174343006487,0.11548256569935131,True,False,False
100031,4,normal,0.2082115813512549,0.2149287379152025,0.2149287379152025,False,False,False,False,-3.2261205262236405,-3.2261205262236405,0.0,3,60.0,0.185845710152231,0.455305560068516,1.3877787807814457e-17,0.2258335684897844,-0.006717156563947613,-3.2261205262236143,1.0322612052622362,False,False,True
100032,4,normal,0.5173858454002654,0.1085964750010016,0.1085964750010016,True,True,False,False,79.0105438781403,79.0105438781403,0.0,2,40.0,0.0913408820702048,0.2357916279778771,5.551115123125783e-17,0.1045672198657703,0.40878937039926383,79.0105438781403,0.20989456121859704,True,False,False
100033,4,normal,0.2571293280119716,0.1709408684158275,0.1709408684158275,True,True,False,False,33.51949785834281,33.51949785834281,0.0,4,80.0,0.1723326764367429,0.3320839810645277,0.0,0.1961587116544632,0.08618845959614407,33.51949785834281,0.6648050214165719,True,False,False
100034,4,normal,0.3889899048438474,0.0711293151313888,0.0711293151313888,True,True,False,False,81.71435447407244,81.71435447407244,0.0,1,20.0,0.0894982626500587,0.1157386073313581,0.0,0.0955825413696381,0.31786058971245856,81.71435447407245,0.18285645525927546,True,False,False
100035,4,normal,0.3617749802187941,0.1747741985372666,0.1747741985372666,True,True,False,False,51.689804963414886,51.689804963414886,0.0,1,20.0,0.1570502416356674,0.3624614982650828,5.551115123125783e-17,0.1892067656704157,0.1870007816815275,51.6898049634149,0.483101950365851,True,False,False
100036,4,normal,0.6183498455036242,0.3719346180545548,0.3044662448088717,True,True,True,False,39.8504550847543,50.76149092252224,-0.0674683732456831,1,20.0,0.3084953498616807,0.5643337069386093,0.0266575268166475,0.3462026972379046,0.24641522744906935,39.8504550847543,0.601495449152457,True,True,True
100037,4,normal,0.4458846073766435,0.2758327814716427,0.2758327814716427,True,True,False,False,38.13807946982035,38.13807946982035,0.0,3,60.0,0.2416890158211654,0.5816698624732609,2.775557561562892e-17,0.2882511798331484,0.1700518259050008,38.138079469820354,0.6186192053017964,True,False,False
