strategy,scenario_type,severity_level,disturbance_flag,evaluated_cases,mean_quality_score,median_quality_score,std_quality_score,worst_case_quality_score,pass_rate_percent
batch_adaptive_setting,waviness_dominant,medium,normal,50,0.8183826502720817,0.7699176355118533,0.33435994985850187,1.5725009466499729,88.0
global_best_fixed_setting,bend_dominant,high,normal,50,1.1023573630079557,1.0387611744473935,0.5183076278745425,2.2351793210094337,66.0
global_best_fixed_setting,bend_dominant,low,normal,50,0.49792505079920896,0.4935474853458841,0.22733750540032524,0.9918861317713314,100.0
global_best_fixed_setting,bend_dominant,medium,normal,50,0.8800099824430447,0.8300848894872404,0.36054459397838284,1.630816631064698,84.0
global_best_fixed_setting,disturbed_batch,high,disturbed,50,8.525558875838623,8.428929369160066,2.257502619875817,12.10692813448696,0.0
global_best_fixed_setting,fixture_drift,high,normal,50,1.4970382633635217,1.3187953248089765,0.8480116407306583,3.368877788112577,42.0
global_best_fixed_setting,fixture_drift,low,normal,50,0.9062338361442517,0.9501033847952263,0.408755442381301,1.596917767477247,62.0
global_best_fixed_setting,fixture_drift,medium,normal,50,1.4007432641605695,1.4438573761821076,0.7212947634502714,2.6193013313376037,42.0
global_best_fixed_setting,mixed,high,normal,50,3.352963172066112,2.9659732929508156,1.9442495090137744,7.347287462742124,14.000000000000002
global_best_fixed_setting,mixed,low,normal,50,1.8938937671680818,1.9945487170341476,0.955874612593689,3.4183716039501753,24.0
global_best_fixed_setting,mixed,medium,normal,50,2.959985338551006,3.0238772303110424,1.5479418448883697,5.497458309883871,20.0
global_best_fixed_setting,offset_dominant,high,normal,50,1.3159582806737005,1.3979239124493126,0.5556631904573538,2.4999528113252607,34.0
global_best_fixed_setting,offset_dominant,low,normal,50,0.57184012510845,0.553368145186601,0.2814827600123917,1.037042510914969,100.0
global_best_fixed_setting,offset_dominant,medium,normal,50,0.914870282125246,0.8718866138415995,0.37467085390472077,1.878356705049658,78.0
global_best_fixed_setting,tilt_dominant,high,normal,50,5.150942058900326,5.565324200063723,2.7249888138956573,9.766842158868187,6.0
global_best_fixed_setting,tilt_dominant,low,normal,50,2.076057427148393,1.8159702546614314,1.1786363505334259,4.146663039421165,20.0
global_best_fixed_setting,tilt_dominant,medium,normal,50,3.835090894837906,4.136666600974457,1.9655895116674147,7.0997078184837115,14.000000000000002
global_best_fixed_setting,twist_dominant,high,normal,50,1.2648745397326195,1.2794869643461806,0.6900497408769719,2.4867354200783427,48.0
global_best_fixed_setting,twist_dominant,low,normal,50,0.6015722338950303,0.564190932942428,0.2849318844754155,1.1370994785397026,100.0
global_best_fixed_setting,twist_dominant,medium,normal,50,0.9384856452163197,0.928325528729706,0.43890136846295214,1.7939012775578123,68.0
global_best_fixed_setting,waviness_dominant,high,normal,50,1.1298514288345458,1.1571651669751029,0.5260250297621811,2.074336184168555,60.0
global_best_fixed_setting,waviness_dominant,low,normal,50,0.5726897618432265,0.5666128833444612,0.20247337328679105,0.9759094176931695,100.0
global_best_fixed_setting,waviness_dominant,medium,normal,50,0.8184159424539591,0.7641554319399001,0.33406233209924274,1.5768415402718057,88.0
individual_adaptive_setting,bend_dominant,high,normal,50,0.7513487623058629,0.817441456882101,0.29527740415538956,1.236627400266251,96.0
individual_adaptive_setting,bend_dominant,low,normal,50,0.43963412382825146,0.39726479746177834,0.23660934779252002,0.8836225234410299,100.0
individual_adaptive_setting,bend_dominant,medium,normal,50,0.7219716060873133,0.6801735130200912,0.29618110266709163,1.256231663239999,96.0
individual_adaptive_setting,disturbed_batch,high,disturbed,50,0.8602657241933365,0.8400611077240752,0.29735394469311155,1.3593405137257253,94.0
individual_adaptive_setting,fixture_drift,high,normal,50,0.6589462848430229,0.6644001116723883,0.3427123184992347,1.1746443786426568,92.0
individual_adaptive_setting,fixture_drift,low,normal,50,0.7976095431467829,0.8647475648774555,0.31975681564784875,1.2105261793656856,82.0
individual_adaptive_setting,fixture_drift,medium,normal,50,0.5973813717453701,0.5365086537816306,0.30263034000989,1.1714232777285303,96.0
individual_adaptive_setting,mixed,high,normal,50,0.7067390775542961,0.7241353581100789,0.32264578249650266,1.2390589836007102,96.0
individual_adaptive_setting,mixed,low,normal,50,0.5481090074623538,0.491589206400658,0.29749674146921545,1.1616253628188753,98.0
individual_adaptive_setting,mixed,medium,normal,50,0.6507765366258171,0.5921258999268406,0.3014709478827583,1.2133550228457366,92.0
individual_adaptive_setting,offset_dominant,high,normal,50,0.6736941403305188,0.6479135998017591,0.306533482193706,1.1773130205288724,96.0
