case_id,dev_offset,dev_tilt,dev_bend,dev_waviness,dev_noise,z_adj,theta_adj,locator_offset,mean_gap,max_gap,parallelism_error,rms_deviation,quality_score,tolerance_pass
1257,-1.9446923437908326,-0.22383529977257544,0.7081923129223471,0.777382186702055,0.13254808190265832,-0.07962694031430573,0.7507614796712798,-0.8593390842647719,3.3102300127138573,6.464837912727697,9.105810590561363,3.9228910687088487,6.056552661671761,0
1258,0.2890893903395333,0.8485968260289403,-0.3108445575277803,0.7680805037304925,0.03310276450936579,-1.9718309523330324,0.05942960659608265,0.8144937439624487,4.030718084864618,10.287193281181382,15.80901870979131,4.826350186519937,9.520714041403187,0
1259,-0.7548831250210233,0.6003206387979048,-0.9924082023591572,0.5964563168007516,0.08355404120811465,-1.624915123028139,0.5234093986502606,0.4275122269128546,4.927917414471442,12.176221516460288,19.635794737338276,5.859745152216002,11.607954615702603,0
1260,0.06174091657376124,-0.5490647247146507,-1.1031183232650104,0.7658040387678314,0.09837188073887328,1.5462074178669196,0.4727292697205798,0.6589473303845779,2.635847663661615,3.9540340457672007,1.3101651954590716,2.750843123197074,2.6450983837860735,0
1261,-1.3500367210043063,-0.0060995509059111885,0.50137431150688,0.08271191991617438,0.022493542399261244,0.6699129712547327,0.8848939302091681,0.3208323578831953,3.931818515941797,8.303695152943265,15.37462269463716,4.560655762129894,8.739106485269655,0
1262,-1.8551807461756975,0.940865834180646,-1.0814792972812648,0.1860497868419918,0.14624509228570864,1.3551649832668744,1.0477840329084158,0.6132393856160594,8.778269398063664,17.86071573993665,34.6727171390571,10.12391660788384,19.40590234390561,0
1263,0.6069379000128001,-0.430894002273988,-0.5193556749014239,0.7578168584354958,0.12909384242334668,-0.7025477577883676,-0.30415819771031083,-0.40461121944823053,3.1822139727605765,7.005316258225414,12.828766845537192,3.679733359754074,7.272862458932362,0
1264,-0.6954794294999842,0.7213349325775713,-1.4684794302304596,0.3488420968876198,0.14142595177918618,0.2131817759140442,-0.11893010365463152,-0.37526039060082383,2.6871480720306415,5.987802469916314,10.788549396454629,3.072393262132308,6.1462893077337055,0
1265,-1.7043494805523847,-0.5510270439449743,-1.2286247701893862,0.1013595437723426,0.024527481618940472,-0.9898528395786077,-1.173559968010715,0.9002877711864954,7.59479857726268,17.72402743719541,30.12914880087527,8.911173983910487,17.525509842991056,0
1266,-1.5047236292921018,-0.2337022552808259,1.1385826791443416,0.0852543761526098,0.07254063776311812,1.7239179877069786,0.13671029768193632,-0.5793128091544799,0.9815856662821096,1.64146652418626,1.6944289018373557,1.0744416849825482,1.4026884961899724,0
1267,0.9420381256503254,0.3626821257350157,-0.41344228035922725,0.037036129265100116,0.0011797034844140853,1.6269644156358583,-0.4282623322582354,-0.7244602027881908,2.519974100420453,3.166304356382902,1.1443192684023105,2.5468626213633105,2.303865579698031,0
1268,0.07420490465192842,0.8416665914501802,-1.4745574064328069,0.04491483254113158,0.06255673988776085,0.8798295337753173,-0.05735889895907942,0.7950968769308093,4.10774119493545,7.785774751868732,13.56453633916611,4.651737291660586,8.102589414957146,0
1269,-1.8236617778500874,-0.31971826071251286,-0.44595633183383776,0.2721017807890734,0.0731528868185086,1.4528852259730525,-0.43708172063323836,0.48896641326440515,3.3249066306159483,6.846959361877166,13.297144507412876,3.845191292390971,7.425222279210893,0
1270,-1.4141381148837144,0.1214497112679005,-0.37473592300336467,0.4313686418364565,0.016162462555837413,2.2673142338045427,0.974913880324267,0.6527926085812579,4.992045529289132,10.34191095311882,19.185783282286312,5.695912687665127,10.92551319817479,0
