assembly_id,component_index,scenario,deviation_value,nominal_mean_gap,nominal_max_gap,nominal_parallelism,nominal_quality,corrected_mean_gap,corrected_max_gap,corrected_parallelism,corrected_quality
3,4,waviness,0.1450896482787213,0.4371715897609105,0.682879497850647,0.3393757672466605,0.48368597001331304,0.09761282626097982,0.19850977193964398,8.326672684688674e-17,0.10003493623720686
3,5,twist,0.07012640133780684,0.4261247666294727,0.6653478975161954,0.3393757672466605,0.4740986261103222,0.0995717980996987,0.2271376529111998,0.036718097894092014,0.12055700912009717
4,1,offset,-0.30075236200913336,0.3007523620091335,0.30075236200913336,0.0,0.2105266534063934,0.0,0.0,0.0,0.0
4,2,tilt,0.009218769602062471,0.3007523620091334,0.3812013039727363,0.16089788392720594,0.28329433391089354,0.0,0.0,0.0,0.0
4,3,bend,0.1232893919336801,0.2230474024997265,0.3812013039727363,0.16089788392720597,0.2526605214547811,0.03716431342443619,0.06164469596684005,1.3877787807814457e-17,0.033819734697066714
4,4,waviness,0.13513801205229092,0.22304740249972643,0.39093276171808367,0.16089788392720586,0.2569992569631077,0.08741231571725129,0.16600302565362446,8.326672684688674e-17,0.08582575618061422
4,5,twist,-0.007488886647937934,0.22186769835588133,0.3889894933674726,0.16089788392720586,0.2559514659867854,0.08722432193073734,0.16284085802806336,0.003921171879474758,0.0859697090193067
5,1,offset,-0.0647018272408412,0.0647018272408412,0.0647018272408412,0.0,0.04529127906858883,0.0,0.0,0.0,0.0
5,2,tilt,-0.017023238610098534,0.08896899199410056,0.21325761316153047,0.29711157184137854,0.19061335661729908,0.0,0.0,0.0,0.0
5,3,bend,0.29780330709392244,0.1623692616859282,0.2482371057292183,0.2971115718413785,0.2300087921342985,0.08976973014536137,0.14890165354696122,2.7755575615628914e-17,0.08169096042945267
5,4,waviness,0.09381882071724792,0.18194090945607333,0.3411480577914945,0.2971115718413786,0.2657026470159992,0.08691740616788367,0.1956171863151408,2.7755575615628914e-17,0.09544256215546265
5,5,twist,-0.06424917332446609,0.18806366598533023,0.34419425947048204,0.2971115718413786,0.26901723199986477,0.08828754073435263,0.19540210525981885,0.033640788498583735,0.10596805561065972
6,1,offset,-0.12324674267088034,0.12324674267088037,0.12324674267088034,0.0,0.08627271986961625,0.0,0.0,0.0,0.0
6,2,tilt,0.01330772963883372,0.12324674267088036,0.23937859384062188,0.23226370233948307,0.1925291459787191,0.0,0.0,0.0,0.0
