assembly_id,batch_condition,component_index,severity,scenario_type,best_predicted_quality,second_best_predicted_quality,predicted_quality_margin,normalized_quality_margin,selected_tree_std,selected_tree_iqr,selected_tree_range,selected_utilization,selected_candidate_source,actual_regret,exact_best_hit,exact_best_miss,top3_hit,high_regret
640,fixture_drift,3,high,bend,0.18295496204534858,0.26545971375704663,0.08250475171169805,0.45095662227104727,0.020265582809304808,0.0,0.18059590153053057,0.2512163072405328,informed,0.0,True,False,True,True
640,fixture_drift,4,extreme,offset,0.1734439604924525,0.17504579046421512,0.0016018299717626139,0.009235432396807604,0.0361488823838287,0.0,0.2563602973781536,0.2512163072405328,informed,0.0025430740626454,False,True,True,True
640,fixture_drift,5,low,bend,0.22248634562240344,0.22480881189875576,0.002322466276352325,0.010438691281728987,0.03718162599613401,0.0,0.36738903198312645,0.2512163072405328,informed,0.0,True,False,True,True
653,fixture_drift,1,medium,mixed,0.19916629551269546,0.3222872158939277,0.12312092038123226,0.6181815053811862,0.12268570409670947,0.11063752984945638,0.7338039187977348,0.2512163072405328,informed,0.0,True,False,True,True
653,fixture_drift,2,medium,mixed,0.19000868095911727,0.19576180801992035,0.0057531270608030816,0.0302782327194879,0.03672062424128031,0.02797347848928436,0.23993040568682097,0.2512163072405328,informed,0.0561069753908232,False,True,True,True
653,fixture_drift,3,high,twist,0.18574458814331057,0.3184175566773695,0.1326729685340589,0.7142763612132568,0.025081685528644586,0.039590916351581795,0.1614886502640857,0.2512163072405328,informed,0.0,True,False,True,True
653,fixture_drift,4,low,bend,0.20927900195186389,0.30827826087826105,0.09899925892639716,0.473049173605902,0.03481457145191964,0.021680657552776372,0.3020075248092896,0.2512163072405328,informed,0.0,True,False,True,True
653,fixture_drift,5,medium,offset,0.23622948579189512,0.24989090234160416,0.013661416549709038,0.05783112342607382,0.061794942020404565,0.04068578738392015,0.45220237411266495,0.2512163072405328,informed,0.0,True,False,True,True
655,fixture_drift,1,medium,mixed,0.03350317778963812,0.13005549654361281,0.09655231875397469,2.8818853948784655,0.003997742180465633,0.0,0.025631929096992308,0.2512163072405328,informed,0.0,True,False,True,True
655,fixture_drift,2,medium,mixed,0.14146857340109859,0.18589138690431015,0.04442281350321156,0.3140118857158603,0.029254821342370018,0.0035206082239488123,0.24069800590415652,0.2512163072405328,informed,0.0,True,False,True,True
655,fixture_drift,3,high,offset,0.15137156732779403,0.34700153700499275,0.19562996967719873,1.2923825334619377,0.06274235744043594,0.022738831324188524,0.5323998222856856,0.31279210014880265,informed,0.0,True,False,True,True
655,fixture_drift,4,low,mixed,0.20588236534161247,0.3251412071713875,0.11925884182977503,0.5792571968555614,0.07028638338536729,0.014089179410535446,0.4176561747340318,0.2512163072405328,informed,0.0,True,False,True,True
655,fixture_drift,5,medium,mixed,0.22770170298453843,0.39641012727793856,0.16870842429340013,0.7409185881444896,0.11491640413731963,0.08611062849613252,0.6969143722034671,0.16282148095539628,informed,0.0,True,False,True,True
673,high_variation,1,high,tilt,0.000312766106096967,0.02784152760390302,0.027528761497806052,88.01708676601709,0.0029506292354220362,0.0,0.028148946640762902,0.0024220934528932504,informed,0.0,True,False,True,True
673,high_variation,2,high,mixed,0.11363189598108184,0.2829120554664207,0.16928015948533884,1.489723972514915,0.016441846669063037,0.0,0.1621235670159488,0.3340843900092721,informed,0.0,True,False,True,True
673,high_variation,3,extreme,twist,0.12854274643554378,0.13083722727250272,0.0022944808369589342,0.017849944089295418,0.00996464218067194,0.0,0.07522269847877941,0.001699956337533871,informed,0.0015830557708103,False,True,True,True
