assembly_id,batch_condition,component_index,severity,scenario_type,safe_predicted_quality,safe_actual_quality,safe_prediction_error,safe_prediction_absolute_error,safe_z_adj,safe_theta_adj,safe_locator_offset,safe_correction_utilization,safe_correction_effort,safe_capability_penalty,safe_mean_gap,safe_max_gap,safe_parallelism,safe_rms
195,offset_drift,5,medium,mixed,0.6042837938676825,0.8470885884714885,0.242804794603806,0.242804794603806,-0.15002822657698234,0.006091703199454512,0.17376049338870514,0.17376049338870514,0.10617569417260393,0.0004509311213213729,0.7516177416420298,1.5695434170166758,0.2082096046617814,0.8827735947534249
196,offset_drift,1,high,mixed,0.699893474226384,0.4289449681501275,-0.27094850607625653,0.27094850607625653,0.01861253247507033,0.003199512383709857,-1.0,1.0,0.5773683218311959,1.263334167162167,0.48091734536392494,0.7149395112880659,0.05584202561211382,0.5343530347089617
196,offset_drift,2,medium,mixed,0.5561788576836078,0.7044317543919711,0.1482528967083634,0.1482528967083634,-0.223175561280891,0.03414526179212696,-0.5438711796030635,0.5438711796030635,0.3186297145607444,0.004060995800042459,0.5346264443242928,0.9616396461444419,0.6517893383909988,0.6001512573405114
196,offset_drift,3,high,bend,1.578001086632162,1.3680338387185955,-0.20996724791356658,0.20996724791356658,1.0519033452486148,-0.015583216770279407,-0.8066018778793873,0.8066018778793873,0.5252984325113853,0.011082497332817406,1.4642250993256951,2.173392997434365,0.37981089099133847,1.62805142393176
196,offset_drift,4,extreme,mixed,1.2557583157531118,0.6112241977719169,-0.6445341179811949,0.6445341179811949,-1.773313059572259,-0.04175727687458952,1.0,1.0,0.7081320863661431,1.2700580420696506,0.5262130275811016,0.9608890174233125,0.34899120617211343,0.6039622241895873
196,offset_drift,5,low,twist,1.1138495474035885,0.9303699249750775,-0.183479622428511,0.183479622428511,-1.7956863080633005,0.016548231411330327,-0.1019151817780033,0.7182745232253203,0.41892527750982256,0.007019935525467274,1.0671251181857535,1.607435054656965,0.06017007463152524,1.0995085073280444
222,offset_drift,1,high,mixed,1.9415492971247124,1.9454038281119255,0.0038545309872131117,0.0038545309872131117,-1.4000247378744826,0.10327282739145183,-0.06303567327694015,0.560009895149793,0.329135747601274,0.004333213613961982,1.8020120730611413,2.5538388721442447,1.511513570555537,1.8519447338364863
222,offset_drift,2,medium,tilt,1.4557015755935794,0.9388122073840423,-0.5168893682095371,0.5168893682095371,1.824122568349277,-0.13068352202040012,0.7314411254454758,0.7314411254454758,0.5997926509347619,0.014390048964613964,0.5938339762815394,1.107047312188683,1.2064773481244881,0.6660461640562899
222,offset_drift,3,high,waviness,0.7907795989442918,0.5874394317418504,-0.2033401672024414,0.2033401672024414,-1.0538577839643672,0.04603580055451051,-0.1659528516817026,0.4215431135857469,0.2624948749880679,0.002756142375800056,0.43187435880269237,0.9553705687867458,0.40300088175562787,0.5036568893833067
222,offset_drift,4,extreme,mixed,0.8700017782023459,0.7486535072581973,-0.12134827094414857,0.12134827094414857,1.0094298458646178,0.09487334363244138,0.15235348427236106,0.4037719383458471,0.2533074699600684,0.0025665869735028387,0.44549387691894665,1.0064400828308908,0.863681999681808,0.5396871942870373
222,offset_drift,5,low,offset,0.9276615397118655,0.6570240863061266,-0.27063745340573886,0.27063745340573886,-0.42334587345805463,-0.0008084146099245348,-1.0,1.0,0.5855697881593663,1.2637156790722002,0.3794079287320345,0.8166064153608905,0.8495725030164629,0.43348032173310275
237,offset_drift,1,medium,mixed,0.7875751204776451,0.5369131916385474,-0.25066192883909766,0.25066192883909766,0.18287119197851087,0.0014696971056902264,1.0,1.0,0.5788932543119261,1.263404695995514,0.41481250317095814,1.1428280635863928,0.047565225117448595,0.5535145407610765
237,offset_drift,2,medium,mixed,0.5830482482886282,0.7081819104838708,0.12513366219524258,0.12513366219524258,-0.33519170857928593,0.008746541442523625,-0.02179615750203079,0.13407668343171436,0.07853821978694088,0.0002467300786920733,0.46090551314710726,1.2279241391444187,0.4691529922178843,0.6078711713104781
237,offset_drift,3,high,tilt,0.9597852101989467,0.9480829120688099,-0.01170229813013679,0.01170229813013679,-0.4912314386020804,-0.026159386319537292,-1.0,1.0,0.5885248649254552,1.263854460665421,0.4057224807548238,1.0731787958602292,1.5155128733454277,0.4975866708066574
237,offset_drift,4,low,mixed,0.9888982498895023,1.4608164362671223,0.47191818637762006,0.47191818637762006,-0.8618686214061009,-0.0170464563399515,0.08086555665896422,0.34474744856244033,0.20460680533897982,0.0016745577916409272,0.7950841651774251,1.9320902648332146,1.8130296710533993,0.9875520594791068
237,offset_drift,5,medium,mixed,1.9789810532235181,1.9796427059873907,0.0006616527638725334,0.0006616527638725334,-1.633864306232618,0.08792841533455342,-0.9912915406496932,0.9912915406496932,0.6868163175240956,1.112591605345653,2.4730792110759348,3.061294885271721,0.2350378017759116,2.488191365503205
255,offset_drift,1,medium,waviness,0.5703225247986763,0.5879077038933063,0.017585179094629977,0.017585179094629977,-0.2385391777398782,-0.04670602883629327,0.6569238100365964,0.6569238100365964,0.38391315879609844,0.005895572539871932,0.3417649665752002,0.6753188646992121,0.8151741642881618,0.3823030522453403
255,offset_drift,2,medium,mixed,0.5475116959709635,0.4110057262454722,-0.13650596972549128,0.13650596972549128,-0.32340061261578734,0.04192249234452916,-0.036181842423617994,0.12936024504631494,0.08013256019775132,0.0002568490881538496,0.25372052383797394,0.6887199723886913,0.3221355482737728,0.316329128953408
255,offset_drift,3,high,mixed,1.553083250318641,1.2261124574028741,-0.3269707929157668,0.3269707929157668,-1.4126528934292506,0.11153931405546569,0.7707013517210488,0.7707013517210488,0.5543507557948557,0.01229219041801311,0.6412801504094541,1.7738866003006377,1.4066396374563706,0.7957054095293551
255,offset_drift,4,low,waviness,1.4148328653196882,1.2267249427279825,-0.18810792259170572,0.18810792259170572,-0.06550368839227438,0.01168889497837955,-1.0,1.0,0.5775757957301412,1.2633437519925321,0.5100133976734792,1.7287684588629517,1.610649343579217,0.7189558269328807
255,offset_drift,5,medium,bend,1.361525272593849,0.4306378141752565,-0.9308874584185924,0.9308874584185924,0.25036585549182533,-0.06961011793924543,-1.0,1.0,0.5812039997550881,1.2635119235732526,0.2777949883744734,0.6583127462281034,0.39572299507593833,0.3108859527170191
266,offset_drift,1,high,mixed,0.7211811033572789,0.3939900986261661,-0.32719100473111284,0.32719100473111284,-0.01798064123345755,-0.011683987532936868,-1.0,1.0,0.5773925675046778,1.2633352870803858,0.2698537421181527,0.5757975688284386,0.36207059463755376,0.31673526950922565
266,offset_drift,2,medium,mixed,0.8467809308170675,0.9632196177883359,0.11643868697126836,0.11643868697126836,-0.3832938780648032,-0.005210236340686514,-0.9666552610303447,0.9666552610303447,0.5650803827690439,0.7360037624625726,0.5833050176571124,1.8569355826176719,0.4963352465666666,0.8224686373590055
