assembly_id,batch_condition,zero_final_quality,random_final_quality,bo_final_quality,bo_improvement_vs_zero_percent,bo_improvement_vs_random_percent,bo_final_mean_gap,bo_final_max_gap,bo_final_parallelism,bo_final_rms
195,offset_drift,1.3347711654583159,1.1604535797619817,1.2567792392358468,5.843093426107184,-8.30069045016193,1.241521272751207,1.9639530648201353,0.5519540651094244,1.2955071843161665
196,offset_drift,1.69820693695669,0.3749394673513981,0.5663279533356294,66.65141679667555,-51.04516932725556,0.5231174819949731,0.9411513560007461,0.22967008182745197,0.5814627738867801
222,offset_drift,0.8082687145241162,0.3101651154124551,0.8818459979217074,-9.103072044661683,-184.31501613230606,0.5575741635627426,1.6919782612730982,0.44505297570557945,0.7346437775928132
237,offset_drift,0.9877914427892935,4.529635572430664,1.6215788086396365,-64.16206279947868,64.20067833913015,1.6180610536394238,2.861141223341515,0.341763072542004,1.7528920378275359
255,offset_drift,1.5064969790523655,3.3202493768941888,0.852150284390192,43.43498219782547,74.3347505666184,0.7726243368430754,1.6381522235567605,0.14050281123819341,0.867664728987833
266,offset_drift,1.2078479332137217,1.3415560667591062,1.9995341453129394,-65.54518911936022,-49.045887447951266,1.2630092764810374,3.478434307011406,1.3885194564974563,1.605452333159696
274,offset_drift,1.3215053332640718,2.7175067941454873,1.8246733458244107,-38.0753675293562,32.85487455797975,1.347259778625598,3.3051408748957813,0.8979903577546561,1.5955604244160038
281,offset_drift,1.4482616749993777,1.3307206718303108,1.4892203648853528,-2.8281277198053774,-11.910816177300154,0.7268266796461454,2.106868802566417,1.8155707710394882,0.944404889097376
288,offset_drift,0.9378331507302309,0.9226943732431302,1.8911277821222372,-101.64863874237508,-104.95711656669273,1.7332296643322052,2.8105294213197864,1.129402503377426,1.8917930541341212
290,offset_drift,0.9709859576043598,0.749132622499653,1.6819165737915664,-73.21739419808212,-124.51519574457535,1.8771210796894573,2.8682849937305686,0.18344503654877053,2.0326124080092756
295,offset_drift,1.344227195552917,1.9522502830986717,0.5983793473306244,55.485252097991165,69.34925032353647,0.39248484003940726,1.060765281102248,0.3804356548505719,0.4827361453295622
