assembly_id,batch_condition,component_index,severity,scenario_type,zero_quality,direct_greedy_quality,direct_z_adj,direct_theta_adj,direct_locator_offset,direct_utilization,selected_do_nothing,direct_mean_gap,direct_max_gap,direct_parallelism,direct_rms
463,angular_drift,1,medium,mixed,0.4666244671340083,0.059884618604314065,-0.12493531488436603,-0.04650885027417218,0.0,0.04997412595374641,False,0.05401459983719292,0.12493531488436604,5.551115123125783e-17,0.06199644187846358
463,angular_drift,2,medium,mixed,0.7368651953252019,0.09943906637622196,-0.032214911216686334,-0.027959220488594495,0.0,0.02329935040716208,False,0.08783912178897063,0.20745547925093155,0.0,0.10850686064251303
463,angular_drift,3,high,bend,1.03670238538854,0.15605742895359728,-0.1500216138463899,-0.0279592204885945,0.0,0.06000864553855596,False,0.14400472943182016,0.3194939736339502,5.551115123125783e-17,0.17007818033866137
463,angular_drift,4,low,offset,1.3190823435207555,0.14995806843693096,-0.04581363457948314,-0.027959220488594505,0.0,0.02329935040716209,False,0.1357792165519501,0.3100522749284788,0.0,0.1620862099280229
463,angular_drift,5,medium,offset,1.6833994954649896,0.14995806843693096,-0.21636747726632882,-0.0279592204885945,0.0,0.08654699090653153,False,0.1357792165519501,0.31005227492847887,0.0,0.1620862099280229
468,angular_drift,1,high,mixed,0.391403815019544,0.13175415254059075,-0.20448776743760283,-0.027959220488594498,0.0,0.08179510697504114,False,0.11666169150095568,0.27460699045006565,2.7755575615628914e-17,0.1437354795528435
468,angular_drift,2,medium,waviness,0.6247308855413476,0.1528413877364282,-1.1541922533231825e-17,-0.027959220488594495,0.0,0.02329935040716208,False,0.13849909273111022,0.3154659022739592,2.7755575615628914e-17,0.1665188923490737
468,angular_drift,3,high,mixed,0.7936297524646936,0.15325106011595527,0.005167595439100889,-0.021171181620364545,0.0,0.017642651350303788,False,0.13880031585468455,0.3163043112770434,0.0,0.16719671976436887
468,angular_drift,4,extreme,tilt,0.693102138771031,0.14840191903291278,0.010693609623044595,0.011763574243234669,0.0,0.009802978536028892,False,0.13529752107217313,0.3056691745683079,0.0,0.16111910340768476
468,angular_drift,5,low,mixed,1.1040780371259786,0.1477083587699451,0.20134426651628598,-0.042716438328306974,0.0,0.0805377066065144,False,0.13500812596638637,0.30396722825371975,2.7755575615628914e-17,0.1601575250391328
526,fixture_drift,1,high,twist,0.12908975144600882,0.06629758949846272,-0.12858415645701238,-7.454425034680117e-19,0.0,0.05143366258280495,False,0.07100844311234283,0.12328106651560486,1.3877787807814457e-17,0.08010736610078405
526,fixture_drift,2,medium,mixed,0.47648521017585543,0.21962970856753294,-0.2943037359727552,-0.009560598070191198,0.0,0.1177214943891021,False,0.21953997867086492,0.4287354079181533,0.0,0.25147092590827513
526,fixture_drift,3,high,mixed,0.9615903948433752,0.3555916708803066,-0.5562405001241808,-0.0028089424452714964,0.0,0.22249620004967233,False,0.3584002190065058,0.6904850777946465,0.0,0.40926081839960887
526,fixture_drift,4,extreme,bend,1.308819569417724,0.5270221895241054,-0.3719379717642732,-0.0,0.0,0.14877518870570927,False,0.540394862825906,1.012262828770611,0.0,0.6122488204515028
