batch_id,batch_condition,assembly_id,n_components,variation_multiplier,batch_offset_bias_mm,batch_angular_bias_deg,fixture_drift_mm,severity_sequence,scenario_sequence,final_mean_gap,final_max_gap,final_parallelism,final_rms,final_quality_score
4,fixture_drift,585,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+mixed+mixed+mixed,0.7375469294226686,1.6942199479373328,0.51844715376705,0.8812480177199631,0.9731890111101117
4,fixture_drift,586,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,waviness+twist+mixed+offset+waviness,1.3237210762618983,2.367760226997837,1.1156579804925915,1.4712832279474966,1.5892701079204479
4,fixture_drift,587,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+offset+mixed+twist,0.6551660254727754,1.430593118477732,0.26034177943892706,0.7958688695508895,0.7834171639719193
4,fixture_drift,588,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,bend+bend+mixed+mixed+mixed,0.7871125951325982,1.9215077649460959,0.16291656305398947,0.9821548025243253,0.9596765571922375
4,fixture_drift,589,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+waviness+mixed+bend,1.110791621665072,1.846737173253267,0.9146786231149351,1.21749328298814,1.283411553708796
4,fixture_drift,590,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,offset+bend+waviness+mixed+bend,0.8646656244164472,1.8826938638381407,0.03156709916821751,1.077176236219914,0.9413955998488331
4,fixture_drift,591,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,offset+offset+mixed+mixed+mixed,0.545825283779903,1.150827918416124,0.362071601018822,0.6683749628251129,0.6844549372469659
4,fixture_drift,592,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,tilt+tilt+waviness+bend+twist,0.8533693642199266,1.5513431641977253,1.2531222759719056,0.9344621641218342,1.1907966577290505
4,fixture_drift,593,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,tilt+mixed+mixed+bend+mixed,0.7289851640941991,1.3252566887327886,1.2661739711339062,0.8233367203867913,1.0784584192269473
4,fixture_drift,594,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+bend+waviness+bend+bend,1.051649310789579,2.23916120096622,0.37661431710060506,1.2507985320710124,1.2253073018640226
4,fixture_drift,595,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+mixed+offset+bend,0.8194093088320326,1.7765314091408064,0.18277004956792997,0.9757575496204747,0.9311889852242783
4,fixture_drift,596,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+tilt+mixed+bend+bend,1.3058296218716814,2.2151102751431053,0.6647356911949125,1.4282286270751603,1.3985255391704259
4,fixture_drift,597,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+offset+offset+mixed,1.2144788195739582,2.1300450491579825,0.31113824270426493,1.3256568950032157,1.2292643229311833
4,fixture_drift,598,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,offset+mixed+bend+mixed+mixed,0.729028381001804,2.215650594470654,1.5523487503660949,0.9434735434356046,1.4434556720951262
4,fixture_drift,599,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,offset+tilt+mixed+mixed+mixed,0.5351903993141406,1.2874778643117482,0.3178431367813068,0.6515850964103325,0.7073119297631919
4,fixture_drift,600,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,twist+offset+tilt+mixed+bend,0.794980997422078,1.5946187210123186,0.25793873653412447,0.9463237502454694,0.8888939115151032
4,fixture_drift,601,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,waviness+mixed+waviness+bend+twist,0.39791072018776547,0.9544251472205684,0.08694702269165083,0.4743296568750877,0.4792178327175041
