assembly_id,batch_condition,component_index,severity,scenario_type,predicted_quality,actual_quality,prediction_absolute_error,true_best_of_20_quality,absolute_regret,exact_best_hit,top3_hit,selected_true_rank,selected_beats_zero,best_was_structured_initial,z_adj,theta_adj,locator_offset,correction_utilization,capability_penalty,mean_gap,max_gap,parallelism,rms
295,offset_drift,4,low,waviness,0.20823711900809638,0.22660047615965548,0.018363357151559095,0.19861041390544132,0.02799006225421416,False,True,2,True,True,-0.1783714209593733,0.005396814349931274,-0.0,0.07134856838374933,6.81445910011002e-05,0.1575765441539294,0.4378178200791242,0.09419218147511851,0.19724512447203862
295,offset_drift,5,medium,mixed,0.24232680157942516,0.2503013263453389,0.00797452476591376,0.2503013263453389,0.0,True,True,1,True,True,-0.1955839802636592,-0.011229264343007327,-0.0,0.07823359210546368,8.277415816896107e-05,0.20077522607489548,0.5057497872599904,0.04709608859829639,0.24214995765384256
371,angular_drift,1,medium,offset,0.009110363760945773,0.0,0.009110363760945773,0.0,0.0,True,True,1,True,True,0.1919460940602284,-0.0279592204885945,-0.0,0.07677843762409135,8.583717617856281e-05,0.0,0.0,0.0,0.0
371,angular_drift,2,medium,mixed,0.06205625842301694,0.05823093585314477,0.0038253225698721693,0.05823093585314477,0.0,True,True,1,True,True,0.4462598900496278,-0.0279592204885945,-0.0,0.1785039560198511,0.0004320869605884356,0.05963769122765224,0.11201688806945709,5.551115123125783e-17,0.06734562064011954
371,angular_drift,3,high,waviness,0.06464281461171874,0.07759274298351053,0.012949928371791791,0.07759274298351053,0.0,True,True,1,True,True,0.0057653662111879075,-0.0279592204885945,-0.0,0.023299350407162085,7.3090405467144165e-06,0.08331984993699822,0.14426915439337476,8.326672684688674e-17,0.09316041684398621
371,angular_drift,4,low,waviness,0.1277356620276933,0.08293985383149065,0.044795808196202644,0.08293985383149065,0.0,True,True,1,True,True,0.0028826831055939572,-0.027959220488594498,0.0783679140144964,0.0783679140144964,8.914292339041586e-05,0.09034483406228833,0.15251196443765755,2.7755575615628914e-17,0.10082814281506872
371,angular_drift,5,medium,mixed,0.29185475476272243,0.17622429367550196,0.11563046108722047,0.17622429367550196,0.0,True,True,1,True,True,-0.11370216364519163,0.010912772736497395,-0.0,0.045480865458076655,2.8682793941231542e-05,0.1507353737950081,0.3746947987327946,6.305640244674837e-08,0.18595223000240446
403,angular_drift,1,medium,offset,0.003018858203315265,4.352107243477749e-17,0.0030188582033152216,4.352107243477749e-17,0.0,True,True,1,True,True,-0.4911121523869691,-0.0279592204885945,0.0145947268660628,0.19644486095478764,0.0005246193223631539,1.97861529141117e-17,1.1102230246251565e-16,0.0,4.278535821789286e-17
403,angular_drift,2,medium,bend,0.06425382359099166,0.060698568737292374,0.0035552548536992856,0.060698568737292374,0.0,True,True,1,True,True,1.09923071745065e-18,-0.0279592204885945,-0.0199120031787409,0.023299350407162085,1.2524634666478827e-05,0.06838307043265256,0.1084989584375127,2.7755575615628914e-17,0.0763396007624279
403,angular_drift,3,high,waviness,0.09272433166962483,0.08816230318813904,0.004562028481485791,0.08816230318813904,0.0,True,True,1,True,True,-0.03419153521632628,-0.0279592204885945,-0.0,0.023299350407162085,9.732126696901452e-06,0.07875320308574885,0.18405726463421684,5.551115123125783e-17,0.09319162872149314
403,angular_drift,4,low,mixed,0.1487735224512474,0.15829510788380866,0.009521585432561264,0.15829510788380866,0.0,True,True,1,True,True,-0.017095767608163136,-0.0279592204885945,-0.0,0.023299350407162085,7.861628968182604e-06,0.13546230703573534,0.33687117057968463,5.551115123125783e-17,0.16595064599182632
403,angular_drift,5,medium,waviness,0.19604640951860702,0.19451145371957534,0.0015349557990316787,0.19451145371957534,0.0,True,True,1,True,True,-0.046295777144957875,-0.0279592204885945,-0.0,0.023299350407162085,1.1810500885714941e-05,0.18221753563224236,0.39610114707372834,1.6653345369377348e-16,0.21015848907784082
433,angular_drift,1,medium,mixed,0.10522340254310232,0.06555427028316758,0.039669132259934736,0.06555427028316758,0.0,True,True,1,True,True,-0.0,0.007634938021189298,-0.0,0.006362448350991081,5.397433202537217e-07,0.06293055240367207,0.13135169622034581,4.039629189489524e-08,0.07269583577074655
433,angular_drift,2,medium,mixed,0.07695163407471524,0.06651261305205067,0.010439021022664571,0.06651261305205067,0.0,True,True,1,True,True,-0.22549672216160532,-0.027959219331325984,-0.0,0.09019868886464213,0.00011571550876475869,0.06274846921109498,0.13503271123290267,2.0198141131855252e-08,0.07178252859409037
433,angular_drift,3,high,mixed,0.2088156535945917,0.23581306356694973,0.026997409972358027,0.23581306356694973,0.0,True,True,1,True,True,-0.009041689004050366,-0.027959219909960382,-0.0,0.023299349924966985,7.412533991112179e-06,0.19965065334606144,0.5045171920984561,1.0099068276092638e-08,0.24562706903874001
433,angular_drift,4,low,mixed,0.2692724251695869,0.24225349660938442,0.027018928560202465,0.24225349660938442,0.0,True,True,1,True,True,-0.06930559877087462,-0.027959220199277508,-0.0275936458344187,0.02772223950834985,2.7637220959393865e-05,0.20948944379841228,0.5143296521375875,5.0495329306787795e-09,0.2510776631372464
433,angular_drift,5,medium,mixed,0.29816945672095496,0.33012680155009905,0.031957344829144085,0.33012680155009905,0.0,True,True,1,True,True,-0.40771600260279234,-0.04646935576235374,-0.0,0.16308640104111694,0.0003746234433288111,0.2882604104741653,0.6975567363174946,1.3038442789325977e-07,0.3438161839727271
463,angular_drift,1,medium,mixed,0.11420963663168039,0.11089583148513028,0.0033138051465501084,0.09089477661342699,0.020001054871703297,False,True,2,True,True,-0.0,-0.0465088576218608,-0.0,0.03875738135155067,2.0028461456393705e-05,0.12493531615408326,0.1982267168065589,1.28241443186905e-07,0.13947183124504672
