batch_id,batch_condition,assembly_id,component_index,batch_offset_bias_mm,batch_angular_bias_deg,fixture_drift_mm,variation_multiplier,scenario_type,severity,active_modes,n_active_modes,offset_mm,tilt_deg,bend_mm,waviness_mm,twist_mm,local_bump_mm,component_profile_mean_mm,component_profile_min_mm,component_profile_max_mm,component_profile_rms_mm,component_parallelism_mm,state_before_mean_gap,state_before_max_gap,state_before_parallelism,state_before_rms,state_before_quality,state_after_mean_gap,state_after_max_gap,state_after_parallelism,state_after_rms,state_after_quality,quality_change
2,offset_drift,237,3,0.2127965395679451,0.0,0.0,1.0,tilt,high,tilt,1,0.0,-0.0875535215549887,0.0,0.0,0.0,0.0,-2.308384506646365e-17,-0.7640492061309079,0.7640492061309079,0.4455134166244065,1.5280984122618158,0.28265296908238463,0.47868739749448086,0.2908459911909389,0.31039654524937865,0.34669556185527917,0.5608196425493982,1.0150668598144996,1.2372524210708769,0.6334672528838875,0.9072884023188212,0.5605928404635421
2,offset_drift,237,4,0.2127965395679451,0.0,0.0,1.0,mixed,low,offset+waviness+twist+bend,4,-0.04740270117649842,0.0,0.061433876344345884,0.07009923633656924,0.03949855780492058,0.0,-0.014905195031026969,-0.11007763055121039,0.0805397424522608,0.05557788006464877,4.85722573273506e-17,0.5608196425493982,1.0150668598144996,1.2372524210708769,0.6334672528838875,0.9072884023188212,0.7237470764828816,1.2561455565260053,1.237252421070877,0.8118038364718274,1.046323899871112,0.13903549755229072
2,offset_drift,237,5,0.2127965395679451,0.0,0.0,1.0,mixed,medium,tilt+offset+twist,3,0.03318855872517523,0.02941713540432661,0.0,0.0,-0.03237724032840691,0.0,0.03828885819254774,-0.2235243984871073,0.2899015159374578,0.1545419732801408,0.5134259144245651,0.7237470764828816,1.2561455565260053,1.237252421070877,0.8118038364718274,1.046323899871112,0.943830375043622,1.2958859102827516,0.7238265066463121,0.9872860519748764,0.9877914427892932,-0.058532457081818756
2,offset_drift,238,1,0.2127965395679451,0.0,0.0,1.0,mixed,high,waviness+bend+offset,3,-0.1169390584092611,0.0,0.03842264185315836,0.12329465318070149,0.0,0.0,-0.092722621109853,-0.23043509528885742,0.04332782484241815,0.12754379784055395,9.71445146547012e-17,0.0,0.0,0.0,0.0,0.0,0.12139801404171233,0.25612436441036324,9.71445146547012e-17,0.14861925109484062,0.12811863864510675,0.12811863864510675
2,offset_drift,238,2,0.2127965395679451,0.0,0.0,1.0,twist,medium,twist,1,0.0,0.0,0.0,0.0,0.03771311386228304,-0.21806478240984684,-0.07088263092649034,-0.21806478240984684,-3.703975921522375e-05,0.10196703319930643,4.621411760219463e-18,0.12139801404171233,0.25612436441036324,9.71445146547012e-17,0.14861925109484062,0.12811863864510675,0.2619878270995468,0.4331529466763026,1.1102230246251565e-16,0.28320810359825893,0.23686304249258075,0.108744403847474
2,offset_drift,238,3,0.2127965395679451,0.0,0.0,1.0,twist,high,twist,1,0.0,0.0,0.0,0.0,0.10855015620574926,0.0,-0.017099613749156927,-0.03143011772299972,0.0,0.020303303066903013,1.3293560134431603e-17,0.2619878270995468,0.4331529466763026,1.1102230246251565e-16,0.28320810359825893,0.23686304249258075,0.457684752918335,0.6239858228821451,1.1102230246251565e-16,0.46911737283590293,0.37141291002373433,0.13454986753115358
2,offset_drift,238,4,0.2127965395679451,0.0,0.0,1.0,offset,extreme,offset,1,-0.021753305214933103,0.0,0.0,0.0,0.0,0.014340806972584254,-0.017482475223537273,-0.021750869333121533,-0.007412498242348849,0.018185332915759356,0.0,0.457684752918335,0.6239858228821451,1.1102230246251565e-16,0.46911737283590293,0.37141291002373433,0.6529988172627428,0.8150604276230372,1.1102230246251565e-16,0.6606636554281001,0.506484139008544,0.13507122898480972
2,offset_drift,238,5,0.2127965395679451,0.0,0.0,1.0,offset,low,offset,1,-0.013932086048732365,0.0,0.0,0.0,0.0,0.0,-0.013932086048732367,-0.013932086048732365,-0.013932086048732365,0.013932086048732363,0.0,0.6529988172627428,0.8150604276230372,1.1102230246251565e-16,0.6606636554281001,0.506484139008544,0.8518632707819556,1.0139248811422499,1.1102230246251565e-16,0.8577529028597978,0.6455117358632413,0.13902759685469723
2,offset_drift,239,1,0.2127965395679451,0.0,0.0,1.0,mixed,medium,bend+twist+tilt,3,0.0,-0.003774151650861249,0.1883797015672378,0.0,0.06438458691758622,-0.10034116110302645,0.07870419650421127,-0.03295273005233779,0.12830968819794591,0.0883985258093001,0.06587137287238105,0.0,0.0,0.0,0.0,0.0,0.2915007360721563,0.341106227765891,0.06587137287238104,0.2942662534992638,0.2389701263630549,0.2389701263630549
2,offset_drift,239,2,0.2127965395679451,0.0,0.0,1.0,mixed,medium,tilt+twist+bend+waviness,4,0.0,0.029193246465918782,0.17211473477849407,0.051698633883841494,-0.09213871329740629,0.017017661747391777,0.12806023908462083,-0.25475626657068584,0.3266145825021972,0.20042633984950045,0.5095183142683062,0.2915007360721563,0.341106227765891,0.06587137287238104,0.2942662534992638,0.2389701263630549,0.6323575147247223,0.8410116254738397,0.44364694139592503,0.6508650626214756,0.6401913307404936,0.4012212043774387
2,offset_drift,239,3,0.2127965395679451,0.0,0.0,1.0,tilt,high,tilt,1,0.0,0.04790871849816921,0.0,0.0,0.0,0.23292630048231533,0.06936768842830923,-0.4180429724519635,0.4181221006265308,0.26618608977283426,0.8361650730784943,0.6323575147247223,0.8410116254738397,0.44364694139592503,0.6508650626214756,0.6401913307404936,0.914551267027883,1.290208088933701,1.2798120144744192,0.997328702764102,1.1451042814072112,0.5049129506667176
2,offset_drift,239,4,0.2127965395679451,0.0,0.0,1.0,mixed,low,offset+bend+twist,3,0.10881120421626636,0.0,0.08809707045470042,0.0,0.07543269197277622,0.0,0.15245297473076347,0.10881120421626636,0.19690827467096678,0.15554206309738186,0.0,0.914551267027883,1.290208088933701,1.2798120144744192,0.997328702764102,1.1451042814072112,1.279771257019685,1.6540103741125316,1.2798120144744192,1.3441415837501967,1.3984922520570102,0.253387970649799
2,offset_drift,239,5,0.2127965395679451,0.0,0.0,1.0,mixed,medium,twist+waviness+bend,3,0.0,0.0,0.0924988592083903,0.06275328534318389,0.0198166385200354,0.08722867534007156,0.08115464690536822,-0.04408985987312791,0.22418265664969828,0.10899757299879896,3.7210157372881414e-17,1.279771257019685,1.6540103741125316,1.2798120144744192,1.3441415837501967,1.3984922520570102,1.5737224434929986,2.002696118716446,1.2798120144744192,1.6331157580529763,1.6201807488104567,0.22168849675344648
2,offset_drift,240,1,0.2127965395679451,0.0,0.0,1.0,mixed,high,bend+twist+offset+tilt,4,-0.0439761184976982,-0.012212243949297274,0.26409099889534704,0.0,-0.1527634113695753,0.0,0.14653554134828756,-0.15054805309755984,0.24233005260333812,0.17770115132645628,0.21314386919972333,0.0,0.0,0.0,0.0,0.0,0.35933208091623275,0.4551265921712832,0.2131438691997233,0.37312809955845244,0.345593572642017,0.345593572642017
2,offset_drift,240,2,0.2127965395679451,0.0,0.0,1.0,mixed,medium,twist+waviness+offset+tilt,4,-0.20836554339479577,-0.01120916539189812,0.0,0.1504838460730688,0.015466184897863689,0.0,-0.21080188984670908,-0.4438492932536948,0.020859457689042144,0.24897256559826916,0.19563684498514294,0.35933208091623275,0.4551265921712832,0.2131438691997233,0.37312809955845244,0.345593572642017,0.37285204393922733,0.6195649141565749,0.4087807141848663,0.41072478029916953,0.46143177971411753,0.11583820707210052
2,offset_drift,240,3,0.2127965395679451,0.0,0.0,1.0,waviness,high,waviness,1,0.0,0.0,0.0,0.13055766186160944,0.0,0.0,2.519623054708174e-18,-0.13055766186160944,0.13055766186160944,0.09186005033155606,9.593221362178948e-17,0.37285204393922733,0.6195649141565749,0.4087807141848663,0.41072478029916953,0.46143177971411753,0.5741232702054138,0.9618896294266672,0.4087807141848663,0.6334318683062786,0.646781270975712,0.1853494912615945
2,offset_drift,240,4,0.2127965395679451,0.0,0.0,1.0,offset,extreme,offset,1,-0.06072807769115568,0.0,0.0,0.0,0.0,0.0,-0.06072807769115567,-0.06072807769115568,-0.06072807769115568,0.06072807769115568,0.0,0.5741232702054138,0.9618896294266672,0.4087807141848663,0.6334318683062786,0.646781270975712,0.7261917320822031,1.1139580913034566,0.40878071418486633,0.7739333525176277,0.7520724965229206,0.1052912255472086
2,offset_drift,240,5,0.2127965395679451,0.0,0.0,1.0,mixed,low,twist+bend+offset+waviness,4,0.4472614922156699,0.0,0.04342172967492122,0.07409510444295722,0.03628803996435257,0.0,0.4689123212201472,0.376768746026187,0.5618693913593316,0.47204482231680983,5.551115123125783e-17,0.7261917320822031,1.1139580913034566,0.40878071418486633,0.7739333525176277,0.7520724965229206,1.4079005928702957,1.887474608954844,0.40878071418486617,1.443175461691261,1.255564320972128,0.5034918244492073
2,offset_drift,241,1,0.2127965395679451,0.0,0.0,1.0,tilt,medium,tilt,1,0.0,-0.0028144882781077412,0.0,0.0,0.0,0.0,-3.7786055912366095e-19,-0.024561043625638063,0.024561043625638063,0.014321426386829235,0.04912208725127613,0.0,0.0,0.0,0.0,0.0,0.2127965395679451,0.23735758319358316,0.04912208725127615,0.21327791846753705,0.171110654850595,0.171110654850595
2,offset_drift,241,2,0.2127965395679451,0.0,0.0,1.0,offset,medium,offset,1,0.41948683147354643,0.0,0.0,0.0,0.0,0.0,0.41948683147354643,0.41948683147354643,0.41948683147354643,0.4194868314735464,0.0,0.2127965395679451,0.23735758319358316,0.04912208725127615,0.21327791846753705,0.171110654850595,0.8450799106094365,0.8696409542350747,0.0491220872512762,0.845201253293798,0.613673010958116,0.442562356107521
2,offset_drift,241,3,0.2127965395679451,0.0,0.0,1.0,mixed,high,tilt+offset+twist+bend,4,-0.23440211374546313,0.11324330841425839,0.1369600710999651,0.0,-0.04402834739659934,0.0,-0.14114533987383082,-1.2226376944096422,0.753833466918716,0.5947283829441119,1.9764711613283583,0.8450799106094365,0.8696409542350747,0.0491220872512762,0.845201253293798,0.613673010958116,0.9260118409497982,1.7871488734704597,1.9273490740770822,1.0760463968905638,1.4997575762382584,0.8860845652801425
