assembly_id,batch_condition,component_index,severity,scenario_type,zero_quality,random_predicted_quality,random_actual_quality,bo_predicted_quality,bo_actual_quality,bo_prediction_error,bo_prediction_absolute_error,bo_z_adj,bo_theta_adj,bo_locator_offset,bo_correction_utilization,bo_mean_gap,bo_max_gap,bo_parallelism,bo_rms
237,offset_drift,3,high,tilt,0.9072884023188215,1.091754259381233,1.3583117660422377,0.9444001384343994,1.412210846967738,0.4678107085333385,0.4678107085333385,0.9116925672309777,-0.010843427920518955,-1.0,1.0,1.0885345280143832,2.0151883884474926,1.1977759985201568,1.2176117247312832
237,offset_drift,4,low,mixed,1.0463238998711124,3.850692980996008,4.216457427359673,0.8523766686599614,1.530491772538368,0.6781151038784066,0.6781151038784066,-1.2241357984335222,0.07929092587045394,-1.0,1.0,1.0270742170098415,3.3925252615974353,0.18611260832334975,1.4877814645918006
237,offset_drift,5,medium,mixed,0.9877914427892935,1.3533353833039197,4.529635572430664,0.9294636529307382,1.6215788086396365,0.6921151557088984,0.6921151557088984,1.2871911659044115,-0.059662165046283855,-1.0,1.0,1.6180610536394238,2.861141223341515,0.341763072542004,1.7528920378275359
255,offset_drift,1,medium,waviness,0.1701109815585788,1.2369372132031118,1.3593424142941877,0.4556884528519986,0.364910429562078,-0.09077802328992063,0.09077802328992063,0.008658282659928407,0.0009858364105570505,-1.0,1.0,0.2892927362985303,0.789699862983784,0.017206091251961014,0.3605082240179542
255,offset_drift,2,medium,mixed,0.5669715825469309,1.229842856804381,0.9628504956307518,1.2710297031169595,1.2875297879684482,0.016500084851488683,0.016500084851488683,0.3452269982352565,-0.11986388256205949,0.21817505160017325,0.21817505160017325,0.6506345657644889,1.6851215828599304,1.669192305689159,0.8604525167437483
255,offset_drift,3,high,mixed,1.0938441330549158,1.6376674348719222,2.154168128933314,0.8810217606500214,1.041452922186981,0.1604311615369597,0.1604311615369597,-0.7930709162539995,0.069007262142329,-0.011206037826100634,0.3172283665015998,0.5769303567145847,1.3276687182442926,1.3270144368635055,0.719688686402664
255,offset_drift,4,low,waviness,1.2650896547601385,1.4569779730996535,2.0351570935237966,0.7335502958111462,0.7864603677144237,0.05291007190327757,0.05291007190327757,-0.9646290518716294,0.08483893829010736,-1.0,1.0,0.5350145904203688,1.6838372945123083,0.15370545236867858,0.74693166524017
255,offset_drift,5,medium,bend,1.5064969790523655,2.291187011121449,3.3202493768941888,0.9420937586041629,0.852150284390192,-0.08994347421397086,0.08994347421397086,0.6466779025857905,-0.01685689131617707,-1.0,1.0,0.7726243368430754,1.6381522235567605,0.14050281123819341,0.867664728987833
266,offset_drift,1,high,mixed,0.32270082429147506,0.9993486359362902,0.688023331351451,1.9215421087338107,1.9832261410097538,0.0616840322759431,0.0616840322759431,2.5,-0.007404628542484248,-1.0,1.0,2.554615300807272,2.9110521653721,0.28738168827208943,2.5731139467431516
266,offset_drift,2,medium,mixed,0.5324371529688772,1.1408655110354387,1.168751597309544,1.038202274918102,1.1566570618072394,0.11845478688913746,0.11845478688913746,-1.573572010931176,-0.013478957796113411,-1.0,1.0,1.060319270041235,1.8329890507368016,0.5659627586179408,1.1887573798844617
266,offset_drift,3,high,mixed,0.8906444664372911,1.1574133799858854,1.0089874035207134,0.9737067935785348,1.2797638810416356,0.3060570874631008,0.3060570874631008,-1.0367961846773321,0.019357032132828245,-1.0,1.0,0.8893487509322641,2.4273107294677514,0.5755669085854188,1.1209596434600526
