assembly_id,batch_condition,component_index,severity,scenario_type,best_predicted_quality,second_best_predicted_quality,predicted_quality_margin,normalized_quality_margin,selected_tree_std,selected_tree_iqr,selected_tree_range,selected_utilization,selected_candidate_source,actual_regret,exact_best_hit,exact_best_miss,top3_hit,high_regret,positive_regret
274,offset_drift,5,low,mixed,0.2479346062670967,0.4446501631987593,0.1967155569316625,0.7934171025715687,0.0430032591129418,0.0119720832495956,0.2787558732380167,0.2211732705577481,informed,0.0,True,False,True,True,False
281,offset_drift,1,medium,mixed,0.0282123928372122,0.3420015932422672,0.313789200405055,11.122388739432488,0.0705071132779579,1.020336169387387e-09,0.383223235953299,0.2966799401890082,informed,0.0,True,False,True,True,False
281,offset_drift,2,medium,mixed,0.1050305122316887,0.3944922502842753,0.2894617380525865,2.755977590721995,0.077454120670032,0.0749543223996919,0.3704511035094651,0.085118615827178,informed,0.0,True,False,True,True,False
281,offset_drift,3,high,mixed,0.1725925794403414,0.3387066966394415,0.1661141171991,0.9624638425229582,0.0682032606602959,0.0726883945890644,0.4754291529618723,0.085118615827178,informed,0.0,True,False,True,True,False
281,offset_drift,4,low,mixed,0.2567863019102067,0.3506863980536346,0.0939000961434279,0.365674085591462,0.0719534645038286,0.0557257056119683,0.5384128848742569,0.0958129162102347,informed,0.0,True,False,True,True,False
281,offset_drift,5,medium,waviness,0.286036435184464,0.4293903985271399,0.1433539633426759,0.5011737866549323,0.0549882756760104,0.0421068719998369,0.4965580301434033,0.1081338019762819,informed,0.0,True,False,True,True,False
288,offset_drift,1,high,bend,0.0825629969994072,0.2228611098430529,0.1402981128436457,1.6992856115028512,5.485753670447374e-05,0.0,0.0006562852324348,0.085118615827178,informed,0.0,True,False,True,True,False
288,offset_drift,2,medium,mixed,0.0562732208425554,0.2287945186257785,0.172521297783223,3.065779694144631,0.0119438704960784,0.0067521666825577,0.1078926592170761,0.1037212800961985,informed,0.0,True,False,True,True,False
288,offset_drift,3,high,waviness,0.1120029026749992,0.2231023915008045,0.1110994888258052,0.9919340139619828,0.0333833507349728,0.0057348893415688,0.2983613359158775,0.0878611871083441,informed,0.0,True,False,True,True,False
288,offset_drift,4,extreme,tilt,0.1141738428207942,0.2829925841946145,0.1688187413738203,1.4786113631893425,0.0299532992780226,0.0,0.349195549701233,0.0864899014677611,informed,0.0,True,False,True,True,False
288,offset_drift,5,low,mixed,0.1125617807197339,0.2364768909877025,0.1239151102679686,1.100863094699108,0.0235549385119822,0.0,0.2726687935558952,0.0925115009125798,informed,0.0,True,False,True,True,False
290,offset_drift,1,high,waviness,0.0849722437936389,0.2005476133784185,0.1155753695847795,1.360154380122789,0.0071388406659011,1.3877787807814457e-17,0.0796153537035036,0.085118615827178,informed,0.0,True,False,True,True,False
290,offset_drift,2,medium,mixed,0.1100177420048272,0.2952912343584434,0.1852734923536162,1.6840328566776712,0.0345586091198063,0.0412771395157235,0.2251253335667805,0.1615162795793993,informed,0.0,True,False,True,True,False
290,offset_drift,3,high,mixed,0.2516446858310391,0.3248928210714725,0.0732481352404333,0.2910776160384092,0.0890290839006905,0.0911987973049676,0.5490269974640375,0.0,zero,0.0,True,False,True,True,False
290,offset_drift,4,extreme,tilt,0.274567215127444,0.4434547126590888,0.1688874975316448,0.6151043832864512,0.0881221776545831,0.1016553743871388,0.4845846394300198,0.109493531380112,informed,0.0,True,False,True,True,False
290,offset_drift,5,low,mixed,0.2758694277835574,0.3799219092752902,0.1040524814917328,0.3771801838562939,0.0564259208256236,0.0498314165793602,0.3034051955252848,0.097306073603645,informed,0.0,True,False,True,True,False
295,offset_drift,1,medium,mixed,0.0647483618016144,0.1501194828451614,0.085371121043547,1.3185062705542994,0.0802248966774769,0.0769050170368248,0.4352374980515205,0.1396624497932762,informed,0.0,True,False,True,True,False
295,offset_drift,2,medium,mixed,0.0949139878661961,0.2783916535362014,0.1834776656700052,1.9330940548895776,0.0758600402985539,0.0579570436937263,0.3993172006106432,0.0891333127518888,informed,0.0,True,False,True,True,False
