assembly_id,batch_condition,zero_final_quality,random_final_quality,old_bo_final_quality,structured_rf_final_quality,warmstart_bo_final_quality,warmstart_beats_zero,warmstart_beats_random,warmstart_beats_old_bo,warmstart_beats_structured_rf
673,high_variation,0.8069841868156475,1.3674372167533546,0.5944273350730384,0.1441213302627283,0.14412133026272833,True,True,True,False
710,high_variation,1.601127378536881,2.470044722820355,0.6635912212419837,0.0883716722151582,0.08837167221515829,True,True,True,False
721,high_variation,0.4916768124952523,1.2672686776828648,1.4703919955119225,0.228682864209276,0.22868286420927603,True,True,True,False
730,high_variation,0.6512748887322064,1.7940502969671677,1.2671919347490554,0.2023097231533251,0.2023097231533251,True,True,True,False
732,high_variation,1.1138424525638102,1.6789291599759848,0.8082515817385153,0.427348576709501,0.3677481130903245,True,True,True,True
735,high_variation,0.589255046240713,3.5100557919013515,1.986135183756005,0.2815857082470591,0.2815857082470591,True,True,True,False
742,high_variation,1.0813110430222963,2.190230568564009,0.8026253417523119,0.2001896836246101,0.20018968362461015,True,True,True,False
752,high_variation,0.8059744854303739,2.465386822057849,2.666594022101098,0.1274017167512041,0.12740171675120418,True,True,True,False
753,high_variation,0.8029299149316965,1.896959353724612,1.6012248296291025,0.2221506610786744,0.2221506610786744,True,True,True,False
757,high_variation,0.3240739967080693,1.8171039873701489,1.2274236363565754,0.1905032305316226,0.1905032305316226,True,True,True,False
761,high_variation,0.2984783219730516,1.4774595569435325,1.0814441375215882,0.2731786783202119,0.2731786783202119,True,True,True,False
780,high_variation,1.082803591801636,1.1347036754566877,1.3404620978912702,0.1423944204272274,0.1423944204272274,True,True,True,False
781,high_variation,0.4277345474735871,1.1979889554858256,1.5558421607736264,0.0864987180977781,0.08649871809777819,True,True,True,False
786,high_variation,0.6475508743188872,2.6603473459952784,2.009902025754922,0.3968152210462345,0.35459604520142135,True,True,True,True
801,high_variation,0.8160125292989422,3.2211044383489607,0.268854752633557,0.3410981130721529,0.26731623321166104,True,True,True,True
815,high_variation,0.4622371126590973,1.0244691655385867,1.9655704727652716,0.4198876147710264,0.4013491714924763,True,True,True,True
833,high_variation,0.4873264490275749,1.636754759724642,2.546623734621353,0.0802481516790742,0.0802481516790742,True,True,True,False
836,disturbed,1.5647982543632877,1.4840860101222113,1.3228851456013215,0.2274528604620119,0.27103975032040273,True,True,True,False
839,disturbed,1.2400377650806644,2.132861563374105,0.2611170976369646,0.1457749922685715,0.1457749922685715,True,True,True,False
845,disturbed,1.6751329111465605,1.1814913161059473,0.9001960493226168,0.3863304297113311,0.3863304297113311,True,True,True,False
858,disturbed,1.133310984817886,2.729332901820458,0.7308752190041027,0.1905702471170091,0.19057024711700915,True,True,True,False
876,disturbed,0.5761889600003801,2.437342990171325,1.466533882979227,0.2881905985279571,0.28819059852795714,True,True,True,False
885,disturbed,1.7499574695439917,3.006388653402887,0.9814840136665202,0.2825639106538825,0.2825639106538825,True,True,True,False
888,disturbed,0.4951190835053708,0.5802532353290488,1.071964348295011,0.2361562466766165,0.23615624667661658,True,True,True,False
901,disturbed,1.2915393373289914,1.515120411401396,0.6335938549676724,0.1625956964616633,0.16259569646166333,True,True,True,False
905,disturbed,1.292912986680982,1.3070209769568764,1.2141482612351953,0.2320175957848502,0.23201759578485026,True,True,True,False
908,disturbed,2.203151813915336,1.2941509061056553,0.8936647180542092,0.2823182474621173,0.2823182474621173,True,True,True,False
916,disturbed,1.575748078526826,1.0856450799683215,1.4363485985780833,0.1655233490605026,0.1655233490605026,True,True,True,False
919,disturbed,1.846542656348494,1.063187908387545,0.2546983912206831,0.1677839863986505,0.16778398639865058,True,True,True,False
936,disturbed,1.8423608864937704,1.1459822953475336,0.8295805802970116,0.2210382239118373,0.22103822391183736,True,True,True,False
950,disturbed,1.2105268202186867,2.4921597692974182,0.5937036320357734,0.1107630487541067,0.11076304875410677,True,True,True,False
959,disturbed,1.9577828595753224,1.4638445487343514,0.8772767429112536,0.445551068630689,0.6317890674532817,True,True,True,False
976,disturbed,0.9276205163565348,1.1904497405468426,0.6064730307637388,0.3610167130198328,0.36101671301983285,True,True,True,False
982,disturbed,1.234201074594817,0.988484754543475,1.411127038148805,0.2588500578539265,0.3496824837913195,True,True,True,False
