assembly_id,batch_condition,component_index,scenario_type,severity,global_quality,global_mean_gap,global_parallelism,batch_quality,batch_mean_gap,batch_parallelism,individual_quality,individual_mean_gap,individual_parallelism,individual_z_adj,individual_theta_adj,individual_locator_offset,correction_utilization
519,fixture_drift,1,offset,medium,0.193632649307569,0.18039532663850827,0.1264581522587529,0.13446649440465872,0.1706757974136896,0.010172388708554303,0.037327739173631455,0.03684711207324988,0.0,-0.1435875871238422,-0.0,-0.2389498008267669,0.2389498008267669
519,fixture_drift,2,mixed,medium,0.23368043382024237,0.12226609742099552,0.2529163045175058,0.07949224981291207,0.06394583617083054,0.020344777417108606,0.07319406718527645,0.07089541395679523,0.0,0.2544637763448285,-0.0,-0.2512163072405328,0.2512163072405328
519,fixture_drift,3,offset,high,0.7521339745098747,0.7859545443081929,0.37937445677625853,0.5751182850775476,0.7567959566337363,0.03051716612566291,0.09088575957793905,0.08503009364883785,0.0,-0.8186283021910858,-0.0,-0.2512163072405328,0.32745132087643436
519,fixture_drift,4,offset,low,0.8859664916734964,0.8684086629787685,0.5058326090350114,0.640038443453676,0.8295305460794938,0.04068955483421721,0.10926975896383886,0.1023829651894907,0.0,-0.0690173176957174,-0.0,-0.2797015179868388,0.2797015179868388
519,fixture_drift,5,bend,medium,1.1457441196088758,1.0682786447779717,0.632290761293764,0.7978640896150084,1.0196809986538784,0.050861943542771515,0.21204574737849385,0.21080811006927777,2.7755575615628914e-17,-0.036177151604471276,-0.0,-0.37662027128533526,0.37662027128533526
520,fixture_drift,1,mixed,high,0.22602662239626137,0.17964649907248012,0.12645815225875287,0.13842746990436736,0.1481736330912543,0.0101723887085543,0.13914657875144215,0.1540812028161992,5.204170427930421e-18,-0.0,-0.0,-0.2512163072405328,0.2512163072405328
520,fixture_drift,2,waviness,medium,0.3615489930090834,0.2677267139004629,0.2529163045175058,0.19069412008314326,0.18818630636269032,0.02034477741710867,0.14543871163184816,0.1415307266727222,5.551115123125783e-17,-0.0770406014080996,-1.4908850069360236e-19,-0.2512163072405328,0.2512163072405328
520,fixture_drift,3,twist,high,0.5037927097886665,0.3623780654226286,0.3793744567762587,0.24282246099526697,0.24011669359936494,0.030517166125662975,0.1428261763230903,0.13687079669011323,2.7755575615628914e-17,-0.05694385674067473,1.5902773407317584e-18,-0.3350028284875214,0.3350028284875214
520,fixture_drift,4,offset,extreme,0.8141585672368539,0.6684343691258903,0.5058326090350116,0.5085993225585451,0.6081256447544067,0.04068955483421727,0.1543305001657149,0.14391305764064327,2.7755575615628914e-17,-0.39194482005000064,7.951386703658792e-19,-0.2512163072405328,0.2512163072405328
520,fixture_drift,5,twist,low,0.9231601045231279,0.7372444971906116,0.6322907612937646,0.5438064288130137,0.643598004171742,0.05086194354277157,0.17135717472034473,0.1566824558910217,2.7755575615628914e-17,-0.04083360490379625,7.951386703658792e-19,-0.2512163072405328,0.2512163072405328
521,fixture_drift,1,tilt,medium,0.21409948255593542,0.11718036875196933,0.33716406755798556,0.12722160586393277,0.06185933653868939,0.220878304007787,0.037327739173631455,0.03684711207324988,0.0,-0.0,0.0120725594864253,-0.2512163072405328,0.2512163072405328
521,fixture_drift,2,waviness,medium,0.3183971669467484,0.19360369040546516,0.46362221981673846,0.15897409963464557,0.09966257206357138,0.23105069271634132,0.07583611895890671,0.06490300310389674,2.949029909160572e-17,-0.01842355603662494,-0.0,-0.2512163072405328,0.2512163072405328
521,fixture_drift,3,mixed,high,0.5228903892043507,0.33753314297837467,0.5900803720754914,0.2711975820646111,0.20785693939175218,0.24122308142489568,0.18574449329309362,0.16015223328167744,8.673617379884035e-17,-0.027635334054937406,8.448348372637467e-19,-0.2512163072405328,0.2512163072405328
521,fixture_drift,4,tilt,low,0.5020976039322856,0.3559024745287877,0.37499569506555297,0.2629893027975286,0.19772148165227568,0.09014735913524129,0.18586669758902605,0.15751818022608075,1.3877787807814457e-17,-0.06542479694425632,-0.019568961879136995,-0.2512163072405328,0.2512163072405328
521,fixture_drift,5,mixed,medium,0.6236925707347033,0.41935335276115243,0.5014538473243061,0.2830305253537523,0.21566326988053097,0.07997497042668683,0.3188694499278731,0.2826323255624434,5.551115123125783e-17,0.20882287279652628,3.975693351829396e-19,-0.2512163072405328,0.2512163072405328
522,fixture_drift,1,mixed,high,0.1493747273515716,0.12047099194490109,0.047756668034393726,0.10458811509347399,0.08692665568750081,0.06852909551580486,0.08251372503666658,0.08374143518390385,2.0816681711721685e-17,-0.0,-0.0045092628781612,-0.2512163072405328,0.2512163072405328
522,fixture_drift,2,twist,medium,0.26048296180065117,0.1940639428554388,0.1742148202931466,0.14080848113838004,0.1288095503243934,0.058356706807250566,0.10140431295388042,0.10368380083329055,6.938893903907228e-18,-0.04142432446680667,5.963540027744094e-19,-0.2512163072405328,0.2512163072405328
522,fixture_drift,3,mixed,high,0.7859246863330409,0.46893627463812365,1.095776081156262,0.550977806979773,0.33435557430997687,0.7469187905056662,0.1977381515283249,0.17320638825523899,1.1102230246251565e-16,-0.09367134771959634,0.0455560428007545,-0.2512163072405328,0.2512163072405328
522,fixture_drift,4,offset,extreme,0.8688932299287816,0.45317219163558864,1.2222342334150151,0.5409749431775508,0.2909454017583747,0.7570911792142205,0.20842811816659884,0.17927024324537758,5.551115123125783e-17,0.12611767361346699,3.180554681463517e-18,-0.2512163072405328,0.2512163072405328
522,fixture_drift,5,waviness,low,0.9967206285565655,0.5390417197818376,1.3486923856737683,0.5921659342371243,0.3480180901913609,0.767263567922775,0.2664474664810448,0.23424677485461282,8.326672684688674e-17,-0.03968221422266538,1.5902773407317584e-18,-0.2512163072405328,0.2512163072405328
523,fixture_drift,1,bend,medium,0.1608828051971437,0.12583595870133435,0.1264581522587529,0.08895938974479492,0.0957710991916497,0.010172388708554293,0.09352019678263017,0.10724735230970577,1.3010426069826053e-17,-0.0,-0.0,-0.23269487693955587,0.23269487693955587
523,fixture_drift,2,waviness,medium,0.29887807565292923,0.21371567454578472,0.25291630451750585,0.14583955594023842,0.13399548042221948,0.020344777417108658,0.1189451878990921,0.10769591650656635,4.163336342344337e-17,-0.05362367615485288,-3.7272125173400585e-19,-0.2512163072405328,0.2512163072405328
523,fixture_drift,3,twist,high,0.41138191365008,0.291694856297851,0.3793744567762587,0.1889125702122745,0.17347426437114224,0.030517166125662954,0.1367157038834596,0.11978928508882009,2.7755575615628914e-17,-0.04523539411405137,1.1927080055488189e-18,-0.2512163072405328,0.2512163072405328
