iteration,current_score,best_score,method
13,3.0783727779588257,2.4643418228836893,bayesian_optimization
14,2.8918113288056833,2.4643418228836893,bayesian_optimization
15,2.90663488747826,2.4643418228836893,bayesian_optimization
16,2.920400577844753,2.4643418228836893,bayesian_optimization
17,3.0893490872378324,2.4643418228836893,bayesian_optimization
18,2.725183043935143,2.4643418228836893,bayesian_optimization
19,3.0198173599216434,2.4643418228836893,bayesian_optimization
20,3.0086122549368373,2.4643418228836893,bayesian_optimization
21,3.0144082437942807,2.4643418228836893,bayesian_optimization
22,2.0576306561392492,2.0576306561392492,bayesian_optimization
23,2.1010155770010694,2.0576306561392492,bayesian_optimization
24,2.0725759866770037,2.0576306561392492,bayesian_optimization
25,2.187134037983016,2.0576306561392492,bayesian_optimization
26,2.18909022388235,2.0576306561392492,bayesian_optimization
27,2.2421193582582886,2.0576306561392492,bayesian_optimization
28,2.3887104055842627,2.0576306561392492,bayesian_optimization
29,2.224351730726388,2.0576306561392492,bayesian_optimization
30,2.1766111639463834,2.0576306561392492,bayesian_optimization
31,2.1550205125236586,2.0576306561392492,bayesian_optimization
32,2.110768575028929,2.0576306561392492,bayesian_optimization
33,2.0725759866770033,2.0576306561392492,bayesian_optimization
34,2.066982182118281,2.0576306561392492,bayesian_optimization
