assembly_id,component_index,zero_quality,deterministic_uncorrected_quality,deterministic_quality,structured_quality,structured_advantage,structured_wins,state_l2_norm,bounded_residual_l2,bounded_residual_ratio,bounded_explained_energy,unbounded_residual_l2,unbounded_residual_ratio,unbounded_explained_energy,capability_residual_penalty,deterministic_z_adj,deterministic_theta_adj,deterministic_locator_offset,deterministic_utilization,least_squares_success,basis_residual_quartile
100253,2,0.24687395556551248,0.1896131584849326,0.1321487225224649,0.1463363883697041,-0.014187665847239211,False,1.9339850901722078,1.09326411788915,0.5652908719124626,0.6804462301324476,1.09326411788915,0.5652908719124626,0.6804462301324476,0.0,-0.10774400196647152,0.0025896052759617682,-0.14246142455357722,0.14246142455357722,True,Q3
100253,3,0.5242409825183729,0.3877215376067302,0.17003683619241938,0.2891262396141434,-0.11908940342172403,False,4.054615379166323,1.485867299170766,0.3664631932304952,0.8657047280073087,1.485867299170766,0.3664631932304952,0.8657047280073087,0.0,-0.2341167722396543,-0.002734503924978446,-0.38833128910874926,0.38833128910874926,True,Q2
100253,4,0.8803924775170149,0.40389784796242945,0.2186156224072494,0.2517812263832513,-0.03316560397600188,False,3.435347495983162,1.8671969758720708,0.5435249208574453,0.7045806604069078,1.8671969758720708,0.5435249208574453,0.7045806604069078,0.0,-0.20899313423033136,0.028455230518342145,-0.11836957096309916,0.11836957096309916,True,Q3
100253,5,1.1657971941753564,0.4756364285856234,0.36692375271464495,0.4338979580657298,-0.06697420535108484,False,4.500634828468334,3.1014502806675686,0.6891139581131183,0.5251219527336715,3.1014502806675686,0.6891139581131183,0.5251219527336715,0.0,-0.22881220134358404,0.0026119935921055455,-0.2725287585041477,0.2725287585041477,True,Q3
100254,1,0.2085292408874782,0.2085292408874782,0.1641008327521313,0.1280576750745137,0.03604315767761759,True,2.202533880030297,1.398129411351648,0.6347822496752767,0.5970514954971946,1.398129411351648,0.6347822496752767,0.5970514954971946,0.0,-0.107606287444168,0.006801876785574241,-0.16192768459593343,0.16192768459593343,True,Q3
100254,2,0.7485333884622112,0.6158180760093789,0.17057407411914888,0.4146070854966238,-0.2440330113774749,False,3.805389267157144,1.4263442461873765,0.37482216563167586,0.8595083441511806,1.4263442461873765,0.37482216563167586,0.8595083441511806,0.0,-0.10760628744416803,0.060812232568379525,-0.16192768459593332,0.16192768459593332,True,Q2
100254,3,0.963308762586647,0.392060888087287,0.3138523420482015,0.3168752684567396,-0.0030229264085380736,False,3.7335674946801682,2.611994714566056,0.6995975613907602,0.5105632520961015,2.611994714566056,0.6995975613907602,0.5105632520961015,0.0,-0.17961410967064742,0.0031260629237468657,-0.24069976163865928,0.24069976163865928,True,Q3
100254,4,1.1662234129369007,0.45780976516167615,0.3367929365082188,0.2841218224157854,0.05267111409243341,True,4.053765130507595,2.77946488047799,0.6856502019716069,0.5298838005362947,2.77946488047799,0.6856502019716069,0.5298838005362947,0.0,-0.18467388471931667,-0.002734503924978446,-0.29984812528069016,0.29984812528069016,True,Q3
100254,5,1.1069164992878413,0.37357291553988925,0.38641867206284297,0.3515560321273905,0.034862639935452466,True,3.394581903934123,3.1929594216107247,0.94060461994164,0.115262948944443,3.1929594216107247,0.94060461994164,0.115262948944443,0.0,0.12329470393238247,-0.0010031349179919313,-0.031049983479929773,0.049317881572952985,True,Q4_worst_basis_fit
100255,1,0.15493174500025086,0.15493174500025086,0.015688930058322625,0.1549317450002508,-0.1392428149419282,False,1.71864317676465,0.17551481918148779,0.1021240601623281,0.9895706763359612,0.17551481918148779,0.1021240601623281,0.9895706763359612,0.0,-0.11441786149347677,-0.0027345039249768556,-0.1552417743361321,0.1552417743361321,True,Q1_best_basis_fit
