assembly_id,zero_final_quality,deterministic_final_quality,structured_final_quality,structured_final_advantage,mean_bounded_residual_ratio,max_bounded_residual_ratio,mean_unbounded_residual_ratio
100033,0.25712932801197164,0.1426422255836418,0.1709408684158275,-0.028298642832185694,0.6459091254476166,0.9851089904465309,0.6459091254476166
100034,0.3889899048438474,0.036927635128279734,0.0711293151313888,-0.03420168000310907,0.03264907297908116,0.07266130410800409,0.03264907297908116
100035,0.3617749802187941,0.14929063427809078,0.1747741985372666,-0.025483564259175834,0.4693688858948997,0.7840438435732786,0.4693688858948997
100036,0.6183498455036242,0.40084842548853716,0.3719346180545548,0.028913807433982364,0.43545912618343047,0.7932054793937141,0.43545912618343047
100037,0.4458846073766435,0.2910911018756639,0.2758327814716427,0.015258320404021197,0.8423704402653266,0.9962231275847797,0.8423704402653266
100038,0.7744873580280068,0.1992847169725463,0.1753029476960689,0.023981769276477383,0.3226488148368564,0.7366105204720862,0.3226488148368564
100039,0.8756917935613757,0.19812878699330014,0.2493900683612774,-0.05126128136797725,0.604197226723482,0.9806910774859571,0.604197226723482
100040,0.3686203161204649,0.4226154447808947,0.3310205137179078,0.09159493106298688,0.984168264265582,0.9936841478359645,0.984168264265582
100041,0.8269756258822367,0.15426458332505777,0.1712649245394024,-0.017000341214344628,0.6396263885996558,0.992013018829202,0.6396263885996558
100042,0.8987575605599354,0.27075752840775696,0.2773567824655362,-0.006599254057779225,0.7834891478044943,0.9234323519790839,0.7834891478044943
100043,0.4110277569528822,0.13224250087868444,0.166994571937263,-0.034752071058578554,0.4469055921480429,0.5808324827564822,0.4469055921480429
100044,0.15911684543486415,0.15248287960132773,0.122785881523481,0.02969699807784673,0.7826397183315051,0.9668612134769345,0.7826397183315051
100045,0.42639982275984484,0.20830063889235373,0.2561301919171595,-0.04782955302480579,0.7936553511366303,0.9925126051571413,0.7936553511366303
100046,0.8895852383117743,0.41173747429179147,0.3187464526103619,0.09299102168142959,0.7363612287338878,0.9919029614434918,0.7363612287338878
100047,0.148537257526927,0.10833942797599078,0.1065130513321109,0.0018263766438798706,0.6565558141381845,0.9999033492085103,0.6565558141381845
100048,0.638072878525773,0.2040237017165573,0.2333771787657167,-0.029353477049159415,0.43235403054756033,0.9756435436530442,0.43235403054756033
100049,0.3637311468230257,0.1576073243588243,0.1994406103175448,-0.04183328595872049,0.44740221497043375,0.8360346955547809,0.44740221497043375
100050,0.9401570492448288,0.051868540664866854,0.1102959138469973,-0.05842737318213045,0.33897551887275607,0.9679391392074065,0.33897551887275607
100051,1.0717074159474038,0.03340710170867289,0.1011841364483414,-0.0677770347396685,0.03734696482520619,0.09262165353660887,0.03734696482520619
100052,1.6247449849577345,0.10276538804941125,0.1546106614858594,-0.05184527343644814,0.13963933657241415,0.3114697045477128,0.13963933657241415
100053,1.5232245647269893,0.26886696509011315,0.2218233624573337,0.04704360263277946,0.35028591960205624,0.6241809088035603,0.35028591960205624
100054,1.4190304732585715,0.3375210468516936,0.2726584412975305,0.06486260555416312,0.47167597085965907,0.6612989419490886,0.47167597085965907
100055,0.7385249096155712,0.018699703079827917,0.0436402137221051,-0.024940510642277185,0.0218301876739787,0.07192346717032387,0.0218301876739787
100056,2.8886383440421106,0.47312004110457434,0.3437781326231672,0.12934190848140714,0.5025287773976153,0.756973113083252,0.5025287773976153
100057,0.9644004480896391,0.07770322715563792,0.1369568282004799,-0.059253601044841994,0.11288828918896461,0.16129375385565473,0.11288828918896461
100058,1.521741340883885,0.318882903829094,0.3667027215574922,-0.04781981772839816,0.4993702184320304,0.9325596133643572,0.4993702184320304
