sequence_length,assembly_index,component_index,lsq_quality,hybrid_quality,hybrid_minus_lsq
5,20,5,0.23457497179808715,0.1760974628851631,-0.05847750891292405
5,21,1,0.2569754223589814,0.2140032247356699,-0.0429721976233115
5,21,2,0.2776501557687678,0.2084989385288189,-0.06915121723994888
5,21,3,0.3104486676485601,0.2256163350022461,-0.08483233264631401
5,21,4,0.3289712745172964,0.3042148353670293,-0.024756439150267096
5,21,5,0.33979478518055267,0.2802249163747615,-0.05956986880579118
5,22,1,0.09945979468215828,0.08792294166551258,-0.011536853016645698
5,22,2,0.15632869833236285,0.11912959337747318,-0.037199104954889664
5,22,3,0.11888891311669822,0.08292816576591291,-0.035960747350785305
5,22,4,0.10676199447894161,0.08532523494554162,-0.02143675953339999
5,22,5,0.1575411229066297,0.0818156687775381,-0.0757254541290916
5,23,1,0.12101338930420139,0.11492576057829873,-0.006087628725902655
5,23,2,0.12916738023577,0.08625776500505472,-0.04290961523071529
5,23,3,0.2758286676427642,0.20914955825633255,-0.06667910938643165
5,23,4,0.2555017196575407,0.2242582844069681,-0.031243435250572604
5,23,5,0.2610516044368644,0.1639284606324126,-0.09712314380445183
5,24,1,0.1462910997268674,0.09119179897987881,-0.0550993007469886
5,24,2,0.22697334926896093,0.16768578789623845,-0.05928756137272248
5,24,3,0.1914848936997046,0.1731586249610082,-0.01832626873869639
5,24,4,0.11575373357183068,0.10712868570707704,-0.00862504786475364
5,24,5,0.24457816692534204,0.16593300132220395,-0.07864516560313808
5,25,1,0.13297729441402262,0.12950854861884664,-0.003468745795175976
5,25,2,0.22024994163967226,0.16861803269565848,-0.05163190894401379
5,25,3,0.09916318399400605,0.07936840055561226,-0.01979478343839379
5,25,4,0.2148179891290405,0.1696784449502521,-0.04513954417878838
5,25,5,0.324698752153635,0.2813734391309033,-0.04332531302273168
5,26,1,0.2066623255222616,0.13118390566469948,-0.07547841985756212
5,26,2,0.35641329542715233,0.29748654780822803,-0.0589267476189243
5,26,3,0.19082788054449284,0.18020802609439376,-0.010619854450099081
5,26,4,0.26348624529891,0.19430915085020847,-0.06917709444870154
5,26,5,0.12564530163081583,0.09447692753028958,-0.031168374100526253
5,27,1,0.18170067690164957,0.16712646804008172,-0.01457420886156785
5,27,2,0.2646660435476095,0.23282345881808356,-0.03184258472952592
5,27,3,0.16938411905297057,0.16473160262170686,-0.004652516431263715
5,27,4,0.19140321168380975,0.136362007851259,-0.05504120383255076
5,27,5,0.2856474911617944,0.23469113798217314,-0.050956353179621244
5,28,1,0.14070917957776607,0.13574428023171214,-0.00496489934605393
5,28,2,0.34724719551589506,0.256550689558245,-0.09069650595765005
5,28,3,0.10907459723880802,0.06553137483996206,-0.04354322239884596
5,28,4,0.10783130498047137,0.104650591462561,-0.003180713517910369
5,28,5,0.16592864596297704,0.16039931805390717,-0.0055293279090698755
5,29,1,0.10251309526329516,0.05097930232669253,-0.05153379293660263
5,29,2,0.16292310985486014,0.11233588347531312,-0.05058722637954702
