sequence_length,assembly_index,zero_final_quality,lsq_final_quality,hybrid_final_quality,hybrid_minus_lsq,hybrid_beats_lsq
5,126,1.894324825211885,0.14270478959921293,0.12776278767970015,-0.014942001919512782,True
5,127,1.017156370737093,0.5336018465961941,0.46228872410890304,-0.0713131224872911,True
5,128,1.9544815666729787,0.24956215302351176,0.2158681651339318,-0.033693987889579946,True
5,129,0.9627405201066789,0.4972560670388302,0.3738773004900753,-0.1233787665487549,True
5,130,3.3666358171357924,0.3103614494660858,0.2950643076803149,-0.015297141785770907,True
5,131,1.313692005234976,0.20596601281868587,0.16707642112319077,-0.03888959169549511,True
5,132,1.4224447423096984,0.22941016378562398,0.2397180612627565,0.01030789747713251,False
5,133,0.9131648567596412,0.21195096473866015,0.22551546242597648,0.013564497687316324,False
5,134,2.218465490239173,0.5809517351647794,0.4607358871963996,-0.12021584796837981,True
5,135,0.8363472238596029,0.2881032423672611,0.2667964089634121,-0.02130683340384898,True
5,136,2.151122349946876,0.3196394271653535,0.3022280352680594,-0.01741139189729407,True
5,137,1.6725814914444481,0.16746397213515188,0.13410715395588124,-0.033356818179270636,True
5,138,0.7076816252152224,0.3173091850059528,0.27543000199113254,-0.04187918301482024,True
5,139,1.773294098315846,0.7381891762619498,0.5760250634649493,-0.1621641127970005,True
5,140,1.3877371279107384,0.3057276665551017,0.2599312831872985,-0.04579638336780317,True
5,141,1.770169705916504,0.24705816232000918,0.1795784858583695,-0.06747967646163969,True
5,142,0.6188271245006247,0.29351245521572517,0.23440969437184997,-0.059102760843875196,True
5,143,2.009238138470171,0.3654369298741872,0.30258010666464485,-0.06285682320954233,True
5,144,2.2697540085205477,0.2325336365321625,0.2065489635828337,-0.025984672949328796,True
5,145,0.6445739924971965,0.23045503809264103,0.1934272394567905,-0.03702779863585054,True
5,146,1.951091059824726,0.17371426823314123,0.10402017206832045,-0.06969409616482078,True
5,147,0.6244106467972126,0.07588855867666508,0.07702610347382104,0.0011375447971559566,False
5,148,1.8556171271149362,0.23016107414919335,0.13347436572721488,-0.09668670842197846,True
5,149,1.3834215359771758,0.18965955343867,0.1816247898967278,-0.008034763541942186,True
5,150,0.9332875279017899,0.60297993333535,0.4902633362650406,-0.11271659707030945,True
5,151,2.1283293978280815,0.32570151427310706,0.216879886062865,-0.10882162821024205,True
5,152,1.2791709045695148,0.7690456069606811,0.6478045964408041,-0.12124101051987701,True
5,153,1.5260477485342216,0.2467174484774348,0.24366628084343323,-0.003051167634001567,True
5,154,1.6604222062676508,0.2234162199712206,0.19239430002516075,-0.03102191994605985,True
5,155,2.3712404112481016,0.5191502843995193,0.4612003491555117,-0.057949935244007544,True
5,156,1.8987444582843254,0.5971774731429713,0.4981659073950577,-0.09901156574791359,True
5,157,1.1948183083383834,0.3339966670608431,0.28869741669781046,-0.04529925036303262,True
5,158,1.5181652921651152,0.33016678743286487,0.2641770774803898,-0.06598970995247505,True
5,159,3.563710367139264,0.14275186949024843,0.1261292594217485,-0.016622610068499938,True
5,160,0.8931337180780254,0.44689744257980235,0.37539295245696347,-0.07150449012283888,True
5,161,1.5394254483968428,0.15983637693323252,0.140983695690134,-0.018852681243098524,True
5,162,1.3876471474447842,0.36401150001346105,0.306584829349806,-0.05742667066365503,True
5,163,2.4084858065440744,0.17730254901267173,0.1898492759628737,0.01254672695020198,False
5,164,1.1028409623960533,0.5889908945705513,0.48286145960415694,-0.10612943496639438,True
5,165,1.068153274852048,0.28478391798753966,0.22140465112996913,-0.06337926685757053,True
5,166,2.3807343421295166,0.08590370257154614,0.09597991506286138,0.01007621249131524,False
5,167,1.4358783134389883,0.17934201620480905,0.10178045678398963,-0.07756155942081942,True
5,168,2.3217969220941463,0.17496952697071372,0.14330112399220168,-0.031668402978512034,True
5,169,1.1753142731653,0.45561267965316177,0.39529635550839737,-0.0603163241447644,True
5,170,2.1598864068656134,0.12197397511691349,0.1138597168159931,-0.008114258300920385,True
5,171,0.4238634901263796,0.1218884537117357,0.09757600433539582,-0.02431244937633989,True
5,172,1.566594466370216,0.09915086082795446,0.0912396521701382,-0.007911208657816263,True
5,173,1.400031972920311,0.16177104865264644,0.14474458433286647,-0.01702646431977997,True
5,174,0.4796443692995773,0.34529416606990077,0.28310075501003384,-0.06219341105986692,True
5,175,1.4558907092507303,0.7252103214265126,0.661406661022021,-0.0638036604044917,True
5,176,1.474620816148256,0.20476421360923497,0.16264736321320328,-0.04211685039603169,True
5,177,0.5969410761089038,0.601637092117176,0.46732141182049813,-0.13431568029667784,True
5,178,0.4463047387241857,0.4423453685463103,0.36808568057945396,-0.07425968796685634,True
