feature_set,fold,test_group,test_assemblies,test_decisions,assembly_overlap,attention_prevalence,balanced_accuracy,attention_recall,attention_precision,normal_specificity,f1_attention,roc_auc,pr_auc
FULL,8,0.0|0.0112521059|0.0|1.0,10,50,0,0.5,0.86,0.84,0.875,0.88,0.8571428571428571,0.9424,0.9574719044396465
FULL,9,0.0|0.0084961073|0.0|1.0,10,50,0,0.32,0.8933823529411764,0.875,0.8235294117647058,0.9117647058823529,0.8484848484848485,0.9375,0.8609266703476263
FULL,10,0.0|0.0149571047|0.0|1.0,10,50,0,0.32,0.8492647058823529,0.875,0.7,0.8235294117647058,0.7777777777777778,0.9430147058823529,0.9102954200404858
FULL,11,0.0|0.0093809984|0.0|1.0,10,50,0,0.42,0.645320197044335,0.42857142857142855,0.6923076923076923,0.8620689655172413,0.5294117647058824,0.7602627257799672,0.7688266776153203
FULL,12,0.0|0.0|0.184930478|1.0,10,50,0,0.2,0.8375,0.8,0.6153846153846154,0.875,0.6956521739130435,0.9324999999999999,0.837711961241373
FULL,13,0.0|0.0|0.1366679304|1.0,10,50,0,0.3,0.7666666666666666,0.7333333333333333,0.6111111111111112,0.8,0.6666666666666666,0.8723809523809524,0.7687261467909734
FULL,14,0.0|0.0|0.2587991435|1.0,10,50,0,0.44,0.8425324675324675,0.8636363636363636,0.7916666666666666,0.8214285714285714,0.8260869565217391,0.9350649350649352,0.9296491888741516
FULL,15,0.0|0.0|0.2076964103|1.0,10,50,0,0.46,0.8389694041867954,0.8260869565217391,0.8260869565217391,0.8518518518518519,0.8260869565217391,0.9339774557165861,0.9391453967784889
FULL,16,0.0|0.0|0.2123326031|1.0,10,50,0,0.38,0.862478777589134,0.7894736842105263,0.8823529411764706,0.9354838709677419,0.8333333333333334,0.9235993208828522,0.9185749784678414
FULL,17,0.0|0.0|0.0|1.5,50,250,0,0.568,0.7574986958789776,0.7464788732394366,0.8091603053435115,0.7685185185185185,0.7765567765567766,0.8532211789254043,0.8981385426487508
FULL,18,0.0798206213|0.0027345039|0.1710055022|1.5,10,50,0,0.66,0.7308377896613191,0.696969696969697,0.8518518518518519,0.7647058823529411,0.7666666666666667,0.82174688057041,0.9077193938020329
FULL,19,0.1684955589|0.0155630917|0.0910838235|1.5,10,50,0,0.3,0.9047619047619048,0.8666666666666667,0.8666666666666667,0.9428571428571428,0.8666666666666667,0.9733333333333333,0.9477248677248677
FULL,20,0.1475606707|0.0099327972|0.2653426527|1.5,10,50,0,0.6,0.8916666666666666,0.9333333333333333,0.9032258064516129,0.85,0.9180327868852459,0.9566666666666667,0.9786193593018306
FULL,21,0.189477599|0.0152901594|0.0959210115|1.5,10,50,0,0.34,0.8663101604278074,0.8235294117647058,0.8235294117647058,0.9090909090909091,0.8235294117647058,0.89126559714795,0.8495207913564912
FULL,22,0.1038869277|0.0104726728|0.1544788238|1.5,10,50,0,0.34,0.8805704099821747,0.8823529411764706,0.7894736842105263,0.8787878787878788,0.8333333333333334,0.9358288770053476,0.897329182255653
