assembly_index,component_index,nonlinearity_strength,zero_quality,lsq_quality,z_adj_mm,theta_adj_deg,locator_offset_mm,solver_success,sequence_length
18,1,0.0,0.43613820631047756,0.13787545497369283,0.14449989352766,0.040019308455585836,0.006914055929447696,True,5
18,2,0.0,0.6141541143111934,0.12078780689341818,-0.2429547447158587,-0.09150878623772143,-0.09455501881936307,True,5
18,3,0.0,1.6069682866397483,0.1762131108586003,-0.5249775222260002,-0.08209598155206606,0.08447942058454853,True,5
18,4,0.0,1.6943430695546213,0.22312367193888952,-0.1036963528916083,-0.0023168398857529794,0.05526977254779791,True,5
18,5,0.0,2.380122395647919,0.4306031473388194,-0.46792185300901934,-0.03998811546907316,0.2758778686145164,True,5
19,1,0.0,1.1855419232029392,0.2048544540421748,0.6387348009321266,-0.09485187106747099,-0.013149190244476272,True,5
19,2,0.0,1.5750263221815828,0.11152262118741957,0.5225495341769973,-0.002112238745612781,0.2850474383552055,True,5
19,3,0.0,1.700347491372185,0.2697734121004776,0.3625884585520016,0.03858635778750318,0.09803966793599841,True,5
19,4,0.0,2.168267149246813,0.4250938329045286,0.5997876825383147,0.006366769014164878,-0.16655612739393044,True,5
19,5,0.0,2.1032599338816875,0.4549569951313376,-0.37303300614383295,-0.03150049391631482,-0.22949105873558287,True,5
20,1,0.0,0.5189407017040568,0.22043611566994697,0.052464241079384584,-0.04996244255977318,-0.29968492833625693,True,5
20,2,0.0,0.6114509470347649,0.11028283889048565,0.5968453400785714,0.06372400063209659,0.2721346226841626,True,5
20,3,0.0,0.7343304587444244,0.123142620054679,-0.5596769969446231,-0.08021954231655912,-0.20769746732044175,True,5
20,4,0.0,0.8275551607096192,0.13019584766730335,0.3580107995441823,0.001152061747570788,-0.07780848923021291,True,5
20,5,0.0,1.2712598361868024,0.23072458553897396,0.4424437792438708,-0.014406133670644163,0.2413478807354889,True,5
21,1,0.0,0.5617001084062205,0.2166814141374824,0.41526458048992293,0.019465666671816127,0.3377723278171276,True,5
21,2,0.0,0.5985946849412696,0.10969049072537476,-0.1016623365321155,0.023529373100310308,-0.0711380808768916,True,5
21,3,0.0,1.2851096179758728,0.2215122795899747,0.17050860345037364,0.07230302955049665,-0.15488200185561207,True,5
21,4,0.0,2.4038428387658546,0.30506871057366114,0.5653958219986623,0.0922533857324071,0.09768174685921857,True,5
21,5,0.0,1.7820554203929846,0.17837980960225497,0.13051124581046225,-0.07994937113850194,-0.40012485200019354,True,5
22,1,0.0,0.39336085967783724,0.18156648008957102,0.08705755276023022,0.01131000153338232,0.43410597376671745,True,5
22,2,0.0,0.8294702974340581,0.08971043163193368,0.3649052219343875,0.023879036325228024,0.29311388956185275,True,5
22,3,0.0,0.9509851098655918,0.17335159380030224,0.35007466186656083,-0.06717636340480992,-0.2095966627489198,True,5
22,4,0.0,1.0875350772158063,0.2684869375738508,0.31239460176432776,0.029370843731058582,-0.017602468941675907,True,5
22,5,0.0,1.2605341083754042,0.45595102908284524,-0.5671763310011969,-0.1043900577389219,-0.2723696067104779,True,5
23,1,0.0,0.5550934370061326,0.14315187092200365,-0.21432858536928415,0.03948438733565682,-0.1607195584806883,True,5
23,2,0.0,0.6382688774728319,0.13994648351661232,0.47792208686756255,0.005167852589962515,0.28996397139862196,True,5
23,3,0.0,0.7903515383966432,0.15305703627817072,-0.22370614867264882,0.025059690458093583,0.010737248450421078,True,5
23,4,0.0,0.8127656457797817,0.36025612716564365,0.26977416963815487,-0.028855396965242634,0.0983985282021682,True,5
23,5,0.0,0.7989919909831531,0.365756386672188,0.05598161988990537,-0.0023334828105847313,-0.15072895885695475,True,5
24,1,0.0,0.8327907925205271,0.08240418260939371,0.39816631875807074,0.06234079075790841,0.4255246885671364,True,5
24,2,0.0,0.8220512467306655,0.1631612846945131,0.3882227958129932,-0.05069584087747773,0.08483530708971647,True,5
24,3,0.0,1.2410442633989631,0.10026400276343822,-0.017534935802620905,-0.08311642225215886,0.1055187223765756,True,5
24,4,0.0,1.3819811872230527,0.13511172699010326,0.11907513554961827,-0.008132247603366506,-0.31516254052009235,True,5
24,5,0.0,1.053927929405775,0.14980307526400383,-0.4470834837639279,0.006315025780401714,0.1334640598526189,True,5
25,1,0.0,0.8578596492786417,0.04965448515404103,-0.2611804968043884,0.07613758484997227,0.5059421837539272,True,5
25,2,0.0,0.8641216610150421,0.09040446075258926,0.240628945310973,0.002373108103881686,0.15884053881328028,True,5
25,3,0.0,1.4112429800674513,0.24259769569339634,-0.7257750024682017,0.03192788126558217,-0.18038041376598704,True,5
25,4,0.0,2.12102568799314,0.4513264865973179,-0.09120996370056997,0.059207808435956764,0.054226208418517795,True,5
