assembly_index,nonlinearity_strength,zero_final_quality,lsq_final_quality,lsq_improvement_percent,lsq_beats_zero,sequence_length
86,0.0,1.3067443728488748,0.7461976760042924,42.89643089279326,True,5
87,0.0,1.6574965519890743,0.4787980815728009,71.11317782240809,True,5
88,0.0,1.0058212943857001,0.22471541092285924,77.65851526735642,True,5
89,0.0,2.4082948498093115,0.41473350185166064,82.77895657649647,True,5
90,0.0,1.1268929979094635,0.407333935445082,63.853361747677845,True,5
91,0.0,1.9658195946273176,0.19545625201942077,90.05726402597612,True,5
92,0.0,1.924102588256634,0.23825156403800377,87.61752281338201,True,5
93,0.0,1.627040747713862,0.21865914584074958,86.56092994917397,True,5
94,0.0,1.472380151303706,0.3403803263669547,76.88230678296173,True,5
95,0.0,1.9659393792538469,0.28743225641312165,85.37939371649324,True,5
96,0.0,1.9098949600407447,0.17611182989993898,90.77897823783033,True,5
97,0.0,1.4618569617219486,0.09870859939881049,93.24772518902672,True,5
98,0.0,0.60941343675498,0.2768328091059288,54.573891481616315,True,5
99,0.0,2.31082391820453,0.34414929790361903,85.10707392318247,True,5
100,0.0,0.9130895771338684,0.10558417954455501,88.43660225801972,True,5
101,0.0,1.2394187986918694,0.24380838867511145,80.32881307493187,True,5
102,0.0,2.256751398385948,0.5447171553213573,75.86277532780329,True,5
103,0.0,1.6942463240763108,0.22307485162441057,86.83338730299273,True,5
104,0.0,3.085820277867652,0.25791052465311276,91.64207564183444,True,5
105,0.0,1.3469059582141625,0.13601962762386446,89.90132705298814,True,5
106,0.0,1.017981368197416,0.16011343001178727,84.27147735569001,True,5
107,0.0,2.4188283788940743,0.14416418139575032,94.0399169013527,True,5
108,0.0,1.3831828279835836,0.21754133060927255,84.27240953197732,True,5
109,0.0,0.564170923695219,0.08980140512674403,84.08258891852121,True,5
110,0.0,1.5887403296356226,0.27869775640332406,82.45794160287709,True,5
111,0.0,1.6612116888780253,0.49569652700904115,70.16054423841477,True,5
112,0.0,1.9320909890792373,0.08236182716866618,95.73716622901303,True,5
113,0.0,0.6468458584645594,0.12847813989560322,80.13775025157057,True,5
114,0.0,1.1497324654134713,0.49537480761964714,56.91390627631808,True,5
