method,z_adj,theta_adj,locator_offset,predicted_quality_score,improvement_percent_vs_fixed,test_case_id,dev_offset,dev_tilt,dev_bend,dev_waviness,dev_noise
bayesian_optimization,-0.8350335013085299,-0.11646446410880706,0.8270286168406669,2.113628706639905,4.647828190807478,14,-0.05743438768001141,0.03823028795899108,-0.27422706002365227,0.4630365750809978,0.010552600991358796
fixed_setting,0.0,0.0,0.0,3.0580303163308984,0.0,15,-0.04646467518710429,0.22028965660346467,0.7316373219589694,0.3438642563473973,0.04542031990835765
random_search,-0.24807031052216422,-0.310084741841805,0.8535299776972036,2.0588402799692633,32.67430120053513,15,-0.04646467518710429,0.22028965660346467,0.7316373219589694,0.3438642563473973,0.04542031990835765
bayesian_optimization,-0.2048991139328833,-0.22169721404830212,-0.2813439602479243,1.8145437271623748,40.66299089737247,15,-0.04646467518710429,0.22028965660346467,0.7316373219589694,0.3438642563473973,0.04542031990835765
fixed_setting,0.0,0.0,0.0,5.1913067584253225,0.0,16,-1.976439866730121,0.5129579402919144,-1.2672720894042708,0.39199043012713103,0.04565416451736844
random_search,-0.13255299471523108,-0.5592584085794554,-0.33686200531489563,2.1393410383240337,58.78993213313868,16,-1.976439866730121,0.5129579402919144,-1.2672720894042708,0.39199043012713103,0.04565416451736844
bayesian_optimization,0.6371098514177866,-0.5401803213219447,-1.0,2.038572037003002,60.731042647509405,16,-1.976439866730121,0.5129579402919144,-1.2672720894042708,0.39199043012713103,0.04565416451736844
fixed_setting,0.0,0.0,0.0,9.496296205184429,0.0,17,1.3632886487054439,0.9009517245001681,-0.5433762637968508,0.718214631141006,0.05062935759155133
random_search,-0.8506939383360734,-0.8531419467214874,-0.7931940645548967,2.0361819110070303,78.558146597245,17,1.3632886487054439,0.9009517245001681,-0.5433762637968508,0.718214631141006,0.05062935759155133
bayesian_optimization,2.103694480457314,-0.8676980461485158,-0.9689068497288258,1.9351905582137625,79.62162809162102,17,1.3632886487054439,0.9009517245001681,-0.5433762637968508,0.718214631141006,0.05062935759155133
fixed_setting,0.0,0.0,0.0,6.191417311313384,0.0,18,1.2484484420543058,0.597687196118228,0.46585553103323707,0.18296276382048432,0.02065116971134026
random_search,0.07528564615857292,-0.5856837826377533,0.8720871400979266,2.1998366989805205,64.4695779920887,18,1.2484484420543058,0.597687196118228,0.46585553103323707,0.18296276382048432,0.02065116971134026
bayesian_optimization,-0.6667789574258038,-0.5526360448199569,0.42645748736642575,2.224472209119347,64.07168024267015,18,1.2484484420543058,0.597687196118228,0.46585553103323707,0.18296276382048432,0.02065116971134026
