assembly_id,component_index,zero_quality,deterministic_quality,structured_quality,deterministic_z_adj,deterministic_theta_adj,deterministic_locator_offset,deterministic_utilization,least_squares_success,structured_advantage,winner,utilization_quartile,component_initial_quality_quartile
100012,4,0.3689673515243596,0.2913656761219457,0.2557807402848544,-7.976013409721157e-18,0.0054644040058843,9.17099512651176e-17,0.0045536700049036,True,0.03558493583709127,STRUCTURED20,U1_lowest,Q2
100012,5,0.3923220375696787,0.2899658110917173,0.2783814258308629,0.0147588131789711,0.0,-0.0952608876035497,0.0952608876035497,True,0.011584385260854424,STRUCTURED20,U2,Q2
100013,1,0.1068196644448105,0.0356675272665671,0.1068196644448105,-0.0785037172584661,0.0,-0.1404905260121635,0.1404905260121635,True,-0.0711521371782434,DETERMINISTIC_LSQ,U3,Q1_lowest
100013,2,0.1503033071610304,0.0356675272665671,0.0697391784280697,-3.3862683773403254e-17,0.0075589663548097,2.2117724318704287e-17,0.0062991386290081,True,-0.034071651161502604,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100013,3,0.137562171925945,0.020253106103229,0.0555731133745151,0.0426484832285282,0.0,-0.0340952704984203,0.0340952704984203,True,-0.0353200072712861,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100013,4,0.1741777456674023,0.044360146969944,0.1025228036202572,-0.0570069580045593,4.969616689786745e-17,-0.004190710748079,0.0228027832018237,True,-0.0581626566503132,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100013,5,0.1660402407125339,0.0335964102282604,0.0866541918555078,0.0294472166389209,1.987846675914698e-16,-0.0289039576496614,0.0289039576496614,True,-0.0530577816272474,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100014,1,0.3540522312707649,0.0334533879243359,0.1001886014108135,-0.0126025161125703,-0.0338788992685453,-0.1317692710025358,0.1317692710025358,True,-0.0667352134864776,DETERMINISTIC_LSQ,U3,Q2
100014,2,0.3471933731274531,0.0425941830758239,0.0731467912688007,-4.147620789599095e-17,0.0009881268941479,0.078205941270471,0.078205941270471,True,-0.030552608192976803,DETERMINISTIC_LSQ,U2,Q2
100014,3,0.3499351846095996,0.0366448117150475,0.0856727469061298,0.0190081974022701,0.0,-0.0597122847355975,0.0597122847355975,True,-0.049027935191082304,DETERMINISTIC_LSQ,U1_lowest,Q2
100014,4,0.4183483743214362,0.0884307492873256,0.2242888641177027,-0.1182970483027142,0.0,-0.2117048099393318,0.2117048099393318,True,-0.13585811483037713,DETERMINISTIC_LSQ,U3,Q2
100014,5,0.4271643180003009,0.1023119737890749,0.1796789024586036,-2.1638934846336185e-17,0.0014302429404259,-4.7898019101336176e-17,0.0011918691170216,True,-0.0773669286695287,DETERMINISTIC_LSQ,U1_lowest,Q2
100015,1,0.0043376631012781,0.0024618647267809,0.0043376631012781,-0.0063179422584211,-4.969616689786745e-17,0.0062013852687539,0.0062013852687539,True,-0.0018757983744971999,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100015,2,0.0068623561248448,0.0038947682408493,0.0055406390507198,-0.0036772945179704,4.969616689786745e-17,0.0036094536986652,0.0036094536986652,True,-0.0016458708098704999,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100015,3,0.0102987870270055,0.0058451336395719,0.0076379400659996,-0.0050052693139096,0.0,0.0049129292607974,0.0049129292607974,True,-0.0017928064264276997,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100015,4,0.0326221232783285,0.0388107029217885,0.0300340173239626,-1.4167213068790957e-18,0.0017061756743442,1.8600843521704435e-18,0.0014218130619535,True,0.008776685597825903,STRUCTURED20,U1_lowest,Q1_lowest
100015,5,0.0643854288056136,0.0833430773641939,0.0615447942791199,-5.33169542091514e-19,0.0020229459539008,-5.285485590866834e-19,0.0016857882949173,True,0.021798283085073998,STRUCTURED20,U1_lowest,Q1_lowest
100016,1,0.2365996073903025,0.1482337598405675,0.1854846460895635,0.2672071654876432,0.0058918684701018,-0.1382658015800784,0.1382658015800784,True,-0.037250886248996,DETERMINISTIC_LSQ,U3,Q1_lowest
100016,2,0.4111696831970048,0.1482337598405667,0.1451141765845809,-5.923056156617339e-17,0.0225205875727666,3.897706810085389e-17,0.0187671563106388,True,0.0031195832559857972,STRUCTURED20,U1_lowest,Q2
100016,3,1.116405518544199,0.2501956061371223,0.2009564080647485,0.9619303477670388,0.0046735542931723,2.8155375166732943e-16,0.3847721391068154,True,0.049239198072373785,STRUCTURED20,U4_highest,Q4_highest
100016,4,0.4864147696171519,0.4541007518533183,0.3403122166261103,-1.064374038849896,-6.107880565270343e-05,-4.0530632405236683e-16,0.4257496155399584,True,0.113788535227208,STRUCTURED20,U4_highest,Q2
100016,5,0.4071650229883021,0.4673416837445636,0.3964020808153755,-0.1248596725322179,-0.0066291890323623,-0.1244749870090388,0.1244749870090388,True,0.0709396029291881,STRUCTURED20,U2,Q2
100017,1,0.0092007472245479,1.0131358716429399e-18,0.0,0.0131439246064969,-1.2297294362554257e-21,2.3166418476129617e-18,0.0052575698425987,True,1.0131358716429399e-18,TIE,U1_lowest,Q1_lowest
100017,2,0.0325369430541613,0.0104663717891118,0.0313454396238878,-0.0230363345772105,0.0,-0.0632993580388512,0.0632993580388512,True,-0.020879067834776,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100017,3,0.2504939701072204,0.112463535040737,0.1822490321239878,-0.0923546305553856,-0.008008992601813,-0.1652781687224611,0.1652781687224611,True,-0.0697854970832508,DETERMINISTIC_LSQ,U3,Q1_lowest
100017,4,0.3470799708175773,0.1482423128268973,0.2097012448693675,-0.0474700574041105,0.0011870098005763,-0.1461675213743605,0.1461675213743605,True,-0.061458932042470216,DETERMINISTIC_LSQ,U3,Q2
100017,5,0.3116204018492063,0.1482423128268947,0.170398241583146,0.0263682190584659,-3.975693351829396e-16,0.047885236775762,0.047885236775762,True,-0.022155928756251303,DETERMINISTIC_LSQ,U1_lowest,Q2
100018,1,0.7986555949243231,0.1249647049854847,0.1343755550580685,0.8740203945781359,-0.0177853067439502,-0.1038515205698444,0.3496081578312543,True,-0.009410850072583798,DETERMINISTIC_LSQ,U4_highest,Q3
100018,2,0.815886018888586,0.205615176349591,0.1710702940919061,1.9488149829523564e-16,0.0036743642915765,-3.9471735342050396e-16,0.0030619702429804,True,0.0345448822576849,STRUCTURED20,U1_lowest,Q3
100018,3,0.9800664624721068,0.205615176349591,0.1635752425906957,-9.901559212559316e-18,-0.022758916102136,1.4690939437178585e-17,0.0189657634184466,True,0.04203993375889531,STRUCTURED20,U1_lowest,Q4_highest
100018,4,0.8795705536841478,0.2395785958726289,0.3437341185948407,-0.1700399682983747,0.0,-0.304304119901456,0.304304119901456,True,-0.10415552272221182,DETERMINISTIC_LSQ,U4_highest,Q4_highest
100018,5,0.9454927829709754,0.2938660920090236,0.3035282557387521,-0.009785083589737,-0.0063390641411132,7.639559557875986e-17,0.0052825534509277,True,-0.009662163729728501,DETERMINISTIC_LSQ,U1_lowest,Q4_highest
100019,1,0.2685695913542498,0.0295637440139773,0.0885396173304343,-0.0650693776394733,0.0258598222261441,-0.116448385007754,0.116448385007754,True,-0.058975873316457005,DETERMINISTIC_LSQ,U2,Q1_lowest
