assembly_id,zero_final_quality,direct_final_quality,deterministic_final_quality,structured_final_quality,structured_regret_vs_direct,deterministic_regret_vs_direct,structured_closer_to_direct
100142,0.5335622701416683,0.2240691337114701,0.3083094602047459,0.2655247118192918,0.04145557810782172,0.08424032649327581,True
100143,0.3375870895429603,0.1323841185774281,0.1779347043757604,0.1899316138877798,0.05754749531035169,0.045550585798332294,False
100144,1.1083371817207586,0.200505402214102,0.2397147846468297,0.3988781300954785,0.1983727278813765,0.039209382432727674,False
100145,0.4883104618456143,0.0523100068703119,0.0597291700846894,0.1291532941677777,0.07684328729746581,0.007419163214377501,False
100146,0.5114505303368572,0.0617595743588965,0.085868949381467,0.0981125673592146,0.0363529930003181,0.024109375022570496,False
100147,1.1144545937953814,0.1435491306244226,0.1965619451549683,0.1412266258238794,-0.0023225048005431903,0.05301281453054571,True
100148,0.7527016443365491,0.2852258734634977,0.3711621718089569,0.4255589979385498,0.14033312447505208,0.08593629834545918,False
100149,0.5635898859847355,0.1547867623563905,0.2142543546588861,0.1612735715938127,0.006486809237422203,0.0594675923024956,True
100150,0.2194678324263739,0.0999646571543457,0.1315063338615483,0.1994956538370328,0.0995309966826871,0.03154167670720261,False
100151,0.9350243080437144,0.2180162895689079,0.2837927451464745,0.2734787567544237,0.055462467185515785,0.06577645557756662,True
100152,0.4691966756121178,0.1119003431879207,0.1296966386071978,0.1326175214557803,0.020717178267859584,0.01779629541927709,False
100153,0.5876870720501857,0.169678505953603,0.1992371821298776,0.2554452148210957,0.08576670886749271,0.029558676176274584,False
100154,0.7798546833065958,0.1607193324278642,0.1835931818892079,0.1630806367043584,0.002361304276494197,0.022873849461343687,True
100155,0.7884609432944725,0.1595217906772632,0.2020954677348036,0.1862122750987905,0.0266904844215273,0.04257367705754042,True
100156,1.0808635176523895,0.2305807733503431,0.3041075449298451,0.270886143126712,0.04030536977636889,0.07352677157950199,True
100157,0.6488951337064135,0.1821255737994723,0.2258918992339214,0.2227469300261423,0.040621356226669986,0.04376632543444908,True
100158,0.9139253406067528,0.2234493302347039,0.2898592484106165,0.2326814325548074,0.009232102320103491,0.0664099181759126,True
100159,0.9905419569871232,0.1490693589788699,0.1890463876430786,0.1817906236454898,0.032721264666619926,0.039977028664208714,True
100160,0.5686694278366579,0.0882484774514202,0.0899215365822507,0.1596248872031667,0.0713764097517465,0.0016730591308305037,False
100161,0.7084345707295596,0.0795166995584226,0.0869821879935055,0.1430676101586689,0.0635509106002463,0.0074654884350829065,False
100162,0.7661036857723343,0.1694255021839711,0.1873520891042801,0.2371648259689308,0.0677393237849597,0.017926586920309018,False
100163,0.5342324206336321,0.1634942908820484,0.213637202543666,0.211214908176444,0.04772061729439561,0.050142911661617606,True
100164,1.1238717791737238,0.1826999718651245,0.2199712650751668,0.2618314271927685,0.07913145532764398,0.0372712932100423,False
100165,0.4767921289529753,0.0937927314486231,0.1059738234505258,0.1066410612690426,0.012848329820419502,0.012181092001902705,False
100166,0.7547504118653896,0.2483095173216803,0.3265977783358419,0.2906127113633935,0.042303194041713205,0.07828826101416161,True
100167,0.5429554314320014,0.0713551730959793,0.0848622234870911,0.1091167216518518,0.03776154855587249,0.013507050391111802,False
100168,0.8737686354142662,0.2531540950241343,0.3314068564521516,0.2936702126976829,0.040516117673548624,0.07825276142801735,True
100169,0.2842104460117664,0.0780541042226275,0.099678726840937,0.1353150923770868,0.057260988154459305,0.021624622618309497,False
100170,0.6389026529838394,0.1277585987707928,0.1462868377231447,0.2380427570177743,0.11028415824698151,0.018528238952351922,False
100171,0.7863761667169628,0.1607977291212484,0.1996439214036857,0.201621996679086,0.04082426755783761,0.0388461922824373,False
100172,0.973652614378646,0.2959745131867922,0.3871870036116256,0.321503329060736,0.02552881587394379,0.09121249042483343,True
100173,1.3836574731343751,0.1622276993733454,0.1895870523651616,0.2391915592228657,0.07696385984952028,0.027359352991816188,False
100174,1.5864419837244357,0.2745135149019566,0.3391705137678513,0.321118017916819,0.04660450301486241,0.06465699886589471,True
100175,0.919696429115378,0.1671750184214016,0.2015584020509072,0.1932504542018068,0.02607543578040522,0.034383383629505604,True
100176,1.0250562403566776,0.2184421437523334,0.2636311910823439,0.37151914740922,0.1530770036568866,0.0451890473300105,False
100177,1.5371482874183788,0.2158162854199546,0.2343417524445806,0.3116180493077786,0.09580176388782399,0.018525467024626013,False
100178,1.0758249602042829,0.1779748523052221,0.2147290812344311,0.2177580536198644,0.0397832013146423,0.036754228929209015,False
100179,0.7990068194939065,0.1977115351196454,0.236145207030586,0.2929932640892078,0.09528172896956238,0.0384336719109406,False
100180,0.6860934744630164,0.1306530103994603,0.1554673153374624,0.2505679402177614,0.1199149298183011,0.024814304938002074,False
100181,1.182888697419891,0.2172405579835679,0.2831129983116649,0.2398944688804929,0.022653910896925006,0.06587244032809703,True
100182,1.004814006336901,0.3275372252353337,0.4074967491602597,0.649907226733873,0.32237000149853934,0.079959523924926,False
100183,1.0793043513654823,0.1874872394589017,0.2243851624292768,0.2699326482482501,0.08244540878934839,0.03689792297037511,False
100184,0.4784492376048468,0.2379257109694875,0.3135895518701945,0.2916137336882739,0.05368802271878642,0.07566384090070699,True
100185,0.895980171116887,0.2500105758774547,0.3286435498753551,0.2718207950128383,0.021810219135383613,0.07863297399790042,True
100186,1.1051240114488865,0.2103517251592003,0.2550087313555984,0.3008723255680079,0.0905206004088076,0.044657006196398064,False
100187,1.241048261167551,0.1411405067142867,0.1541653905780578,0.2256235188198508,0.08448301210556408,0.013024883863771097,False
100188,0.6735058325081941,0.2336582664446596,0.2928343706237131,0.3311634805089746,0.097505214064315,0.0591761041790535,False
