assembly_index,component_index,method,pre_quality,post_quality,z_adj_mm,theta_adj_deg,locator_offset_mm,applied_delta_z_mm,applied_delta_theta_deg,applied_delta_locator_mm,utilization,reference_success,reference_evaluations
4,2,LSQ_PLUS_ML_ALL,1.1259066023002018,0.16509419710568662,-0.5492938851251346,-0.08726360118233026,-0.023822807111335314,0.05144266289915955,0.003754725899393699,0.002923645743832408,0.21971755405005383,,0
4,2,DIRECT_NONLINEAR_REFERENCE,1.0438279079338775,0.11879096610300624,-0.47774902413204895,-0.07588689957627645,-0.10314944172504198,0.1021245793711531,0.006307450401287301,-0.10067080686053377,0.19109960965281958,False,771
4,3,ZERO,0.7956662661007358,0.7956662661007358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
4,3,LSQ,1.2678006849215264,0.22133960860765017,0.4477301571644247,0.09524465565573974,0.35709945669285076,0.0,0.0,0.0,0.35709945669285076,,0
4,3,LSQ_PLUS_ML_THETA,1.2115512215934126,0.20602131790832784,0.4468221917546211,0.08515391798985644,0.3570160044013591,0.0,-0.003923258596862114,0.0,0.3570160044013591,,0
4,3,LSQ_PLUS_ML_Z_THETA,1.19660615343772,0.19273328109518117,0.369299041910459,0.08659722300358304,0.35708113059704955,-0.024977210887094647,-0.0037994315947345314,0.0,0.35708113059704955,,0
4,3,LSQ_PLUS_ML_ALL,1.1932363277059992,0.1899903236344948,0.36905017304816934,0.08633076017698957,0.30133224711196394,-0.02461623640852706,-0.0038052859462304606,-0.049688079409158425,0.30133224711196394,,0
4,3,DIRECT_NONLINEAR_REFERENCE,1.1394096233449746,0.4645217275352097,0.5675077762093772,0.06529204020524694,0.44205764174773043,0.23362267296752642,-0.020878023090632344,-0.020952183769325783,0.44205764174773043,False,879
4,4,ZERO,0.8574868483189264,0.8574868483189264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
4,4,LSQ,0.36518442217000674,0.11181519804986535,0.2978990400088156,0.004485916505083469,0.17649160442348533,0.0,0.0,0.0,0.17649160442348533,,0
4,4,LSQ_PLUS_ML_THETA,0.3927158037728828,0.10382790642302152,0.2987871364087301,0.010564812256112142,0.17712346059311848,0.0,0.0007722688313316524,0.0,0.17712346059311848,,0
4,4,LSQ_PLUS_ML_Z_THETA,0.4162411385906852,0.09479860961541435,0.3007033796309477,0.010237474042934035,0.17760021214850683,-0.032814394524685264,0.0006061265324370981,0.0,0.17760021214850683,,0
4,4,LSQ_PLUS_ML_ALL,0.43872318726364984,0.09708431057124502,0.3008710511622586,0.009920056219783353,0.21945853411679925,-0.032350959256887524,0.00024268493244928788,-0.014436963568764588,0.21945853411679925,,0
4,4,DIRECT_NONLINEAR_REFERENCE,0.37724027070495,0.08442195114317025,0.026735846062985413,0.030049484352434506,0.1988179388057044,-0.026728013932905654,0.0006178026457756801,0.008786359308334019,0.1988179388057044,False,919
4,5,ZERO,1.1905373107654353,1.1905373107654353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
4,5,LSQ,0.44026730984810447,0.10654480317265407,0.3521139599753938,0.026647285958354437,-0.1459288824302887,0.0,0.0,0.0,0.1459288824302887,,0
4,5,LSQ_PLUS_ML_THETA,0.430902426708186,0.09651535286592294,0.3521176173979368,0.02411752113338485,-0.14593480838442952,0.0,-0.0012879341054168048,0.0,0.14593480838442952,,0
4,5,LSQ_PLUS_ML_Z_THETA,0.4540773711756656,0.09389816177045861,0.3444791806478431,0.023997911189282607,-0.14643884217896352,-0.039514515353370416,-0.0015720226349143843,0.0,0.14643884217896352,,0
4,5,LSQ_PLUS_ML_ALL,0.45680924961362945,0.09343309072039618,0.3430973672090439,0.024139857276815564,-0.15034513155840454,-0.03932767886218286,-0.0017829228941881048,-0.014231738615379547,0.15034513155840454,,0
4,5,DIRECT_NONLINEAR_REFERENCE,0.45674551898336996,0.07091175609194472,0.36267753261548585,0.019928063103616837,-0.13733938517822653,-0.03741562065821358,-0.004616694821810201,0.01593361362087209,0.14507101304619435,False,539
4,6,ZERO,1.6714455928641763,1.6714455928641763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
4,6,LSQ,0.6430941607378244,0.18572621457757346,0.6817446638826488,-0.006290461332500878,0.28967615782898376,0.0,0.0,0.0,0.28967615782898376,,0
4,6,LSQ_PLUS_ML_THETA,0.6345448346303328,0.18468719181570342,0.6819750860957539,-0.004819327643150843,0.28958100073020104,0.0,-3.0855279598914105e-05,0.0,0.28958100073020104,,0
4,6,LSQ_PLUS_ML_Z_THETA,0.6627714685240307,0.18136841783588634,0.6449918372840479,-0.005789451535237444,0.28997989106891764,-0.0762362717646039,-0.0012358550447225704,0.0,0.28997989106891764,,0
4,6,LSQ_PLUS_ML_ALL,0.6685032592568847,0.18164763571496712,0.6438282710471106,-0.005612758114591209,0.3032733513829709,-0.07729899477900481,-0.0012571341753386828,-0.001257769251396701,0.3032733513829709,,0
4,6,DIRECT_NONLINEAR_REFERENCE,0.6703831616079969,0.138750601530377,0.642266716412928,0.0032114860336126382,0.3655472964133923,-0.07518702936441479,0.004408148156426397,0.09213245229702988,0.3655472964133923,False,583
4,7,ZERO,1.5549926602668518,1.5549926602668518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
