assembly_index,lsq_quality,theta_quality,z_theta_quality,all_quality,theta_minus_lsq,z_theta_minus_lsq,all_minus_lsq,all_minus_z_theta
23,0.166540370623965,0.125785311751447,0.1061260875183893,0.1094162620328765,-0.04075505887251801,-0.060414283105575714,-0.05712410859108852,0.0032901745144871958
24,0.3727686723146975,0.3837331593998997,0.3697894006752072,0.364239849544263,0.010964487085202201,-0.0029792716394902996,-0.008528822770434541,-0.005549551130944241
25,0.192964593366867,0.1896283473646633,0.1826559834985339,0.180190848289009,-0.0033362460022036966,-0.010308609868333096,-0.012773745077858,-0.0024651352095249046
26,0.4677295477540871,0.3428446966322953,0.3340480353691675,0.3323343681292519,-0.12488485112179182,-0.1336815123849196,-0.13539517962483522,-0.0017136672399156172
27,0.3497085679930147,0.2854477581677098,0.2828867468850568,0.2842614286140503,-0.06426080982530491,-0.06682182110795792,-0.0654471393789644,0.001374681728993521
28,0.5138021713977546,0.4123047953778106,0.4124615759438282,0.4145136067910467,-0.10149737601994402,-0.10134059545392643,-0.09928856460670793,0.0020520308472185
29,0.1170549508922884,0.1073389798900766,0.1061345448826706,0.0882624665600295,-0.009715971002211804,-0.0109204060096178,-0.028792484332258894,-0.017872078322641094
30,1.1238117224447737,0.9953977326200408,0.9990771263011125,1.0046472393732242,-0.12841398982473284,-0.12473459614366122,-0.11916448307154948,0.005570113072111749
31,0.1650463285128384,0.1378424576145448,0.1346626267595312,0.1352313242571181,-0.027203870898293597,-0.030383701753307207,-0.029815004255720312,0.0005686974975868953
32,0.3165863305322106,0.2557536683976595,0.2562027551658427,0.2542908970852223,-0.060832662134551074,-0.0603835753663679,-0.06229543344698829,-0.0019118580806203878
33,0.2288612165556447,0.2189622821783263,0.2079651273011385,0.2105968530639639,-0.009898934377318397,-0.0208960892545062,-0.018264363491680813,0.0026317257628253876
34,0.4301150476587054,0.3158982065666349,0.328870021496052,0.3283924608547106,-0.11421684109207048,-0.1012450261626534,-0.10172258680399482,-0.0004775606413414124
35,0.4318779308907743,0.352165143746986,0.3380205210044409,0.340662600371915,-0.07971278714378832,-0.0938574098863334,-0.09121533051885933,0.0026420793674740706
36,0.1905970966782275,0.184123195636018,0.1807488046315602,0.1814942575807574,-0.00647390104220949,-0.00984829204666729,-0.009102839097470089,0.0007454529491972006
37,0.2411815752941448,0.2070842176690882,0.2300649600930856,0.2229086138203532,-0.03409735762505661,-0.011116615201059193,-0.018272961473791594,-0.0071563462727324
38,0.2939974747239504,0.2561882002044327,0.2487581909056548,0.2512619204677053,-0.037809274519517655,-0.04523928381829559,-0.04273555425624509,0.0025037295620504996
