assembly_index,component_index,method,pre_quality,post_quality,z_adj_mm,theta_adj_deg,locator_offset_mm,applied_delta_z_mm,applied_delta_theta_deg,applied_delta_locator_mm,utilization,reference_success,reference_evaluations
53,2,ZERO,1.583445188988271,1.583445188988271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
53,2,LSQ,0.7336053904326515,0.08239247866078554,-0.4397042454640173,-0.034876501110632147,-0.5112824010330187,0.0,0.0,0.0,0.5112824010330187,,0
53,2,LSQ_PLUS_ML_THETA,0.733541226451211,0.07330470212430253,-0.4397042454640173,-0.03347080604765487,-0.5112824010330187,0.0,0.0013939882004166335,0.0,0.5112824010330187,,0
53,2,LSQ_PLUS_ML_Z_THETA,0.74791119600446,0.04320457818874733,-0.4087442288413632,-0.033094511152537816,-0.5112824010330187,0.05175231284958626,0.0017663722950684302,0.0,0.5112824010330187,,0
53,2,LSQ_PLUS_ML_ALL,0.7517294560196557,0.038753600808319646,-0.40914605446776364,-0.03305867959124941,-0.5058671016713863,0.05135048722318608,0.0018022038563568349,0.014459751085270423,0.5058671016713863,,0
53,2,DIRECT_NONLINEAR_REFERENCE,0.7653831120875891,0.03426594661277098,-0.43190267261707227,-0.03229008298889729,-0.49081378967006345,0.05489946094011089,0.0017679216040008827,0.02910052331210483,0.49081378967006345,False,659
53,3,ZERO,2.011931460418745,2.011931460418745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
53,3,LSQ,0.4101899009960629,0.16391414736037238,-0.27284500815392837,-0.02070372187187526,0.3108657276646912,0.0,0.0,0.0,0.3108657276646912,,0
53,3,LSQ_PLUS_ML_THETA,0.42299152792881545,0.14846261819988135,-0.2728450976775564,-0.024457070915309798,0.3108656235677763,0.0,-0.002220305571616562,0.0,0.3108656235677763,,0
53,3,LSQ_PLUS_ML_Z_THETA,0.4549480727596375,0.14351818905630592,-0.30354156633555945,-0.024922591026202878,0.3113898044382834,0.023738274798175363,-0.002313084051224955,0.0,0.3113898044382834,,0
53,3,LSQ_PLUS_ML_ALL,0.45558456350596965,0.14381321723816826,-0.3030276504860505,-0.02496539849211607,0.2908492655721053,0.02363236929006235,-0.002330765737006194,-0.0057519969286665695,0.2908492655721053,,0
53,3,DIRECT_NONLINEAR_REFERENCE,0.4568702260435627,0.13616617598900763,-0.28002406332868485,-0.024707407365330454,0.2627242734860981,0.04734342053448565,-0.0020672568420390496,-0.018306987471844893,0.2627242734860981,False,651
53,4,ZERO,2.8655247934244366,2.8655247934244366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
53,4,LSQ,0.9175781815484148,0.1573617864298494,-0.4017162991673044,-0.07759992765383361,0.1046180462097496,0.0,0.0,0.0,0.16068651966692177,,0
53,4,LSQ_PLUS_ML_THETA,0.8946822478813328,0.09783785615703167,-0.4014387547032896,-0.06777896490007781,0.10430184207012198,0.0,0.007292804188164789,0.0,0.16057550188131584,,0
53,4,LSQ_PLUS_ML_Z_THETA,0.9041406431061794,0.08071444935439619,-0.3557868295187358,-0.0674915787812602,0.10295314127533428,0.06574539224583675,0.007349326020534189,0.0,0.14231473180749432,,0
53,4,LSQ_PLUS_ML_ALL,0.903128079286809,0.07876785770964102,-0.35751424752245264,-0.06755539879727858,0.059511076511431185,0.06396238434601625,0.007265039677804272,-0.05087408247434658,0.14300569900898105,,0
53,4,DIRECT_NONLINEAR_REFERENCE,0.9186975924019067,0.06257047635895188,-0.4021818924824398,-0.06509595369225442,0.11715112939253049,0.04486256449757425,0.01000581498374159,-0.008063424710309672,0.16087275699297593,False,619
53,5,ZERO,2.181068274155187,2.181068274155187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
53,5,LSQ,0.87866451753247,0.1552193364710295,0.20039274205493132,0.07742233795567469,0.4718517267421035,0.0,0.0,0.0,0.4718517267421035,,0
53,5,LSQ_PLUS_ML_THETA,0.8108299323153828,0.12403100199513133,0.19997924908310108,0.06502876750993937,0.47198528692565983,0.0,-0.003996139027475282,0.0,0.47198528692565983,,0
53,5,LSQ_PLUS_ML_Z_THETA,0.7771637748671144,0.11349918991351238,0.11198694346598412,0.06598218559543748,0.47204677238390313,-0.017686145621308907,-0.003018353161544113,0.0,0.47204677238390313,,0
53,5,LSQ_PLUS_ML_ALL,0.784308533182233,0.10984987936382588,0.10292835608319094,0.06619741094939556,0.5215591638581244,-0.028708748864892372,-0.002893154422359101,-0.006005000137422334,0.5215591638581244,,0
